artefact	family	status	held_as
1.6.md	other	IN-CHAT-BODY	2026-08/3851d6dc-a805-49de-a922-d81e36fba67c.json
12b.md	other	IN-CHAT	2026-08/508943f9-bc50-4c80-86c3-f3e8f062596a.json
12b.py	instrument	IN-CHAT	2026-08/508943f9-bc50-4c80-86c3-f3e8f062596a.json
12b.tsv	data	IN-CHAT	2026-08/508943f9-bc50-4c80-86c3-f3e8f062596a.json
12e.md	other	IN-CHAT	2026-08/600e636e-2152-4573-8400-dcb6dd11d843.json
12e.py	instrument	IN-CHAT	2026-08/03358ff8-a853-49c0-b5d1-4aa02c7f9bd2.json
12e.tsv	data	IN-CHAT	2026-08/600e636e-2152-4573-8400-dcb6dd11d843.json
5e655873-HANDOFF100.md	other	ABSENT	
AME2020-A9.tsv	data	HELD	
ARCHIVE-MANIFEST.tsv	data	IN-CHAT	2026-09/284f1a46-01f0-411d-b832-478876eaf96e.json
ArII_asd.tsv	data	HELD	
ArII_highl.tsv	data	HELD	
BOARD.md	other	HELD	
BOOK.md	other	IN-CHAT	2026-07/35d529f0-6057-4dc0-bbe6-fdf7a3f7e7eb.json
BRIDGE-1_7_3-to-next.md	other	HELD	
BaIII_ryd12.tsv	data	HELD	
BaIII_ryd32.tsv	data	HELD	
BiIII_asd.tsv	data	HELD	
CENSUS-CLOSURES-21a.tsv	data	HELD	
CENSUS-CLOSURES-23a.tsv	data	HELD	
CENSUS-CLOSURES-24a.tsv	data	HELD	
CENSUS-CLOSURES-25b.tsv	data	HELD	
CENSUS-CLOSURES-26b.tsv	data	HELD	
CENSUS-CLOSURES-A.tsv	data	HELD	
CENSUS-CLOSURES-B.tsv	data	HELD	
CENSUS-CLOSURES-ch10.tsv	data	HELD	
CENSUS-CLOSURES-ch11.tsv	data	HELD	
CENSUS-CLOSURES-ch12a.tsv	data	IN-CHAT	2026-08/1fe1b3d0-bd71-44c2-ba89-7b6645773a74.json
CENSUS-CLOSURES-ch12b.tsv	data	IN-CHAT	2026-08/1fe1b3d0-bd71-44c2-ba89-7b6645773a74.json
CENSUS-CLOSURES-ch12c.tsv	data	IN-CHAT	2026-08/1fe1b3d0-bd71-44c2-ba89-7b6645773a74.json
CENSUS-CLOSURES-ch12d.tsv	data	IN-CHAT	2026-08/1fe1b3d0-bd71-44c2-ba89-7b6645773a74.json
CENSUS-CLOSURES-ch12e.tsv	data	IN-CHAT	2026-08/1fe1b3d0-bd71-44c2-ba89-7b6645773a74.json
CENSUS-CLOSURES-ch12f.tsv	data	IN-CHAT	2026-08/1fe1b3d0-bd71-44c2-ba89-7b6645773a74.json
CENSUS-CLOSURES-ch12g.tsv	data	IN-CHAT	2026-08/1fe1b3d0-bd71-44c2-ba89-7b6645773a74.json
CENSUS-CLOSURES-ch12h.tsv	data	IN-CHAT	2026-08/1fe1b3d0-bd71-44c2-ba89-7b6645773a74.json
CENSUS-CLOSURES-ch12i.tsv	data	IN-CHAT	2026-08/1fe1b3d0-bd71-44c2-ba89-7b6645773a74.json
CENSUS-CLOSURES-ch12j.tsv	data	IN-CHAT	2026-08/03358ff8-a853-49c0-b5d1-4aa02c7f9bd2.json
CENSUS-CLOSURES-ch12k.tsv	data	IN-CHAT	2026-08/03358ff8-a853-49c0-b5d1-4aa02c7f9bd2.json
CENSUS-CLOSURES-ch12l.tsv	data	IN-CHAT	2026-08/03358ff8-a853-49c0-b5d1-4aa02c7f9bd2.json
CENSUS-CLOSURES-ch12m.tsv	data	IN-CHAT	2026-08/03358ff8-a853-49c0-b5d1-4aa02c7f9bd2.json
CENSUS-CLOSURES-ch12n.tsv	data	IN-CHAT	2026-08/03358ff8-a853-49c0-b5d1-4aa02c7f9bd2.json
