repo_path	drive_id	drive_title	drive_size_bytes	source	reason
The Method Materials/BUILD175-PARTS/W-184.md	1yeARKFKgaGoWU4dHqdy4Pp2kpx5nGv5v	W-184.md	5437	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/DEFECT-CENSUS.tsv	1S3qB5QievN_fWN_nJnFZ0xQUz2CjSVGq	DEFECT-CENSUS.tsv	236171	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/DEFERRED.md	1pRCN7rqRWmgks3fldFhulzeCFAzCdfUB	DEFERRED.md	384883	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/LW1-MANIFEST.tsv	16GesqlScgSbMhpkMMifqqsfGnndDnGXm	LW1-MANIFEST.tsv	366	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/LW1-README.md	1wvPUN4U35HyKatGpnD_5quRzywPwzsFs	LW1-README.md	2764	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/LW1-ground-run.log	19187Rx0s6hvX6stIDtuRpCBALwJiUZD4	LW1-ground-run.log	294	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/LW1-ground.py	1hfbTAWy2WDxDdSNcMk8ddStPdfu3XOTK	LW1-ground.py	6472	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/MAIN_AUDIT.md	1ivK180gl_0CH4_wxZ4WivSegK2afRAWC	MAIN_AUDIT.md	39577	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/MANIFEST.md	1BMQGBSMzqXBKUBNwj1Ky3A_QNVxbIlDm	MANIFEST.md	2728	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/MANIFEST.tsv	1Fwi74o3C-Skynpw2bKzCtWoCuLZVfB4S	MANIFEST.tsv	22726	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/MATH_AUDIT.md	1F3Dt7UCFrlf1kfxXBy0_gKGjZuYBHJmE	MATH_AUDIT.md	3451	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/MEMBERS-126-concatenated.tsv	1zvtoYVTV-iJQrlBleLhItiSLCyu6gWzb	MEMBERS-126-concatenated.tsv	29050	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/ORIGINAL-3B-TEXT.txt	1iQdvpMwHUaSa50Nny6F-AiOI71jR-5j3	ORIGINAL-3B-TEXT.txt	20633	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/PHYS_AUDIT.md	1TG-eUycYqHNKAZE4W5O1XmfNGABRJydH	PHYS_AUDIT.md	2279	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/POINTERS-BUILD14.json	1RBTdPB1dn_gN8OOdDSVDqRnKA44s-IR2	POINTERS-BUILD14.json	4103	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/R3-CLASS-WL.md	1AbG0C24R8MZlHZJ_s7DzxaBUeLTFRkTG	R3-CLASS-WL.md	7146	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-21a.md	1niH5GGVS9CbQsUyeknnUKVXxUjDoctM7	READ-21a.md	9825	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-23a.md	1T9BCaXiURNYn1bfkUKFkyUQCqQluYJ1x	READ-23a.md	9828	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-24a.md	1q1bv4Jl-Mpg4_HRLt8wwM_ntZKraF3jY	READ-24a.md	10455	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-25b.md	1-Q__DXTbsFZBD-1C34WA6du4DYx6dzYY	READ-25b.md	7374	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch1-A.md	1KBjn3DgL3i-udVJHt9v3tro6C3u81tM7	READ-ch1-A.md	17750	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch1-B.md	1DcygC30xX07q1IXblmjwwj0opqxozP2Q	READ-ch1-B.md	9681	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch10.md	1DmPvGDMvB6ZKWZxXiiqfZTdiBwiX6hXr	READ-ch10.md	7558	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch11.md	1xKdOyGd7S20NvUoQC48Mz5VZXSCeudd1	READ-ch11.md	8026	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch16b.md	1MrgDkpcQ4oI7Gky4KhW7mmHur_wRn1_j	READ-ch16b.md	13640	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch16d.md	1o7vX_BTH5i_l2GL50k-qkT9BcchpbhLj	READ-ch16d.md	12649	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch16g.md	1Bmn00UJFnum4qHxDUh9kefSNFMjMa4vu	READ-ch16g.md	15932	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch16j.md	1DMEXLb4iQE0nKPJK7NeFsOzxZqYGq-jd	READ-ch16j.md	10806	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch16m.md	19zK4gkmrxnIM01bfX3cwtEYS5NLtvBi5	READ-ch16m.md	11915	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch16o.md	1NZZ7ioLkGnesDpMDYwnb32ot57MmkITz	READ-ch16o.md	14706	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch16q.md	1LaiGBmX2rmZICeHqZJJo37tygUaXJtxQ	READ-ch16q.md	12296	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch16r.md	1I_vlylYmewGVJ9uLpM3bM1oA9Rcu8R39	READ-ch16r.md	13458	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch16t.md	1M4MX9rJVHf1YQf2Wh_3OjTEqESZ_FHxt	READ-ch16t.md	10720	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch16v.md	1gYqwbx1w_QCEETA2W18Ho6inGxQEef8g	READ-ch16v.md	13877	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch16x.md	1K6plzCK595lIErt1gWfu9KeTmjKCwTkj	READ-ch16x.md	13943	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch16z.md	19NqsbWgWjpVYKS0Clz6uDhGFuA5CuM52	READ-ch16z.md	15938	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch17a.md	1IgVUYhW37mAg5qaZLSc866OhtBxlPylL	READ-ch17a.md	8868	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch17c.md	1iSXnbqTc2d8ZvEmTOwcihRf2-BLiwqNd	READ-ch17c.md	8256	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch17e.md	1NZ7D_gfBbPR0ql56IVamk9J2GSUhKW1Y	READ-ch17e.md	10249	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch18a.md	1oVv5zpLoMFAP8sOqDJKlH8YFv5y8FoFp	READ-ch18a.md	10860	subfolder never walked by the original mirror	not yet transferred
The Method Materials/CORPUS/READ-ch19a.md	13irAla0b8y0zumuDP0JOl3PDqq_AOnf1	READ-ch19a.md	11428	subfolder never walked by the original mirror	not yet transferred
