# Bi III — NIST ASD 5.12, Arya & Tauheed 2020, ref L21488 · 68 levels found
# limit Bi IV (6s2 1S0) 206242.0 +/- 1.4 cm-1
# CRITICAL NOTE from the compilation: uncertainties are given for level SEPARATIONS
# from the base level 6s6p2(3P) 4P3/2 at 83038.06 cm-1. To obtain the uncertainty of
# an EXCITATION ENERGY these must be combined in quadrature with the ground-level
# uncertainty of 0.06 cm-1.
config	term	J	level_cm1	unc_cm1
6s2.6p	2P*	1/2	0.00	0.06
6s2.6p	2P*	3/2	20788.18	0.04
6s.6p2.(3P)	4P	1/2	70253.71	0.05
6s.6p2.(3P)	4P	3/2	83038.06	0.00
6s.6p2.(3P)	4P	5/2	89236.09	0.06
6s2.7s	2S	1/2	95076.57	0.08
6s2.6d	2D	3/2	96154.69	0.08
6s2.6d	2D	5/2	102446.27	0.06
6s.6p2.(3P)	2P	1/2	108054.43	0.11
6s.6p2.(3P)	2P	3/2	130964.4	0.4
6s.6p2.(1D)	2D	3/2	108586.42	0.13
6s.6p2.(1D)	2D	5/2	116414.30	0.12
6s2.7p	2P*	1/2	116993.4	0.2
6s2.7p	2P*	3/2	122128.6	0.2
6s.6p2.(1S)	2S	1/2	130984.9	0.2
6s2.5f	2F*	7/2	137455.39	0.06
6s2.5f	2F*	5/2	137555.28	0.09
6s2.8s	2S	1/2	145227.9	0.3
6s2.7d	2D	3/2	149086.7	0.3
6s2.7d	2D	5/2	149795.4	0.2
6s2.8p	2P*	1/2	154198.9	0.2
6s2.8p	2P*	3/2	156420.63	0.12
6s2.6f	2F*	7/2	162184.4	0.2
6s2.6f	2F*	5/2	162241.6	0.2
6s.6p.(3P*).7s	4P*	1/2	165218.0	0.3
6s.6p.(3P*).7s	4P*	3/2	169534.24	0.14
6s.6p.(3P*).7s	4P*	5/2	188525.7	0.3
6s2.5g	2G	9/2	166234.6	0.4
6s2.5g	2G	7/2	166237.2	0.4
6s2.9s	2S	1/2	167288.7	0.3
6s.6p.(3P*).6d	4F*	3/2	168045.0	0.3
6s.6p.(3P*).6d	4F*	3/2	172048.8	0.4
6s.6p.(3P*).6d	4F*	5/2	172329.2	0.2
6s.6p.(3P*).6d	4F*	7/2	177625.5	0.2
6s2.8d	2D	3/2	169293.1	0.2
6s2.8d	2D	5/2	169657.6	0.5
6s.6p.(3P*).7s	2P*	1/2	172833.6	0.2
6s.6p.(3P*).7s	2P*	3/2	191311.0	0.3
6s.6p.(3P*).6d	2D*	5/2	174092.4	0.2
6s.6p.(3P*).6d	4D*	3/2	177707.4	0.2
6s.6p.(3P*).6d	4D*	1/2	178333.4	0.2
6s.6p.(3P*).6d	4D*	7/2	194993.7	0.3
6s.6p.(3P*).6d	4D*	5/2	196484.6	0.3
6s2.6g	2G	9/2	178465.5	0.3
6s2.6g	2G	7/2	178469.0	0.3
6s2.6h	2H*	9/2	178718.1	1.0
6s2.6h	2H*	11/2	178718.1	1.0
6s.6p.(3P*).6d	4P*	5/2	180297.7	0.2
6s.6p.(3P*).6d	4P*	3/2	196916.1	0.4
6s.6p.(3P*).6d	4P*	1/2	197283.0	0.8
6p3	4S*	3/2	185738.6	0.2
6s2.7g	2G	9/2	185848.1	0.4
6s2.7g	2G	7/2	185852.1	0.4
6s2.7h	2H*	9/2	186024.1	0.4
6s2.7h	2H*	11/2	186024.1	0.4
6s2.8g	2G	9/2	190640.8	0.5
6s2.8g	2G	7/2	190643.6	0.5
6s.6p.(3P*).6d	2F*	5/2	191396.2	0.4
6s.6p.(3P*).6d	2P*	3/2	198807.1	0.2
6s.6p.(3P*).6d	2P*	1/2	199503.7	0.9
6p3	2D*	3/2	201570.2	0.2
6s.6p.(1P*).6d	2D*	5/2	204727.3	0.3
