species	designation	source_cut	core_prefix	limit_cm1	n	E_cm1
Ar II	ng 2[4] J=9/2	ArII_highl.tsv		222848.300	6	210609.378
Ar II	ng 2[4] J=9/2	ArII_highl.tsv		222848.300	7	213860.492
Ar II	ng 2[4] J=9/2	ArII_highl.tsv		222848.300	8	215983.21
Ar II	ng 2[6] J=11/2	ArII_highl.tsv		222848.300	6	210642.7273
Ar II	ng 2[6] J=11/2	ArII_highl.tsv		222848.300	7	213881.217
Ar II	ng 2[6] J=11/2	ArII_highl.tsv		222848.300	8	215983.21
Ar II	ng 2[6] J=13/2	ArII_highl.tsv		222848.300	6	210642.4469
Ar II	ng 2[6] J=13/2	ArII_highl.tsv		222848.300	7	213881.214
Ar II	ng 2[6] J=13/2	ArII_highl.tsv		222848.300	8	215983.36
Ar II	3s2.3p4.(3P).nd 4D J=7/2	ArII_asd.tsv	3s2.3p4.(3P).	222848.300	3	132327.3616
Ar II	3s2.3p4.(3P).nd 4D J=7/2	ArII_asd.tsv	3s2.3p4.(3P).	222848.300	4	183675.6614
Ar II	3s2.3p4.(3P).nd 4D J=7/2	ArII_asd.tsv	3s2.3p4.(3P).	222848.300	5	199879.3828
Ar II	3s2.3p4.(3P).ns 4P J=1/2	ArII_asd.tsv	3s2.3p4.(3P).	222848.300	4	135601.7336
Ar II	3s2.3p4.(3P).ns 4P J=1/2	ArII_asd.tsv	3s2.3p4.(3P).	222848.300	5	182951.2609
Ar II	3s2.3p4.(3P).ns 4P J=1/2	ArII_asd.tsv	3s2.3p4.(3P).	222848.300	6	200110.4236
Ar II	3s2.3p4.(3P).ns 4P J=3/2	ArII_asd.tsv	3s2.3p4.(3P).	222848.300	4	135085.9958
Ar II	3s2.3p4.(3P).ns 4P J=3/2	ArII_asd.tsv	3s2.3p4.(3P).	222848.300	5	182222.1209
Ar II	3s2.3p4.(3P).ns 4P J=3/2	ArII_asd.tsv	3s2.3p4.(3P).	222848.300	6	199138.5106
Ar II	3s2.3p4.(3P).ns 4P J=5/2	ArII_asd.tsv	3s2.3p4.(3P).	222848.300	4	134241.7389
Ar II	3s2.3p4.(3P).ns 4P J=5/2	ArII_asd.tsv	3s2.3p4.(3P).	222848.300	5	181594.1404
Ar II	3s2.3p4.(3P).ns 4P J=5/2	ArII_asd.tsv	3s2.3p4.(3P).	222848.300	6	198812.61
Ba III	ns 2[1/2]* J=1	BaIII_ryd12.tsv		306650.000	8	262960.0
Ba III	ns 2[1/2]* J=1	BaIII_ryd12.tsv		306650.000	9	276920.0
Ba III	ns 2[1/2]* J=1	BaIII_ryd12.tsv		306650.000	10	285090.0
Ba III	ns 2[1/2]* J=1	BaIII_ryd12.tsv		306650.000	11	290290.0
Ba III	ns 2[1/2]* J=1	BaIII_ryd12.tsv		306650.000	12	293810.0
Ba III	ns 2[1/2]* J=1	BaIII_ryd12.tsv		306650.000	13	296290.0
Ba III	ns 2[1/2]* J=1	BaIII_ryd12.tsv		306650.000	14	298140.0
Ba III	ns 2[1/2]* J=1	BaIII_ryd12.tsv		306650.000	15	299490.0
Ba III	ns 2[1/2]* J=1	BaIII_ryd12.tsv		306650.000	16	300620.0
Ba III	ns 2[1/2]* J=1	BaIII_ryd12.tsv		306650.000	17	301460.0
Ba III	nd 2[3/2]* J=2	BaIII_ryd32.tsv		289100.000	8	260390.0
Ba III	nd 2[3/2]* J=2	BaIII_ryd32.tsv		289100.000	9	268250.0
Ba III	nd 2[3/2]* J=2	BaIII_ryd32.tsv		289100.000	10	273180.0
Ba III	nd 2[3/2]* J=2	BaIII_ryd32.tsv		289100.000	11	276520.0
Ba III	nd 2[3/2]* J=2	BaIII_ryd32.tsv		289100.000	12	279010.0
Ba III	nd 2[3/2]* J=2	BaIII_ryd32.tsv		289100.000	13	280760.0
Ba III	nd 2[3/2]* J=2	BaIII_ryd32.tsv		289100.000	14	282110.0
Ba III	nd 2[3/2]* J=2	BaIII_ryd32.tsv		289100.000	15	283140.0
Ba III	nd 2[3/2]* J=2	BaIII_ryd32.tsv		289100.000	16	283970.0
Ba III	nd 2[3/2]* J=2	BaIII_ryd32.tsv		289100.000	17	284630.0
Ba III	nd 2[3/2]* J=2	BaIII_ryd32.tsv		289100.000	19	285650.0
Ba III	nd 2[3/2]* J=2	BaIII_ryd32.tsv		289100.000	20	286000.0
Ba III	nd 2[3/2]* J=2	BaIII_ryd32.tsv		289100.000	21	286310.0
Ba III	nd 2[3/2]* J=2	BaIII_ryd32.tsv		289100.000	22	286600.0
Ba III	ns 2[3/2]* J=1	BaIII_ryd32.tsv		289100.000	9	259470.0
Ba III	ns 2[3/2]* J=1	BaIII_ryd32.tsv		289100.000	10	267620.0
Ba III	ns 2[3/2]* J=1	BaIII_ryd32.tsv		289100.000	11	272790.0
Ba III	ns 2[3/2]* J=1	BaIII_ryd32.tsv		289100.000	12	276300.0
Ba III	ns 2[3/2]* J=1	BaIII_ryd32.tsv		289100.000	13	278790.0
Ba III	ns 2[3/2]* J=1	BaIII_ryd32.tsv		289100.000	14	280610.0
Ba III	ns 2[3/2]* J=1	BaIII_ryd32.tsv		289100.000	15	281990.0
Ba III	ns 2[3/2]* J=1	BaIII_ryd32.tsv		289100.000	16	283060.0
Ba III	ns 2[3/2]* J=1	BaIII_ryd32.tsv		289100.000	17	283910.0
Ba III	ns 2[3/2]* J=1	BaIII_ryd32.tsv		289100.000	18	284580.0
Ba III	ns 2[3/2]* J=1	BaIII_ryd32.tsv		289100.000	19	285140.0
Ba III	ns 2[3/2]* J=1	BaIII_ryd32.tsv		289100.000	20	285600.0
Ba III	ns 2[3/2]* J=1	BaIII_ryd32.tsv		289100.000	21	286000.0
Ba III	ns 2[3/2]* J=1	BaIII_ryd32.tsv		289100.000	22	286310.0
Ba III	ns 2[3/2]* J=1	BaIII_ryd32.tsv		289100.000	23	286600.0
Ca I	nd 1D J=2	CaI_full.tsv		49305.950	4	37298.287
Ca I	nd 1D J=2	CaI_full.tsv		49305.950	5	42919.053
Ca I	nd 1D J=2	CaI_full.tsv		49305.950	6	44989.83
Ca I	nd 1D J=2	CaI_full.tsv		49305.950	7	46200.13
Ca I	nd 1D J=2	CaI_full.tsv		49305.950	8	46948.98
Ca I	nd 1D J=2	CaI_full.tsv		49305.950	9	47812.39
Ca I	nd 3D J=1	CaI_full.tsv		49305.950	4	37748.197
Ca I	nd 3D J=1	CaI_full.tsv		49305.950	5	42743.002
Ca I	nd 3D J=1	CaI_full.tsv		49305.950	6	45049.073
Ca I	nd 3D J=1	CaI_full.tsv		49305.950	7	46301.973
Ca I	nd 3D J=1	CaI_full.tsv		49305.950	8	47036.225
Ca I	nd 3D J=1	CaI_full.tsv		49305.950	9	47752.655
Ca I	nf 1F* J=3	CaI_full.tsv		49305.950	4	42343.587
Ca I	nf 1F* J=3	CaI_full.tsv		49305.950	5	44804.878
Ca I	nf 1F* J=3	CaI_full.tsv		49305.950	6	46182.399
Ca I	nf 1F* J=3	CaI_full.tsv		49305.950	7	47015.141
Ca I	nf 1F* J=3	CaI_full.tsv		49305.950	8	47555.23
Ca I	nf 3F* J=2	CaI_full.tsv		49305.950	4	42170.214
Ca I	nf 3F* J=2	CaI_full.tsv		49305.950	5	44762.62
Ca I	nf 3F* J=2	CaI_full.tsv		49305.950	6	46164.644
Ca I	nf 3F* J=2	CaI_full.tsv		49305.950	7	47006.194
Ca I	nf 3F* J=2	CaI_full.tsv		49305.950	8	47550.214
Ca I	nf 3F* J=2	CaI_full.tsv		49305.950	9	47921.87
Ca I	np 1P* J=1	CaI_full.tsv		49305.950	5	36731.615
Ca I	np 1P* J=1	CaI_full.tsv		49305.950	6	41679.008
Ca I	np 1P* J=1	CaI_full.tsv		49305.950	7	45425.358
Ca I	np 1P* J=1	CaI_full.tsv		49305.950	8	46479.813
Ca I	np 1P* J=1	CaI_full.tsv		49305.950	9	47184.37
Ca I	np 1P* J=1	CaI_full.tsv		49305.950	10	47662.1
Ca I	ns 1S J=0	CaI_full.tsv		49305.950	5	33317.264
Ca I	ns 1S J=0	CaI_full.tsv		49305.950	6	40690.435
Ca I	ns 1S J=0	CaI_full.tsv		49305.950	7	44276.538
Ca I	ns 1S J=0	CaI_full.tsv		49305.950	8	45887.2
Ca I	ns 1S J=0	CaI_full.tsv		49305.950	9	46835.055
Ca I	ns 1S J=0	CaI_full.tsv		49305.950	10	47437.471
Ca I	ns 1S J=0	CaI_full.tsv		49305.950	11	47843.76
Ca I	ns 3S J=1	CaI_full.tsv		49305.950	5	31539.495
Ca I	ns 3S J=1	CaI_full.tsv		49305.950	6	40474.241
Ca I	ns 3S J=1	CaI_full.tsv		49305.950	7	43980.767
Ca I	ns 3S J=1	CaI_full.tsv		49305.950	8	45738.684
Ca I	ns 3S J=1	CaI_full.tsv		49305.950	9	46748.283
