# N I — NIST ASD 5.12, ref L7288 · Z=7, neutral
# limit NOT printed; DERIVED by the lowest-rms rule (register 1059)
# the 2s2.2p2.(3P).nl series
config	term	J	level_cm1
3s	4P	1/2	83284.070
4s	4P	1/2	103622.51
5s	4P	1/2	109812.233
6s	4P	1/2	112565.470
3s	2P	1/2	86137.350
4s	2P	1/2	104144.820
5s	2P	1/2	110035.720
6s	2P	1/2	112691.96
3p	4D*	1/2	94770.880
4p	4D*	1/2	106758.731
5p	4D*	1/2	111143.567
3p	4P*	1/2	95475.310
4p	4P*	1/2	106980.480
5p	4P*	1/2	111271.596
3p	2D*	3/2	96787.680
4p	2D*	3/2	107182.788
5p	2D*	3/2	111853.061
3d	4F	3/2	104664.130
4d	4F	3/2	110194.654
5d	4F	3/2	112759.966
3d	2F	5/2	104810.360
4d	2F	5/2	110286.305
5d	2F	5/2	112812.518
3d	4D	1/2	104984.37
4d	4D	1/2	110385.795
