# Cd II — NIST ASD 5.12, ref L3466/L3540 · Z=48, 47 electrons
# limit Cd III (4d10 1S0) = 136,374.74 +/- 0.10 cm-1  — PUBLISHED
config	term	J	level_cm1
5s	2S	1/2	0.00
6s	2S	1/2	82990.66
7s	2S	1/2	107300.88
8s	2S	1/2	118040.65
9s	2S	1/2	123751.48
10s	2S	1/2	127152.89
11s	2S	1/2	129343.05
12s	2S	1/2	130835.86
13s	2S	1/2	131899.07
5p	2P*	1/2	44136.08
6p	2P*	1/2	94710.41
7p	2P*	1/2	112361.06
8p	2P*	1/2	120618.46
9p	2P*	1/2	125223.06
11p	2P*	1/2	129956.3
12p	2P*	1/2	131261.1
5d	2D	3/2	89689.25
6d	2D	3/2	110174.10
7d	2D	3/2	119522.72
8d	2D	3/2	124613.30
9d	2D	3/2	127697.43
10d	2D	3/2	129708.50
11d	2D	3/2	131092.90
12d	2D	3/2	132086.77
13d	2D	3/2	132824.25
4f	2F*	5/2	108419.47
5f	2F*	5/2	118545.77
6f	2F*	5/2	123988.39
7f	2F*	5/2	127283.04
8f	2F*	5/2	129419.38
9f	2F*	5/2	130878.61
5g	2G	7/2	118769.95
6g	2G	7/2	124151.26
7g	2G	7/2	127396.62
8g	2G	7/2	129502.43
9g	2G	7/2	130946.09
10g	2G	7/2	131978.47
11g	2G	7/2	132742.26
