  2I_max  I    source rungs        proj   D_last   value-counts                  cells(D_last)          L%
    14   7.0   none               no      14     [23]                                     3,500,500   0.318563
    14   7.0   none               yes     15     [23, 23]                                32,870,700   0.130061
    14   7.0   F_s on J_c         no      15     [23, 20]                                62,305,875   0.283507
    14   7.0   F_s on J_c         yes     17     [23, 20, 23, 20]                     5,576,959,325   0.055166
    14   7.0   J_s + F_s          no      16     [23, 6, 20]                            331,756,500   0.251596
    14   7.0   J_s + F_s          yes     18     [23, 6, 20, 23, 20]                 28,750,348,500   0.047399
    18   9.0   none               no      14     [27]                                     4,297,020   0.333117
    18   9.0   none               yes     15     [27, 27]                                48,864,000   0.140299
    18   9.0   F_s on J_c         no      15     [27, 24]                                93,619,155   0.302400
    18   9.0   F_s on J_c         yes     17     [27, 24, 27, 24]                    12,244,692,075   0.061037
    18   9.0   J_s + F_s          no      16     [27, 6, 24]                            501,407,580   0.269934
    18   9.0   J_s + F_s          yes     18     [27, 6, 24, 27, 24]                 63,937,149,000   0.053118
reference: fill13 = 0.416801%; joint (k,2J_c,2J) classes = 91; Σ = 199,130
