Z	charge	l	mult	delta	spread	term	parent	language	n_lo	n_hi	members	limit	limit_label	limit_status	delta_status	span	cell_exists	delta_mean	delta_asym	R_status	file
19	1	0	2			2S		LS	4	18	0			no limit published	unusable — no limit		yes			RINF — mass not in table (flagged)	spectra_raw/KI.tsv
19	1	1	2			2P*		LS	4	15	0			no limit published	unusable — no limit		yes			RINF — mass not in table (flagged)	spectra_raw/KI.tsv
19	1	2	2			2D		LS	3	13	0			no limit published	unusable — no limit		yes			RINF — mass not in table (flagged)	spectra_raw/KI.tsv
19	1	3	2			2F*		LS	4	12	0			no limit published	unusable — no limit		yes			RINF — mass not in table (flagged)	spectra_raw/KI.tsv
19	1	4	2			2G		LS	5	5	0			no limit published	unusable — no limit		yes			RINF — mass not in table (flagged)	spectra_raw/KI.tsv
19	2	0	1			1P*		LS	4	4	0			no limit published	unusable — no limit		yes			RINF — mass not in table (flagged)	spectra_raw/queue2/KII.tsv
19	2	0	3			3P*		LS	4	4	0			no limit published	unusable — no limit		yes			RINF — mass not in table (flagged)	spectra_raw/queue2/KII.tsv
19	2	1	1			1D		LS	4	4	0			no limit published	unusable — no limit		yes			RINF — mass not in table (flagged)	spectra_raw/queue2/KII.tsv
19	2	1	1			1P		LS	4	4	0			no limit published	unusable — no limit		yes			RINF — mass not in table (flagged)	spectra_raw/queue2/KII.tsv
19	2	1	1			1S		LS	4	4	0			no limit published	unusable — no limit		yes			RINF — mass not in table (flagged)	spectra_raw/queue2/KII.tsv
19	2	1	3			3D		LS	4	4	0			no limit published	unusable — no limit		yes			RINF — mass not in table (flagged)	spectra_raw/queue2/KII.tsv
19	2	1	3			3P		LS	4	4	0			no limit published	unusable — no limit		yes			RINF — mass not in table (flagged)	spectra_raw/queue2/KII.tsv
19	2	1	3			3S		LS	4	4	0			no limit published	unusable — no limit		yes			RINF — mass not in table (flagged)	spectra_raw/queue2/KII.tsv
