source	member	size_bytes	md5	disposition	target_path	note
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	BANK-2_13-MANIFEST.txt	35143	1ec2e919a53830f6b52c1f961aadd167	EXTRACTED	extracted/projects/the-method/BANK-2_13-MANIFEST.txt	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	BOARD-2.md	1948	2634c2c093676105853190203a4f48ec	DUP-OF-EXTRACTED	extracted/archives/method16-rp-b-data/BOARD.md	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	BOARD-3-REVISED.md	11108	6bfe8a2be1421912c3848e214ee2785b	EXTRACTED	extracted/projects/the-method/BOARD-3-REVISED.md	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	BRIDGE-1_8_3-to-next.md	3113	4c93f02fe3a78e8d52a24ce334d03e5c	DUP-OF-EXTRACTED	extracted/archives/method16-rp-b-data/BRIDGE-1_8_3-to-next.md	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	BRIDGE-LOWDIN-SESSION-2.md	12557	082911757d107c02b1f3b873c3abd1e5	EXTRACTED	extracted/projects/the-method/BRIDGE-LOWDIN-SESSION-2.md	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	BRIDGE-LOWDIN-SESSION.md	11847	12a0e2ada83e5986d1125021c21d5c1c	EXTRACTED	extracted/projects/the-method/BRIDGE-LOWDIN-SESSION.md	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	CLIQUE3-FINDING.md	3179	14e041013259ec62112f0d8d23403b8b	EXTRACTED	extracted/projects/the-method/CLIQUE3-FINDING.md	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	CODE-LOWDIN-2_13.txt	57780	32d6cf601b40ad255f19bad3999c0974	EXTRACTED	extracted/projects/the-method/CODE-LOWDIN-2_13.txt	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	COORDINATES-2_13.csv	10912381	906d08be19630b6f824ec0164de11773	PRESENT-IN-REPO	drive/The Method Materials/COORDINATES-2_13.csv	byte-identical to a file already tracked
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	DIAGONAL-FINDING.md	7836	8fb44bb624431c46f793ba7917e33204	EXTRACTED	extracted/projects/the-method/DIAGONAL-FINDING.md	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	DIGEST-5.md	20213	4831968b23b98a5c3f32184b311f7dea	DUP-OF-EXTRACTED	extracted/archives/method16-rp-b-data/DIGEST.md	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	DIGEST-BOARD-2_13.txt	36393	c08cd033647cc85c147a5c7b47c15f20	EXTRACTED	extracted/projects/the-method/DIGEST-BOARD-2_13.txt	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	FEASIBILITY-FINDING.md	8544	01e05fccf9a9c87cc45f55e68c8b901e	EXTRACTED	extracted/projects/the-method/FEASIBILITY-FINDING.md	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	FINDINGS-LOWDIN-2_13.txt	26412	1f9d8a1a622c5c87520012582effc538	EXTRACTED	extracted/projects/the-method/FINDINGS-LOWDIN-2_13.txt	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	HANDOFF-CERTIFICATE-1_8_3.md	727	ebd56cb49f80136337c4c010fa92ff49	DUP-OF-EXTRACTED	extracted/archives/method16-rp-b-data/HANDOFF-CERTIFICATE-1_8_3.md	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	MANIFEST-LOWDIN-2-1.txt	618	649497490e77568b8314de86930d5b3b	EXTRACTED	extracted/projects/the-method/MANIFEST-LOWDIN-2-1.txt	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	P1-FINDING.md	5072	eb25338097ff643891f01b85b86622b0	EXTRACTED	extracted/projects/the-method/P1-FINDING.md	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	PRESS-CERTIFICATE-1_8_4.md	10598	35ee39b8853e9150c3c7cef92309892b	EXTRACTED	extracted/projects/the-method/PRESS-CERTIFICATE-1_8_4.md	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	REGISTER-2_13.txt	1146339	49800023c363a911289ab8846357f903	EXTRACTED	extracted/projects/the-method/REGISTER-2_13.txt	
drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json	SLIP-FORMAT.md	2107	a5c9ef35b61282a3855fa1b101953aa1	EXTRACTED	extracted/projects/the-method/SLIP-FORMAT.md	
