Z	charge	l	mult	term	parent	language	n_lo	n_hi	members_stored	members_found	count_match	delta_stored	delta_median	delta_mean	delta_asym	spread	bracketed	asym_bracketed	delta_status	refusal
13	1	1	2	2P*		LS	3	7	10	10	yes	1.29719	1.29719	1.33674	1.28416	0.20958	0	no	usable	
13	1	0	2	2S		LS	4	16	13	13	yes	1.76093	1.76093	1.76709	1.75882	0.05360	7	yes	usable	
13	1	1	4	4P		LS	3	3	3	0	no									outer_occupancy_gt_1
13	1	2	2	2D		LS	3	34	39	64	no	-0.02977	-0.02021	0.02489	0.27483	0.63035	0	no	usable	
13	1	3	2	2F*		LS	4	10	9	14	no	0.03474	0.03600	0.03495	0.03787	0.00884	4	yes	usable	
13	1	4	2	2G		LS	5	7	3	6	no	0.00841	0.00841	0.00830	0.00892	0.00134	0	no	usable	
13	1	0	4	4P*	3P*	LS	4	5	4	4	yes	1.85615	1.85615	1.84238	1.79642	0.06439	0	no	usable	
13	1	2	2	2D*	3P*	LS	3	5	6	6	yes	0.53244	0.53244	0.53270	0.53868	0.01378	0	no	usable	
13	1	1	0		3P*	LS	4	11	21	21	yes	1.26525	1.26525	1.24736	0.99430	0.37299	0	no	usable	
13	1	1	2	2P	3P*	LS	4	5	3	3	yes	1.28691	1.28691	1.28850	1.28677	0.00505	0	no	usable	
13	1	2	4	4D*	3P*	LS	3	3	4	4	yes	0.24130	0.24130	0.24089	0.24293	0.00490	0	no	usable	
13	1	1	2	2D	3P*	LS	4	7	4	8	no	1.12650	1.12650	1.11995	1.02465	0.17750	0	no	usable	
13	1	2	4	4P*	3P*	LS	3	3	3	3	yes	0.14055	0.14055	0.14123	0.14549	0.00785	0	no	usable	
13	1	2	2	2F*	3P*	LS	3	4	4	4	yes	0.05270	0.05270	0.04867	0.05728	0.03003	0	no	usable	
13	1	1	2	2S	3P*	LS	4	7	4	4	yes	1.00069	1.00069	0.99344	0.92112	0.13014	0	no	usable	
13	1	1	2	2D?	3P*	LS	8	11	5	5	yes	0.77072	0.77072	0.71459	0.29403	0.69486	0	no	usable	
13	1	1	2	2S?	3P*	LS	8	11	4	4	yes	0.60311	0.60311	0.57264	0.25411	0.57613	0	no	usable	
5	1	1	2	2P*		LS	2	9	11	11	yes	0.53527	0.53527	0.56817	0.52386	0.19569	0	no	usable	
5	1	1	4	4P		LS	2	2	3	0	no									outer_occupancy_gt_1
5	1	0	2	2S		LS	3	10	8	8	yes	0.92172	0.92172	0.90472	0.87780	0.32363	0	no	usable	
5	1	2	2	2D		LS	3	39	38	43	no	0.03920	0.03816	0.03314	0.07963	0.10803	0	no	usable	
5	1	3	2	2F*		LS	4	11	9	13	no	0.01382	0.01382	0.01354	0.01535	0.00449	0	no	usable	
5	1	0	4	4P*	3P*	LS	3	4	4	4	yes	0.99291	0.99291	0.99219	0.98953	0.00385	0	no	usable	
5	1	1	2	2P	3P*	LS	3	6	6	6	yes	0.47161	0.47161	0.47562	0.46509	0.02394	0	no	usable	
5	1	2	4	4D*	3P*	LS	3	5	7	7	yes	0.18383	0.18383	0.17605	0.25844	0.11909	0	no	usable	
5	1	2	4	4P*	3P*	LS	3	3	3	3	yes	0.05118	0.05118	0.05125	0.05161	0.00063	0	no	usable	
56	1	0	1	1S		LS	6	25	20	19	no	4.20179	4.20084	4.20002	4.20349	0.20505	0	no	usable	
56	1	2	3	3D		LS	5	25	63	64	no	2.78367	2.78367	2.43921	2.82079	9.98484	0	no	usable	
56	1	2	1	1D		LS	5	25	24	23	no	2.68725	2.69020	1.81176	2.73530	19.93596	0	no	usable	
56	1	1	3	3P*		LS	6	25	46	46	yes	3.80231	3.80231	3.07307	3.77636	16.05682	0	no	usable	
56	1	1	1	1P*		LS	6	25	22	22	yes	3.74874	3.74874	3.62232	3.83276	2.49595	0	no	usable	
56	1	2	3	3F		LS	5	7	9	6	no	1.07872	-1.77367	-5.02068	-4.49722	18.36794	0	no	usable	
56	1	1	3	3F*		LS	6	7	5	5	yes	3.54973	3.54973	3.12394	2.54281	1.38683	0	no	usable	
56	1	2	3	3P		LS	5	7	8	5	no	0.87629	0.60289	-5.94467	-6.59554	26.46588	0	no	usable	
56	1	1	3	3D*		LS	6	8	7	7	yes	2.54904	2.54904	2.22614	-1.80629	5.32634	0	no	usable	
56	1	0	3	3S		LS	7	25	16	16	yes	4.28261	4.28261	4.29721	4.27728	0.12908	0	no	usable	
56	1	0	3	3D		LS	7	8	6	6	yes	2.48808	2.48808	2.31598	1.56748	3.17521	0	no	usable	
56	1	1	3	3P		LS	6	6	3	0	no									outer_occupancy_gt_1
56	1	3	3	3F*		LS	4	25	25	25	yes	0.16810	0.16810	0.16222	0.17478	0.14466	0	no	usable	
56	1	3	1	1F*		LS	4	7	4	4	yes	0.11054	0.11054	0.07586	0.13696	0.19155	0	no	usable	
56	1	2	3	3G		LS	6	7	6	6	yes	-0.32851	-0.32851	-1.41622	-2.06197	9.82049	0	no	usable	
56	1	4	1	1G		LS	8	25	18	18	yes	0.05072	0.05072	0.04993	0.04339	0.03354	0	no	usable	
56	1	4	3	3G		LS	8	25	29	54	no	0.05145	0.05102	0.05283	0.04339	0.10473	0	no	usable	
55	1	0	2	2S		LS	6	25	20	20	yes	4.05120	4.05120	4.05793	4.04991	0.08085	0	no	usable	
55	1	1	2	2P*		LS	6	25	40	40	yes	3.59251	3.59251	3.58494	3.59238	0.11203	2	no	usable	
55	1	2	2	2D		LS	5	25	42	42	yes	2.46643	2.46643	2.46968	2.47546	0.03053	0	no	usable	
55	1	3	2	2F*		LS	4	25	44	44	yes	0.03254	0.03254	0.03134	0.03325	0.01136	6	yes	usable	
55	1	4	2	2G		LS	5	25	28	28	yes	0.00667	0.00667	0.00649	0.00702	0.00194	4	yes	usable	
87	1	0	2	2S		LS	7	30	24	24	yes	5.07221	5.07221	5.07940	5.07108	0.10117	0	no	usable	
87	1	1	2	2P*		LS	7	30	48	48	yes	4.59521	4.59521	4.55927	4.59845	0.19183	0	no	usable	
