species	channel	n	levels	interior	bracket	nstar	delta	spread	Zeff	limit	limprov	lit
Al I	3s²nf ²F°	4–55	52	50	50/50	4.0–55.0	+0.0429	0.0552	1	48,278.480	published	unverified
Al I	3s²nd ²D	3–34	32	30	30/30	2.6–33.7	+0.0248	0.6297	1	48,278.480	published	unverified
Al I	3s²ns ²S	4–16	13	11	11/11	2.2–14.2	+1.7670	0.0537	1	48,278.480	published	unverified
Al I	3s²np ²P°	3–7	5	3	3/3	1.5–5.7	+1.3365	0.2080	1	48,278.480	published	unverified
Al II	3sns ¹S	4–16	13	11	11/11	2.8–14.8	+1.2028	0.0147	2	151,862.500	published	unverified
Al II	3sns ³S	4–13	10	8	8/8	2.7–11.7	+1.2711	0.0474	2	151,862.500	published	unverified
Al II	3snd ¹D	3–11	9	7	7/7	3.2–10.9	+0.0603	0.3897	2	151,862.500	published	unverified
Al II	3sng	5–13	9	7	7/7	5.0–13.0	+0.0212	0.0070	2	151,862.500	published	unverified
Al II	3snd ³D	3–10	8	6	6/6	2.8–9.8	+0.2024	0.0096	2	151,862.500	published	unverified
Al II	3snf ³F°	4–11	8	6	6/6	3.9–11.0	+0.0140	0.4088	2	151,862.500	published	unverified
Al II	3snp ³P°	4–10	7	5	5/5	3.1–9.1	+0.8982	0.0571	2	151,862.500	published	unverified
Ar II	(³P)ns ⁴P J=5/2	4–6	3	1	1/1	2.2–4.3	+1.7463	0.0477	2	222,848.300	published	unverified
Ar II	(³P)ns ⁴P J=3/2	4–6	3	1	1/1	2.2–4.3	+1.7246	0.0663	2	222,848.300	published	unverified
Ar II	(³P)ns ⁴P J=1/2	4–6	3	1	1/1	2.2–4.4	+1.6821	0.1507	2	222,848.300	published	unverified
Ar II	(³P)ns ²P J=3/2	4–6	3	1	1/1	2.3–4.4	+1.6711	0.1084	2	222,848.300	published	unverified
Ar II	(³P)ns ²P J=1/2	4–6	3	1	1/1	2.3–4.4	+1.6355	0.1526	2	222,848.300	published	unverified
Ar II	(³P)nd ⁴D J=7/2	3–5	3	1	1/1	2.2–4.4	+0.6930	0.1695	2	222,848.300	published	unverified
Ar II	(³P)nd ⁴D J=5/2	3–5	3	1	1/1	2.2–4.4	+0.6880	0.1753	2	222,848.300	published	unverified
Ar II	(³P)nd ⁴D J=3/2	3–5	3	1	1/1	2.2–4.4	+0.6786	0.1919	2	222,848.300	published	unverified
Ar II	(³P)nd ⁴D J=1/2	3–5	3	1	1/1	2.2–4.4	+0.6669	0.2155	2	222,848.300	published	unverified
Ar II	(³P)nd ⁴F J=9/2	3–5	3	1	1/1	2.3–4.4	+0.6121	0.0885	2	222,848.300	published	unverified
Be I	2snp ¹P°	3–13	11	9	9/9	2.7–12.6	+0.3590	0.1025	1	75,192.500	published	unverified
Be I	2snd ³D	3–12	10	8	8/8	2.9–11.9	+0.1109	0.0129	1	75,192.500	published	unverified
Be I	2snd ¹D	3–12	10	8	8/8	3.2–12.1	-0.1152	0.0970	1	75,192.500	published	unverified
Be I	2sns ¹S	3–11	9	7	7/7	2.3–10.3	+0.6774	0.0136	1	75,192.500	published	unverified
Be I	2sns ³S	3–8	6	4	4/4	2.2–7.2	+0.7910	0.0429	1	75,192.500	published	unverified
Be I	2snp ³P°	3–8	6	4	4/4	2.6–7.6	+0.3773	0.0374	1	75,192.500	published	unverified
Be I	2snf ³F°	4–7	4	2	2/2	4.0–7.0	+0.0305	0.0063	1	75,192.500	published	unverified
Be II	ns ²S	2–10	9	7	7/7	1.7–9.7	+0.2623	0.0112	2	146,882.860	published	unverified
Be II	np ²P°	2–10	9	7	7/7	2.0–10.0	+0.0491	0.0039	2	146,882.860	published	unverified
Be II	nd ²D	3–9	7	5	5/5	3.0–9.0	+0.0021	0.0004	2	146,882.860	published	unverified
Be II	nf ²F°	4–10	7	5	5/5	4.0–10.0	+0.0001	0.0001	2	146,882.860	published	unverified
Be II	ng ²G	5–10	6	4	4/4	5.0–10.0	-0.0001	0.0001	2	146,882.860	published	unverified
Be II	nh ²H°	6–10	5	3	3/3	6.0–10.0	-0.0002	0.0001	2	146,882.860	published	unverified
