Z	l	term	parent	members	cause	subcause
13	1	2P*		10	Z_match	—
13	0	2S		13	Z_match	—
13	1	4P		3	D_term_string_mismatch	outer shell occupancy>1
13	2	2D		39	G_over_recover	no parent recorded
13	3	2F*		9	G_over_recover	no parent recorded
13	4	2G		3	G_over_recover	no parent recorded
13	0	4P*	3P*	4	Z_match	—
13	2	2D*	3P*	6	Z_match	—
13	1		3P*	21	H_under_recover	parent pooling / unresolved
13	1	2P	3P*	3	Z_match	—
13	2	4D*	3P*	4	Z_match	—
13	1	2D	3P*	4	G_over_recover	parent pooling / unresolved
13	2	4P*	3P*	3	Z_match	—
13	2	2F*	3P*	4	Z_match	—
13	1	2S	3P*	4	Z_match	—
13	1	2D?	3P*	5	D_term_string_mismatch	uncertainty flag on shell
13	1	2S?	3P*	4	D_term_string_mismatch	uncertainty flag on shell
5	1	2P*		11	Z_match	—
5	1	4P		3	D_term_string_mismatch	outer shell occupancy>1
5	0	2S		8	Z_match	—
5	2	2D		38	G_over_recover	no parent recorded
5	3	2F*		9	G_over_recover	no parent recorded
5	0	4P*	3P*	4	Z_match	—
5	1	2P	3P*	6	Z_match	—
5	2	4D*	3P*	7	Z_match	—
5	2	4P*	3P*	3	Z_match	—
56	0	1S		20	H_under_recover	no parent recorded
56	2	3D		63	G_over_recover	no parent recorded
56	2	1D		24	H_under_recover	no parent recorded
56	1	3P*		46	Z_match	—
56	1	1P*		22	Z_match	—
56	2	3F		9	H_under_recover	no parent recorded
56	1	3F*		5	Z_match	—
56	2	3P		8	H_under_recover	no parent recorded
56	1	3D*		7	Z_match	—
56	0	3S		16	Z_match	—
56	0	3D		6	Z_match	—
56	1	3P		3	D_term_string_mismatch	outer shell occupancy>1
56	3	3F*		25	Z_match	—
56	3	1F*		4	Z_match	—
56	2	3G		6	Z_match	—
56	4	1G		18	Z_match	—
56	4	3G		29	G_over_recover	no parent recorded
55	0	2S		20	Z_match	—
55	1	2P*		40	Z_match	—
55	2	2D		42	Z_match	—
55	3	2F*		44	Z_match	—
55	4	2G		28	Z_match	—
87	0	2S		24	Z_match	—
87	1	2P*		48	Z_match	—
87	2	2D		50	Z_match	—
31	1	2P*		50	G_over_recover	no parent recorded
31	0	2S		24	Z_match	—
31	2	2D		45	G_over_recover	no parent recorded
31	1	4P		3	D_term_string_mismatch	outer shell occupancy>1
31	3	2F*		5	G_over_recover	no parent recorded
31	1	2[1]	3P*<0>	15	G_over_recover	parent pooling / unresolved
31	1	2[1]	3P*<1>	17	G_over_recover	parent pooling / unresolved
31	1	2[2]	3P*<1>	6	G_over_recover	parent pooling / unresolved
31	1	2[2]	3P*<2>	8	G_over_recover	parent pooling / unresolved
31	1	2[0]	3P*<1>	4	Z_match	—
31	1	2[1]	3P*<2>	7	G_over_recover	parent pooling / unresolved
32	1	3P		12	H_under_recover	no parent recorded
32	1	1D		4	H_under_recover	no parent recorded
32	1	1S		4	H_under_recover	no parent recorded
32	0	3P*		3	Z_match	—
32	1	3D		9	Z_match	—
32	1	1P		4	Z_match	—
32	2	3D*		6	Z_match	—
32	1	3S		3	Z_match	—
32	2	3F*		6	Z_match	—
32	2	3P*		6	Z_match	—
32	0	(1/2,1/2)*		68	Z_match	—
32	0	(3/2,1/2)*		49	Z_match	—
32	3	2[7/2]	2P*<1/2>	8	G_over_recover	parent pooling / unresolved
32	3	2[5/2]	2P*<1/2>	8	G_over_recover	parent pooling / unresolved
32	2	*		3	Z_match	—
32	2	(3/2,3/2)*		85	Z_match	—
32	3	2[7/2]	2P*<3/2>	6	G_over_recover	parent pooling / unresolved
32	3	2[5/2]	2P*<3/2>	4	G_over_recover	parent pooling / unresolved
32	3	2[9/2]	2P*<3/2>	7	Z_match	—
32	3	2[3/2]	2P*<3/2>	4	Z_match	—
32	2	(1/2,3/2)*		82	Z_match	—
32	2	(1/2,5/2)*		90	G_over_recover	no parent recorded
32	2	(3/2,5/2)*		127	G_over_recover	no parent recorded
32	4	(1/2,7/2)*		8	Z_match	—
72	0	a 3F		3	D_term_string_mismatch	outer shell occupancy>1
72	0	a 3P		3	D_term_string_mismatch	outer shell occupancy>1
72	1	z 3D*	a_2D	3	Z_match	—
72	0	a 5F	b_4F	5	Z_match	—
72	1	z 3F*	a_2D	3	Z_match	—
72	1	z 5G*	a_4F	5	Z_match	—
72	1	z 3P*	a_2D	3	Z_match	—
72	0	a 5P	b_4P	3	Z_match	—
72	1	z 5F*	a_4F	5	Z_match	—
72	0	a 3G	b_2G	3	Z_match	—
72	0	b 3F	b_4F	3	Z_match	—
72	0	a 3D	c_2D	3	Z_match	—
72	1	z 5D*	a_4F	5	Z_match	—
