Z	charge	l	term	sym	stored	cfg	at_l	at_term	parsed	below	cause
13	1	1	2P*	Al	10	161	41	10	10	10	Z_match
13	1	0	2S	Al	13	161	17	13	13	13	Z_match
13	1	1	4P	Al	3	161	41	0	0	0	D_term_string_mismatch
13	1	2	2D	Al	39	161	81	64	64	64	G_over_recover
13	1	3	2F*	Al	9	161	14	14	14	14	G_over_recover
13	1	4	2G	Al	3	161	6	6	6	6	G_over_recover
13	1	0	4P*	Al	4	161	17	4	4	4	Z_match
13	1	2	2D*	Al	6	161	81	6	6	6	Z_match
13	1	1		Al	21	161	41	16	16	16	H_under_recover
13	1	1	2P	Al	3	161	41	3	3	3	Z_match
13	1	2	4D*	Al	4	161	81	4	4	4	Z_match
13	1	1	2D	Al	4	161	41	8	8	8	G_over_recover
13	1	2	4P*	Al	3	161	81	3	3	3	Z_match
13	1	2	2F*	Al	4	161	81	4	4	4	Z_match
13	1	1	2S	Al	4	161	41	4	4	4	Z_match
13	1	1	2D?	Al	5	161	41	0	0	0	D_term_string_mismatch
13	1	1	2S?	Al	4	161	41	0	0	0	D_term_string_mismatch
5	1	1	2P*	B	11	106	26	11	11	11	Z_match
5	1	1	4P	B	3	106	26	0	0	0	D_term_string_mismatch
5	1	0	2S	B	8	106	12	8	8	8	Z_match
5	1	2	2D	B	38	106	55	43	43	43	G_over_recover
5	1	3	2F*	B	9	106	13	13	13	13	G_over_recover
5	1	0	4P*	B	4	106	12	4	4	4	Z_match
5	1	1	2P	B	6	106	26	8	8	6	Z_match
5	1	2	4D*	B	7	106	55	7	7	7	Z_match
5	1	2	4P*	B	3	106	55	3	3	3	Z_match
56	1	0	1S	Ba	20	342	43	19	19	19	H_under_recover
56	1	2	3D	Ba	63	342	112	64	64	64	G_over_recover
56	1	2	1D	Ba	24	342	112	23	23	23	H_under_recover
56	1	1	3P*	Ba	46	342	83	46	46	46	Z_match
56	1	1	1P*	Ba	22	342	83	22	22	22	Z_match
56	1	2	3F	Ba	9	342	112	6	6	6	H_under_recover
56	1	1	3F*	Ba	5	342	83	5	5	5	Z_match
56	1	2	3P	Ba	8	342	112	5	5	5	H_under_recover
56	1	1	3D*	Ba	7	342	83	7	7	7	Z_match
56	1	0	3S	Ba	16	342	43	16	16	16	Z_match
56	1	0	3D	Ba	6	342	43	6	6	6	Z_match
56	1	1	3P	Ba	3	342	83	0	0	0	D_term_string_mismatch
56	1	3	3F*	Ba	25	342	32	25	25	25	Z_match
56	1	3	1F*	Ba	4	342	32	4	4	4	Z_match
56	1	2	3G	Ba	6	342	112	6	6	6	Z_match
56	1	4	1G	Ba	18	342	72	18	18	18	Z_match
56	1	4	3G	Ba	29	342	72	54	54	54	G_over_recover
55	1	0	2S	Cs	20	176	20	20	20	20	Z_match
55	1	1	2P*	Cs	40	176	40	40	40	40	Z_match
55	1	2	2D	Cs	42	176	44	42	42	42	Z_match
55	1	3	2F*	Cs	44	176	44	44	44	44	Z_match
55	1	4	2G	Cs	28	176	28	28	28	28	Z_match
87	1	0	2S	Fr	24	122	24	24	24	24	Z_match
87	1	1	2P*	Fr	48	122	48	48	48	48	Z_match
87	1	2	2D	Fr	50	122	50	50	50	50	Z_match
31	1	1	2P*	Ga	50	238	154	80	80	80	G_over_recover
31	1	0	2S	Ga	24	238	24	24	24	24	Z_match
31	1	2	2D	Ga	45	238	50	50	50	50	G_over_recover
31	1	1	4P	Ga	3	238	154	0	0	0	D_term_string_mismatch
31	1	3	2F*	Ga	5	238	10	10	10	10	G_over_recover
31	1	1	2[1]	Ga	15	238	154	56	56	56	G_over_recover
31	1	1	2[1]	Ga	17	238	154	56	56	56	G_over_recover
31	1	1	2[2]	Ga	6	238	154	14	14	14	G_over_recover
31	1	1	2[2]	Ga	8	238	154	14	14	14	G_over_recover
31	1	1	2[0]	Ga	4	238	154	4	4	4	Z_match
31	1	1	2[1]	Ga	7	238	154	56	56	56	G_over_recover
32	1	1	3P	Ge	12	612	31	9	9	9	H_under_recover
32	1	1	1D	Ge	4	612	31	3	3	3	H_under_recover
32	1	1	1S	Ge	4	612	31	3	3	3	H_under_recover
32	1	0	3P*	Ge	3	612	121	3	3	3	Z_match
32	1	1	3D	Ge	9	612	31	9	9	9	Z_match
32	1	1	1P	Ge	4	612	31	4	4	4	Z_match
32	1	2	3D*	Ge	6	612	414	6	6	6	Z_match
