# XRAY-KL2.tsv
# NIST X-ray Transition Energies Database
# Deslattes, R.D. et al., Rev. Mod. Phys. 75, 35-99 (2003/2005)
# https://physics.nist.gov/PhysRefData/XrayTrans/  [retrieved 2026-08-10]
# Query: element=All (Neon-Fermium), trans=KL2 (K-alpha-2), units=eV, sorttype=energy
# 98 rows. Energies in eV, thousands separators removed; NIST's compact
#   parenthetical uncertainty preserved verbatim, e.g. 849.09(54) = 849.09 +/- 0.54.
# a: blank before Bi in the source. Blank means blank; nothing inferred.
# exp_flag, verbatim from NIST's own legend:
#   * = value interpolated from nearby elements
#   # = large deviation between experiment and theory (most likely faulty measurements)
# blend: KL2,3 means Kalpha1 and Kalpha2 unresolved at this element.
# Cf 249 has NO direct experimental value in the source. The field is empty.
# NOTE: the Cf row order differs from XRAY-KL3.tsv (251, 250, 249 here;
#   251, 249, 250 there). Rows are sorted by energy in both; join on (element, a).
element	a	theory_eV	exp_eV	exp_flag	blend	ref
Ne		849.09(54)	848.61(26)		KL2,3	1d
Na		1041.77(51)	1040.98(12)		KL2,3	1d
Mg		1254.14(49)	1253.437(13)			2d
Al		1487.12(47)	1486.295(10)			2d
Si		1739.67(47)	1739.394(34)			3d
P		2013.14(45)	2012.70(48)	*		1d
S		2307.01(45)	2306.700(38)			3d
Cl		2621.27(44)	2620.846(39)			3d
Ar		2955.89(43)	2955.566(16)			4d
K		3311.97(44)	3311.1956(60)			5d
Ca		3687.56(43)	3688.128(49)			1d
Sc		4085.43(44)	4085.9526(85)			1,23d
Ti		4504.07(44)	4504.9201(94)			1,6,23d
V		4943.59(45)	4944.671(59)			1,6d
Cr		5404.06(45)	5405.5384(71)			7d
Mn		5886.20(45)	5887.6859(84)			7d
Fe		6389.51(46)	6391.0264(99)			7d
Co		6914.08(47)	6915.5380(39)			7d
Ni		7459.96(47)	7461.0343(45)			7d
Cu		8028.38(48)	8027.8416(26)			7d
Zn		8616.22(50)	8615.823(73)			1,6d
Ga		9225.10(49)	9224.835(27)			3d
Ge		9855.67(51)	9855.42(10)			1d
As		10507.84(51)	10507.50(15)			3d
Se		11181.82(52)	11181.53(31)			3d
Br		11877.69(53)	11877.75(34)			1d
Kr		12595.58(54)	12595.424(56)			3d
Rb		13335.75(56)	13335.88(21)			1d
Sr		14098.01(57)	14098.03(24)			1d
Y		14883.00(58)	14882.94(26)			1d
Zr		15690.61(60)	15690.645(50)			3d
Nb		16521.35(62)	16521.28(33)			1d
Mo		17374.18(62)	17374.29(29)			5d
Tc		18251.28(65)	18250.9(12)	*		1d
Ru		19150.67(66)	19150.49(18)			1,5d
Rh		20073.48(67)	20073.67(20)			1,5d
Pd		21020.61(70)	21020.15(22)			1,5d
Ag		21990.67(72)	21990.30(10)			5d
Cd		22984.48(75)	22984.05(20)			1,5d
In		24002.31(77)	24002.03(28)			1,5d
Sn		25044.30(79)	25044.04(23)			1,5d
Sb		26110.73(82)	26110.78(25)			1,5d
Te		27201.73(85)	27201.99(26)			1d
I		28317.62(87)	28317.52(67)			1d
Xe		29458.4(30)	29458.250(50)			5d
Cs		30624.87(95)	30625.40(45)			1d
Ba		31816.56(97)	31816.615(60)			5d
La		33034.2(10)	33034.38(26)			1d
Ce		34279.6(10)	34279.28(28)			1d
Pr		35550.5(11)	35550.59(30)			1d
Nd		36848.2(11)	36847.502(80)			5d
Pm		38172.7(12)	38171.55(70)			1d
Sm		39524.3(12)	39523.39(10)			5d
Eu		40903.5(12)	40902.33(40)			1d
Gd		42309.7(13)	42309.30(43)			1d
Tb		43745.6(13)	43744.62(46)			1d
Dy		45209.1(14)	45208.27(49)			1d
Ho		46701.0(14)	46699.98(15)			8d
Er		48223.0(15)	48221.61(20)			5d
Tm		49773.8(15)	49772.67(12)			9d
Yb		51354.7(16)	51354.60(63)			1d
Lu		52965.3(17)	52965.57(67)			1d
Hf		54606.4(17)	54612.0(11)	#		1d
Ta		56278.7(18)	56277.6(15)			1d
W		57981.9(19)	57981.77(14)			5,81d
Re		59718.3(19)	59718.57(43)			1d
Os		61486.6(20)	61487.27(90)			1d
Ir		63288.1(21)	63287.29(96)			1d
Pt		65122.6(21)	65123.3(20)			1d
Au		66993.0(23)	66990.73(22)			5d
Hg		68894.3(23)	68895.1(17)			1d
Tl		70832.7(24)	70832.5(12)			1d
Pb		72806.6(25)	72805.42(24)			5d
Bi	209	74816.8(26)	74816.21(92)			8d
Po	209	76864.1(27)	76864.4(71)	*		1d
At	210	78948.5(28)	78944(15)	*		1d
Rn	222	81070.7(30)	81066(24)	*		1d
Fr	223	83233.3(31)	83232(25)	*		1d
Ra	226	85435.1(32)	85436(12)			10d
Ac	227	87678.2(33)	87676(18)	*		1d
Th	232	89956.6(35)	89957.04(20)			5d
Pa	231	92283.5(36)	92283.4(20)			10d
U	238	94653.1(37)	94650.84(56)			5d
U	233	94655.1(37)	94652.78(70)			9d
Np	237	97067.6(39)	97068.4(30)			10d
Pu	244	99524.7(40)	99529.4(20)			10d
Pu	239	99526.0(40)	99523.2(12)			9d
Am	243	102030.1(42)	102031.3(20)			10d
Am	241	102030.7(42)	102030.3(38)			11d
Cm	248	104580.7(43)	104590.3(20)			10d
Cm	245	104581.8(43)	104589.0(50)			11d
Bk	250	107180.2(45)	107164.4(60)	#		11d
Bk	249	107180.7(45)	107194.3(50)			10d
Cf	251	109829.0(47)	109860(15)	#		11d
Cf	250	109830.0(47)	109837.3(80)			10d
Cf	249	109830.1(47)				
Es	251	112530.0(48)	112500.9(100)	#		11d
Fm	254	115280.9(50)	115319(15)	#		11d
