# XRAY-KL3.tsv
# NIST X-ray Transition Energies Database
# Deslattes, R.D. et al., Rev. Mod. Phys. 75, 35-99 (2003/2005)
# https://physics.nist.gov/PhysRefData/XrayTrans/  [retrieved 2026-08-10]
# Query: element=All (Neon-Fermium), trans=KL3 (K-alpha-1), units=eV, sorttype=energy
# 98 rows. Energies in eV, thousands separators removed; NIST's compact
#   parenthetical uncertainty preserved verbatim, e.g. 849.17(54) = 849.17 +/- 0.54.
# a: blank before Bi in the source (NIST populates A only for radionuclides).
#   Blank means blank; nothing inferred.
# exp_flag, verbatim from NIST's own legend:
#   * = value interpolated from nearby elements
#   # = large deviation between experiment and theory (most likely faulty measurements)
# blend: KL2,3 means Kalpha1 and Kalpha2 unresolved at this element.
# Cf 249 has NO direct experimental value in the source. The field is empty.
element	a	theory_eV	exp_eV	exp_flag	blend	ref
Ne		849.17(54)	848.61(26)		KL2,3	1d
Na		1041.94(51)	1040.98(12)		KL2,3	1d
Mg		1254.39(49)	1253.688(11)			2d
Al		1487.53(47)	1486.708(10)			2d
Si		1741.16(47)	1739.985(19)			3d
P		2014.73(44)	2013.68(48)	*		1d
S		2308.80(44)	2307.885(34)			3d
Cl		2623.67(43)	2622.440(39)			3d
Ar		2957.90(42)	2957.682(16)			4d
K		3314.60(42)	3313.9476(50)			5d
Ca		3690.98(41)	3691.719(49)			1d
Sc		4090.15(42)	4090.735(19)			23d
Ti		4510.38(42)	4510.8991(94)			1,6,23d
V		4951.79(42)	4952.216(59)			1,6d
Cr		5413.88(42)	5414.8045(71)			7d
Mn		5898.10(42)	5898.8010(84)			7d
Fe		6403.13(43)	6404.0062(99)			7d
Co		6929.63(43)	6930.3780(39)			7d
Ni		7477.72(44)	7478.2521(45)			7d
Cu		8048.11(45)	8047.8227(26)			7d
Zn		8639.10(45)	8638.906(73)			1,6d
Ga		9251.89(45)	9251.674(66)			3d
Ge		9886.67(46)	9886.52(11)			1d
As		10543.48(47)	10543.2674(81)			3d
Se		11222.55(48)	11222.52(12)			3d
Br		11924.02(48)	11924.36(34)			1d
Kr		12648.00(49)	12648.002(52)			3d
Rb		13395.05(51)	13395.49(19)			1d
Sr		14164.80(51)	14165.20(24)			1d
Y		14958.14(53)	14958.54(27)			1d
Zr		15774.87(54)	15774.914(54)			3d
Nb		16615.65(56)	16615.16(33)			1d
Mo		17479.10(55)	17479.372(10)			5d
Tc		18367.56(58)	18367.2(12)	*		1d
Ru		19279.51(60)	19279.16(18)			1,5d
Rh		20215.75(60)	20216.12(20)			1,5d
Pd		21177.25(64)	21177.08(17)			1,5d
Ag		22162.99(66)	22162.917(30)			5d
Cd		23173.73(67)	23173.98(20)			1,5d
In		24209.78(69)	24209.75(22)			1,5d
Sn		25271.34(72)	25271.36(23)			1,5d
Sb		26358.69(74)	26358.86(25)			1,5d
Te		27472.09(77)	27472.57(27)			1d
I		28611.94(79)	28612.32(49)			1d
Xe		29778.3(29)	29778.78(10)			5d
Cs		30972.05(86)	30973.13(46)			1d
Ba		32192.87(88)	32193.262(70)			5d
La		33441.62(91)	33442.12(27)			1d
Ce		34720.09(94)	34720.00(29)			1d
Pr		36026.27(98)	36026.71(31)			1d
Nd		37361.4(10)	37360.739(70)			5d
Pm		38725.6(11)	38725.11(72)			1d
Sm		40119.4(11)	40118.481(60)			5d
Eu		41543.3(11)	41542.63(41)			1d
Gd		42996.8(12)	42996.72(44)			1d
Tb		44482.9(12)	44482.75(47)			1d
Dy		45999.4(13)	45998.94(51)			1d
Ho		47547.5(13)	47547.10(77)			8d
Er		49128.7(14)	49127.24(12)			5d
Tm		50742.2(14)	50741.475(92)			9d
Yb		52389.1(15)	52389.48(66)			1d
Lu		54069.5(15)	54070.39(70)			1d
Hf		55784.1(16)	55790.8(11)	#		1d
Ta		57533.9(17)	57533.2(16)			1d
W		59318.8(17)	59318.847(50)			5d
Re		61141.2(18)	61141.00(89)			1d
Os		62999.9(19)	63001.07(95)			1d
Ir		64896.5(20)	64896.2(10)			1d
Pt		66831.1(20)	66832.9(21)			1d
Au		68806.9(22)	68804.50(18)			5d
Hg		70819.0(22)	70819.5(18)			1d
Tl		72873.8(23)	72872.5(13)			1d
Pb		74970.2(24)	74970.11(17)			5d
Bi	209	77108.9(25)	77109.2(22)			8d
Po	209	79291.2(26)	79292.9(75)	*		1d
At	210	81517.4(27)	81514(16)	*		1d
Rn	222	83788.6(28)	83783(25)	*		1d
Fr	223	86107.4(30)	86105(27)	*		1d
Ra	226	88473.4(30)	88476(12)			10d
Ac	227	90888.8(32)	90884.8(79)	*		1d
Th	232	93347.9(33)	93347.38(25)			5d
Pa	231	95864.8(34)	95866.4(20)			10d
U	238	98433.6(36)	98431.58(28)			5d
U	233	98435.6(36)	98433.75(60)			9d
Np	237	101057.3(37)	101056.3(30)			10d
Pu	244	103734.0(39)	103740.3(20)			10d
Pu	239	103735.4(39)	103734.05(60)			9d
Am	243	106469.8(41)	106473.3(30)			10d
Am	241	106470.4(41)	106471.3(42)			11d
Cm	248	109262.0(42)	109272.3(20)			10d
Cm	245	109263.1(42)	109272.9(50)			11d
Bk	250	112115.1(44)	112111.4(60)			11d
Bk	249	112115.7(44)	112127.3(50)			10d
Cf	251	115030.0(46)	115067(15)	#		11d
Cf	249	115031.1(46)				
Cf	250	115031.1(46)	115035.3(80)			10d
Es	251	118010.5(48)	118018(10)			11d
Fm	254	121054.5(50)	121095(15)	#		11d
