# XRAY-L1M.tsv  — DERIVED, not fetched. 3p spin-orbit splitting.
# split = L1M3 - L1M2, from XRAY-L1M3.tsv and XRAY-L1M2.tsv, joined on (element, a).
# theory_split_eV is always defined. exp_split_eV is blank where either source
#   lacks a direct experimental value.
# WARNING 1: theory_split_eV is NEGATIVE at P, S, Cl and K — physically impossible
#   for a spin-orbit splitting. It is NIST's own theory column placing L1M2 above
#   L1M3 there. Those elements sit below the analysed region and must not enter a fit.
# WARNING 2: where blend = L1M2,3 the two source tables share ONE experimental
#   value, so exp_split_eV is identically 0 and carries no information. Excluded
#   on the database's own flag, per register 1391.
# Al and Si appear in L1M2 only and have no partner; they are absent here.
element	a	z	theory_split_eV	exp_split_eV	exp_flag	blend
P		15	-2.94			
S		16	-2.21			
Cl		17	-1.46			
Ar		18	0.17			
K		19	-0.29			
Ca		20	0.37			
Sc		21	1.77			
Ti		22	3.6			
V		23	5.6	0.0	*	L1M2,3
Cr		24	6.4	0.0		L1M2,3
Mn		25	7.3	0.0		L1M2,3
Fe		26	6.6	0.0		L1M2,3
Co		27	6.0	0.0		L1M2,3
Ni		28	5.2	0.0		L1M2,3
Cu		29	2.9	0.0		L1M2,3
Zn		30	2.8	0.0		L1M2,3
Ga		31	4.0	0.0	*	L1M2,3
Ge		32	4.7	7.920000000000073		
As		33	5.5	0.0		L1M2,3
Se		34	6.2	0.0	*	L1M2,3
Br		35	7.2	0.0	*	L1M2,3
Kr		36	7.6	9.299999999999955		
Rb		37	8.8	8.8599999999999		
Sr		38	10.2	10.759999999999991		
Y		39	11.7	12.180000000000291		
Zr		40	13.3	13.34900000000016		
Nb		41	15.2	15.420000000000073		
Mo		42	17.2	17.390000000000327		
Tc		43	19.3			
Ru		44	21.8	22.23999999999978		
Rh		45	24.3	24.879999999999654		
Pd		46	27.5	27.550000000000182		
Ag		47	30.2	31.0029999999997		
Cd		48	33.7	34.25		
In		49	37.5	37.82999999999993		
Sn		50	41.7	42.0619999999999		
Sb		51	46.0	46.309999999999945		
Te		52	50.7	50.95999999999958		
I		53	55.9	55.960000000000036		
Xe		54	61.6	61.69999999999982		
Cs		55	67.2	67.40000000000055		
Ba		56	73.6	75.0		
La		57	80.4	81.60999999999967		
Ce		58	88.2	87.9399999999996		
Pr		59	96.3	93.69999999999982		
Nd		60	105.1	106.20100000000002		
Pm		61	114.4			
Sm		62	124.2	120.17000000000007		
Eu		63	134.2	133.7599999999993		
Gd		64	145.1	143.69999999999982		
Tb		65	156.0	155.80000000000018		
Dy		66	168.0	166.23999999999978		
Ho		67	180.6	180.69999999999982		
Er		68	194.0	194.2569999999996		
Tm		69	208.2	205.09999999999945		
Yb		70	223.2	223.53000000000065		
Lu		71	239.3	240.48999999999978		
Hf		72	256.4	258.0100000000002		
Ta		73	274.5	275.15000000000146		
W		74	293.5	293.6800000000003		
Re		75	313.6	313.5499999999993		
Os		76	334.8	335.4899999999998		
Ir		77	357.1	356.8200000000015		
Pt		78	380.8	376.47999999999956		
Au		79	405.7	405.6900000000005		
Hg		80	431.9	432.2999999999993		
Tl		81	459.6	459.7699999999986		
Pb		82	488.6	487.5		
Bi	209	83	519.5	518.5900000000001		
Po	209	84	551.8	552.6999999999989		
At	210	85	585.9		*	
Rn	222	86	621.4		*	
Fr	223	87	659.4		*	
Ra	226	88	699.1	697.8000000000011		
Ac	227	89	740.8		*	
Th	232	90	784.7	784.3149999999987		
Pa	231	91	831.1	826.7999999999993		
U	233	92	880.3			
U	238	92	880.3	879.6599999999999		
Np	237	93	931.3	928.5299999999988	*	
Pu	239	94	985.4	984.2900000000009		
Pu	244	94	985.4			
Am	241	95	1041.7	1043.2800000000025		
Am	243	95	1041.7			
Cm	245	96	1101.2			
Cm	248	96	1101.2			
Bk	249	97	1163.7	1170.0		
Bk	250	97	1163.7			
Cf	249	98	1229.5			
Cf	250	98	1229.4	1215.7999999999993		
Cf	251	98	1229.4	1224.0		
Es	251	99	1298.5			
Fm	254	100	1371.2	1371.0		
