# XRAY-L1M2.tsv  (source half 2 of 2 for XRAY-L1M.tsv)
# NIST X-ray Transition Energies Database, Deslattes et al., Rev. Mod. Phys. 75, 35 (2003/2005)
# https://physics.nist.gov/PhysRefData/XrayTrans/  [retrieved 2026-08-10]
# Query: element=All, trans=L1M2 (L-beta-4), units=eV, sorttype=energy
# 95 rows. Range starts at Al (Z=13) — TWO rows lower than XRAY-L1M3.tsv, which
#   starts at P. Al and Si have no L1M3 partner and cannot enter the difference.
# exp_flag: * = value interpolated from nearby elements. (This table has no # flag.)
# blend: see XRAY-L1M3.tsv. Where set, the experimental value is SHARED between
#   the two tables, so the experimental difference is identically zero.
element	a	theory_eV	exp_eV	exp_flag	blend	ref
Al		122.3(11)				
Si		155.24(79)				
P		189.34(62)				
S		227.17(60)				
Cl		268.08(66)				
Ar		311.18(69)				
K		361.81(82)				
Ca		415.43(68)				
Sc		469.59(98)				
Ti		526.3(11)				
V		585.9(11)	585.1(37)	*	L1M2,3	1d
Cr		647.4(12)	653.9(10)		L1M2,3	1d
Mn		716.2(13)	721.2(12)		L1M2,3	1d
Fe		787.2(13)	792.2(15)		L1M2,3	1d
Co		861.4(14)	866.4(27)		L1M2,3	1d
Ni		939.1(15)	940.7(11)		L1M2,3	1d
Cu		1019.1(15)	1022.79(100)		L1M2,3	1d
Zn		1105.6(17)	1107.0(10)		L1M2,3	1d
Ga		1193.9(16)	1196.9(14)	*	L1M2,3	1d
Ge		1287.3(19)	1286.12(39)			1d
As		1384.9(17)	1388.54(23)		L1M2,3	1d
Se		1486.8(18)	1490.0(24)	*	L1M2,3	1d
Br		1592.8(18)	1596.3(27)	*	L1M2,3	1d
Kr		1703.1(19)	1697.5(17)			1d
Rb		1817.6(19)	1817.74(12)			1d
Sr		1936.4(19)	1936.44(13)			1d
Y		2059.6(19)	2059.99(15)			1d
Zr		2187.1(19)	2187.714(36)			3d
Nb		2318.7(20)	2319.38(19)			1d
Mo		2454.9(20)	2455.68(22)			1d
Tc		2595.6(20)				
Ru		2740.7(20)	2741.15(18)			1d
Rh		2890.5(20)	2890.84(20)			1d
Pd		3044.3(19)	3045.43(22)			1d
Ag		3203.4(21)	3203.487(61)			1d
Cd		3366.9(21)	3367.23(12)			1d
In		3535.1(21)	3535.31(13)			1d
Sn		3708.1(21)	3708.33(15)			1d
Sb		3886.1(21)	3886.42(16)			1d
Te		4069.0(21)	4069.52(18)			1d
I		4256.9(21)	4257.53(19)			1d
Xe		4450.2(23)	4450.328(30)			12d
Cs		4648.0(21)	4649.45(52)			1d
Ba		4851.4(21)	4851.97(56)			1d
La		5060.1(22)	5061.79(38)			1,27d
Ce		5276.5(22)	5277.35(43)			1,28d
Pr		5497.2(22)	5498.1(14)			1d
Nd		5723.4(22)	5721.6(12)			1d
Pm		5955.2(22)				
Sm		6192.8(23)	6196.19(26)			1,32d
Eu		6436.5(23)	6437.81(55)			1,34d
Gd		6684.8(23)	6687.3(11)			1d
Tb		6941.7(24)	6940.3(11)			1d
Dy		7203.4(24)	7203.96(43)			1d
Ho		7471.3(25)	7471.1(13)			1d
Er		7745.5(25)	7744.75(14)			3d
Tm		8026.1(26)	8025.8(15)			1d
Yb		8313.6(27)	8313.26(25)			1d
Lu		8606.3(27)	8606.54(44)			1d
Hf		8906.0(27)	8905.50(47)			1d
Ta		9212.6(27)	9212.47(30)			1d
W		9526.0(28)	9525.23(54)			1d
Re		9846.8(28)	9846.35(58)			1d
Os		10174.9(28)	10175.50(62)			1d
Ir		10510.4(29)	10510.72(40)			1d
Pt		10853.6(28)	10854.41(70)			1d
Au		11204.8(30)	11204.81(45)			1d
Hg		11563.7(30)	11563.1(11)			1d
Tl		11931.0(30)	11930.78(51)			1d
Pb		12306.7(31)	12305.9(18)			1d
Bi	209	12690.9(31)	12691.40(77)			1d
Po	209	13084.0(31)	13085.2(61)			1d
At	210	13486.1(32)				
Rn	222	13897.5(32)				
Fr	223	14318.5(33)				
Ra	226	14749.3(33)	14747.3(13)			1d
Ac	227	15190.3(33)				
Th	232	15640.6(33)	15639.54(35)			75d
Pa	231	16103.2(34)	16103.7(31)			1d
U	238	16576.2(34)	16575.51(30)			1d
U	233	16576.5(34)				
Np	237	17059.5(34)	17060.77(69)			1d
Pu	244	17557.1(35)				
Pu	239	17557.3(35)	17556.23(72)			1,65d
Am	243	18065.6(35)				
Am	241	18065.7(35)	18062.96(78)			1d
Cm	248	18585.5(35)				
Cm	245	18585.7(35)				
Bk	250	19118.8(36)				
Bk	249	19118.9(36)	19128(53)			70d
Cf	251	19672.9(36)	19678(51)			72d
Cf	250	19673.3(36)	19676.2(63)			71d
Cf	249	19673.4(36)				
Es	251	20233.8(37)				
Fm	254	20807.5(36)	20794(11)			74d
