# XRAY-L1M3.tsv  (source half 1 of 2 for XRAY-L1M.tsv)
# NIST X-ray Transition Energies Database, Deslattes et al., Rev. Mod. Phys. 75, 35 (2003/2005)
# https://physics.nist.gov/PhysRefData/XrayTrans/  [retrieved 2026-08-10]
# Query: element=All, trans=L1M3 (L-beta-3), units=eV, sorttype=energy
# 93 rows. Range starts at P (Z=15), NOT at Ne. Energies eV, thousands separators
#   removed, NIST's parenthetical uncertainty preserved verbatim.
# exp_flag: * = value interpolated from nearby elements. (This table has no # flag.)
# blend: L1M2,3 means L-beta-3 and L-beta-4 unresolved; where set, the experimental
#   value is SHARED with XRAY-L1M2.tsv and their experimental difference is
#   identically zero. Blend is set for V-Ga (Z 23-31) AND As-Br (Z 33-35).
#   Ge (Z=32) is NOT blended and sits between the two runs.
element	a	theory_eV	exp_eV	exp_flag	blend	ref
P		186.4(10)				
S		224.96(72)				
Cl		266.62(52)				
Ar		311.35(69)				
K		361.52(71)				
Ca		415.80(67)				
Sc		471.36(97)				
Ti		529.9(11)				
V		591.5(12)	585.1(37)	*	L1M2,3	1d
Cr		653.8(13)	653.9(10)		L1M2,3	1d
Mn		723.5(14)	721.2(12)		L1M2,3	1d
Fe		793.8(14)	792.2(15)		L1M2,3	1d
Co		867.4(15)	866.4(27)		L1M2,3	1d
Ni		944.3(16)	940.7(11)		L1M2,3	1d
Cu		1022.0(16)	1022.79(100)		L1M2,3	1d
Zn		1108.4(16)	1107.0(10)		L1M2,3	1d
Ga		1197.9(17)	1196.9(14)	*	L1M2,3	1d
Ge		1292.0(18)	1294.04(40)			1d
As		1390.4(17)	1388.54(23)		L1M2,3	1d
Se		1493.0(18)	1490.0(24)	*	L1M2,3	1d
Br		1600.0(18)	1596.3(27)	*	L1M2,3	1d
Kr		1710.7(18)	1706.8(17)			1d
Rb		1826.4(18)	1826.60(12)			1d
Sr		1946.6(18)	1947.20(14)			1d
Y		2071.3(18)	2072.17(15)			1d
Zr		2200.4(18)	2201.063(32)			3d
Nb		2333.9(18)	2334.80(20)			1d
Mo		2472.1(18)	2473.07(22)			1d
Tc		2614.9(18)				0d
Ru		2762.5(18)	2763.39(27)			1d
Rh		2914.8(18)	2915.72(20)			1d
Pd		3071.8(18)	3072.98(23)			1d
Ag		3233.6(18)	3234.49(11)			1d
Cd		3400.6(19)	3401.48(12)			1d
In		3572.6(19)	3573.14(14)			1d
Sn		3749.8(19)	3750.392(50)			1d
Sb		3932.1(19)	3932.73(17)			1d
Te		4119.7(19)	4120.48(18)			1d
I		4312.8(19)	4313.49(20)			1d
Xe		4511.8(22)	4512.028(30)			12d
Cs		4715.2(20)	4716.85(53)			1d
Ba		4925.0(20)	4926.97(58)			1d
La		5140.5(20)	5143.40(39)			1,27d
Ce		5364.7(20)	5365.29(42)			1,28d
Pr		5593.5(21)	5591.8(11)			1d
Nd		5828.5(21)	5827.801(52)			3d
Pm		6069.6(21)	6071.3(18)			1d
Sm		6317.0(22)	6316.36(13)			3d
Eu		6570.7(22)	6571.57(58)			1,34d
Gd		6829.9(23)	6831.0(11)			1d
Tb		7097.7(24)	7096.1(12)			1d
Dy		7371.4(24)	7370.2(13)			1d
Ho		7651.9(25)	7651.8(14)			1d
Er		7939.5(26)	7939.007(86)			3d
Tm		8234.3(26)	8230.9(16)			1d
Yb		8536.8(28)	8536.79(43)			1d
Lu		8845.6(27)	8847.03(47)			1d
Hf		9162.4(28)	9163.51(50)			1d
Ta		9487.1(28)	9487.62(32)			1d
W		9819.5(29)	9818.91(46)			1,58d
Re		10160.4(29)	10159.90(62)			1d
Os		10509.7(30)	10510.99(92)			1d
Ir		10867.5(30)	10867.54(42)			1d
Pt		11234.4(30)	11230.89(75)			1d
Au		11610.5(32)	11610.5(14)			1d
Hg		11995.6(31)	11995.4(12)			1d
Tl		12390.6(32)	12390.55(55)			1d
Pb		12795.3(32)	12793.4(14)			1d
Bi	209	13210.4(32)	13209.99(62)			1d
Po	209	13635.8(33)	13637.9(67)			1d
At	210	14072.0(33)	14067.3(21)	*		1d
Rn	222	14518.9(33)	14511.7(23)	*		1d
Fr	223	14977.9(34)	14975.7(24)	*		1d
Ra	226	15448.4(34)	15445.1(14)			1d
Ac	227	15931.1(34)	15931.5(27)	*		1d
Th	232	16425.3(35)	16423.855(70)			75d
Pa	231	16934.3(35)	16930.5(17)			1d
U	238	17456.5(36)	17455.17(73)			1d
U	233	17456.8(36)				
Np	237	17990.8(36)	17989.3(35)	*		1d
Pu	244	18542.5(37)				
Pu	239	18542.7(37)	18540.52(81)			1,65d
Am	243	19107.3(37)				
Am	241	19107.4(37)	19106.24(87)			1d
Cm	248	19686.7(38)				
Cm	245	19686.9(38)				
Bk	250	20282.5(38)				
Bk	249	20282.6(38)	20298(53)			70d
Cf	251	20902.3(39)	20902(58)			72d
Cf	250	20902.7(39)	20892.0(94)			71d
Cf	249	20902.9(39)				
Es	251	21532.3(39)				
Fm	254	22178.7(40)	22165(11)			74d
