# AME2020 Table I — the 2020 atomic mass table.
# Meng Wang, W.J. Huang, F.G. Kondev, G. Audi, S. Naimi,
# Chinese Physics C 45, 030003 (2021), Table I, pages 030003-6 to 030003-75.
# Extracted from the PDF supplied by M, pdftotext -layout, PDF pages 7-76.
#
# THIS IS THE PUBLISHED ROUNDED TABLE, not mass_1.mas20. AME rounds to a
# precision set by the uncertainty, so values differ from the ASCII file by
# up to ~0.1 sigma. Verified against the Argonne mass_1.mas20 text on the
# A = 9 chain: max deviation 4.174 keV on 9He, which is 0.089 sigma.
#
# A is RECOMPUTED as N + Z; the printed A is used only as a check and
# matched on every row where it appears (0 mismatches).
# quality: M = measured, E = estimated (# in the source).
# Z	N	A	symbol	mass_excess_keV	unc_keV	quality
0	1	1	n	8071.3181	0.0004	M
1	0	1	H	7288.97106	1e-05	M
1	1	2	H	13135.7229	2e-05	M
1	2	3	H	14949.8109	8e-05	M
1	3	4	H	24620.0	100.0	M
1	4	5	H	32890.0	90.0	M
1	5	6	H	41880.0	250.0	M
1	6	7	H	49140.0	1000.0	E
2	1	3	He	14931.21888	6e-05	M
2	2	4	He	2424.91587	0.00015	M
2	3	5	He	11231.0	20.0	M
2	4	6	He	17592.1	0.05	M
2	5	7	He	26073.0	8.0	M
2	6	8	He	31609.68	0.09	M
2	7	9	He	40940.0	50.0	M
2	8	10	He	49200.0	90.0	M
3	0	3	Li	28670.0	2000.0	E
3	1	4	Li	25320.0	210.0	M
3	2	5	Li	11680.0	50.0	M
3	3	6	Li	14086.8804	0.0014	M
3	4	7	Li	14907.105	0.004	M
3	5	8	Li	20945.8	0.05	M
3	6	9	Li	24954.91	0.19	M
3	7	10	Li	33053.0	13.0	M
3	8	11	Li	40728.3	0.6	M
3	9	12	Li	49010.0	30.0	M
3	10	13	Li	56980.0	70.0	M
4	1	5	Be	37140.0	2000.0	E
4	2	6	Be	18375.0	5.0	M
4	3	7	Be	15769.0	0.07	M
4	4	8	Be	4941.67	0.04	M
4	5	9	Be	11348.45	0.08	M
4	6	10	Be	12607.49	0.08	M
4	7	11	Be	20177.17	0.24	M
4	8	12	Be	25077.8	1.9	M
4	9	13	Be	33659.0	10.0	M
4	10	14	Be	39950.0	130.0	M
4	11	15	Be	49830.0	170.0	M
4	12	16	Be	57450.0	170.0	M
5	1	6	B	47320.0	2000.0	E
5	2	7	B	27677.0	25.0	M
5	3	8	B	22921.6	1.0	M
5	4	9	B	12416.5	0.9	M
5	5	10	B	12050.611	0.015	M
5	6	11	B	8667.708	0.012	M
5	7	12	B	13369.4	1.3	M
5	8	13	B	16561.9	1.0	M
5	9	14	B	23664.0	21.0	M
5	10	15	B	28957.0	21.0	M
5	11	16	B	37112.0	25.0	M
5	12	17	B	43720.0	200.0	M
5	13	18	B	51790.0	200.0	M
5	14	19	B	59770.0	530.0	M
5	15	20	B	69400.0	550.0	M
5	16	21	B	78380.0	560.0	M
6	2	8	C	35064.0	18.0	M
6	3	9	C	28911.0	2.1	M
6	4	10	C	15698.67	0.07	M
6	5	11	C	10649.4	0.06	M
6	6	12	C	0.0	0.0	M
6	7	13	C	3125.00933	0.00023	M
6	8	14	C	3019.893	0.004	M
6	9	15	C	9873.1	0.8	M
6	10	16	C	13694.0	4.0	M
6	11	17	C	21032.0	17.0	M
6	12	18	C	24920.0	30.0	M
6	13	19	C	32410.0	100.0	M
6	14	20	C	37500.0	230.0	M
6	15	21	C	45640.0	600.0	E
6	16	22	C	53610.0	230.0	M
6	17	23	C	64170.0	1000.0	E
7	3	10	N	38800.0	400.0	M
7	4	11	N	24366.0	5.0	M
7	5	12	N	17338.1	1.0	M
7	6	13	N	5345.48	0.27	M
7	7	14	N	2863.41683	0.00022	M
7	8	15	N	101.4381	0.0006	M
7	9	16	N	5683.9	2.3	M
7	10	17	N	7870.0	15.0	M
7	11	18	N	13113.0	19.0	M
7	12	19	N	15856.0	16.0	M
7	13	20	N	21770.0	80.0	M
7	14	21	N	25230.0	130.0	M
7	15	22	N	31760.0	210.0	M
7	16	23	N	36720.0	420.0	M
7	17	24	N	46940.0	400.0	E
7	18	25	N	55980.0	500.0	E
8	3	11	O	47740.0	60.0	M
8	4	12	O	32013.0	12.0	M
8	5	13	O	23115.0	10.0	M
8	6	14	O	8007.781	0.025	M
8	7	15	O	2855.6	0.5	M
8	8	16	O	-4737.00217	0.0003	M
8	9	17	O	-808.7642	0.0006	M
8	10	18	O	-782.8163	0.0006	M
8	11	19	O	3332.9	2.6	M
8	12	20	O	3796.2	0.9	M
8	13	21	O	8062.0	12.0	M
8	14	22	O	9280.0	60.0	M
