# THE FETCH QUEUE — THE FORM IS SETTLED (R 1639).
#
#   ?spectrum=<X>&units=0&format=2&conf_out=on&term_out=on&level_out=on
#    &j_out=on&submit=Retrieve+Data
#
# `spectrum` SINGULAR (R 1538). units=0 is cm-1. conf_out and term_out carry
# n, l and 2S+1 — without them the rows are energies with no channel.
# THE IONISATION LIMITS COME IN THE TABLE, so no limit needs sourcing.
#
# ~~R 1637~~
# M: you can only fetch one ion at a time. The form's own examples are
#   'Fe I or Mg Li-like or Z=59 II or 198Hg I' — NOT ONE IS A RANGE.
# Ranges are `ie.pl` syntax; a LEVEL TABLE is per spectrum.
#
# Minimal form: spectra + submit. If one returns levels, add units=1 and
# format=2 for cm-1 and text.
#
# ORDERED BY NEED: La I and Ce I first (where Madelung fails), then Ac I
# and Th I, then by channels wanted.
#
# status	spectrum	channels	url
DONE	La I	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=La+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	Ce I	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=Ce+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	Ac I	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=Ac+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	Th I	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=Th+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	K II	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=K+II&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	K VII	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=K+VII&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	Ca III	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=Ca+III&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	Ca VIII	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=Ca+VIII&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	Sc I	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=Sc+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	Sc IV	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=Sc+IV&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	Sc IX	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=Sc+IX&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	Ti I	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=Ti+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	Ti II	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=Ti+II&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	Ti V	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=Ti+V&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	Ti X	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=Ti+X&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	V II	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=V+II&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	V III	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=V+III&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	V IV	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=V+IV&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	V V	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=V+V&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	V VI	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=V+VI&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	Cr III	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=Cr+III&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	Cr VI	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=Cr+VI&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	Mn VI	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=Mn+VI&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	Mn VII	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=Mn+VII&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
DONE	Fe VI	s,p,d,f,g	https://physics.nist.gov/cgi-bin/ASD/energy1.pl?spectrum=Fe+VI&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
