# NIST Atomic Spectra Database — Ground States and Ionisation Energies
# Kramida, Ralchenko, Reader and NIST ASD Team. Fetched 2026-08-11 from
# physics.nist.gov/cgi-bin/ASD/ie.pl, URL supplied by M; destination_url
# and final_url both verified before writing. Units eV.
# QUALITY FLAG IS THE SOURCE'S OWN AND IS KEPT:
#   M = measured (no bracket)   E = estimated/interpolated [ ]   T = theoretical ( )
# Z	charge	energy_eV	quality
19	+0	4.34066373	M
19	+1	31.62500	M
19	+2	45.8031	E
19	+3	60.917	E
19	+4	82.66	E
19	+5	99.44	E
19	+6	117.56	M
19	+7	154.87	E
19	+8	175.8174	E
19	+9	503.67	E
19	+10	565.6	E
19	+11	631.1	E
19	+12	714.7	E
19	+13	786.3	E
19	+14	860.92	E
19	+15	967.7	E
19	+16	1034.542	T
19	+17	4610.80714	T
19	+18	4934.04979	T
20	+0	6.1131549210	M
20	+1	11.871719	M
20	+2	50.91316	M
20	+3	67.2732	E
20	+4	84.34	E
20	+5	108.78	E
20	+6	127.21	E
20	+7	147.24	M
20	+8	188.54	E
20	+9	211.275	E
20	+10	591.60	E
20	+11	658.2	E
20	+12	728.6	E
20	+13	817.2	E
20	+14	894.0	E
20	+15	973.7	E
20	+16	1086.8	E
20	+17	1157.726	T
20	+18	5128.8576	T
20	+19	5469.86358	T
21	+0	6.56149	M
21	+1	12.79977	M
21	+2	24.756839	M
21	+3	73.4894	M
21	+4	91.95	E
21	+5	110.68	E
21	+6	137.99	E
21	+7	158.08	E
21	+8	180.03	M
21	+9	225.18	E
21	+10	249.798	E
21	+11	687.36	M
21	+12	757.7	E
21	+13	833.2	E
21	+14	926.5	E
21	+15	1008.6	E
21	+16	1093.5	E
21	+17	1213.1	E
21	+18	1287.957	T
21	+19	5674.9036	T
21	+20	6033.75643	T
22	+0	6.828120	M
22	+1	13.5755	M
22	+2	27.49171	M
22	+3	43.26717	M
22	+4	99.299	M
22	+5	119.533	E
22	+6	140.68	E
22	+7	170.5	E
22	+8	192.1	E
22	+9	215.92	M
22	+10	265.07	E
22	+11	291.500	E
22	+12	787.67	M
22	+13	864.0	E
22	+14	944.5	E
22	+15	1042.5	E
22	+16	1130.2	E
22	+17	1220.3	E
22	+18	1346.3	E
22	+19	1425.257	T
22	+20	6249.0226	T
22	+21	6625.81023	T
23	+0	6.746187	M
23	+1	14.634	M
23	+2	29.3111	M
23	+3	46.709	M
23	+4	65.28165	M
23	+5	128.125	M
23	+6	150.72	E
23	+7	173.55	E
23	+8	206.0	E
23	+9	230.5	E
23	+10	254.8	E
23	+11	308.5	E
23	+12	336.274	E
23	+13	896.0	M
23	+14	977.2	E
23	+15	1062.9	E
23	+16	1165.2	E
23	+17	1258.9	E
23	+18	1354.2	E
23	+19	1486.7	E
23	+20	1569.656	T
23	+21	6851.3112	T
23	+22	7246.12624	T
24	+0	6.76651	M
24	+1	16.486305	M
24	+2	30.959	M
24	+3	49.16	E
24	+4	69.46	E
24	+5	90.6349	M
24	+6	160.29	E
24	+7	184.76	E
24	+8	209.5	E
24	+9	244.5	E
24	+10	270.8	E
24	+11	296.7	E
24	+12	354.7	E
24	+13	384.163	E
24	+14	1011.6	E
24	+15	1097.2	E
24	+16	1188.0	E
24	+17	1294.8	E
24	+18	1394.5	E
24	+19	1495.1	E
24	+20	1634.1	E
24	+21	1721.183	T
24	+22	7481.8624	T
24	+23	7894.80289	T
25	+0	7.4340380	M
25	+1	15.63999	M
25	+2	33.668	M
25	+3	51.21	E
25	+4	72.41	E
25	+5	95.604	M
25	+6	119.203	M
25	+7	195.5	E
25	+8	221.89	E
25	+9	248.6	E
25	+10	286.1	E
25	+11	314.4	E
25	+12	343.6	E
25	+13	402.95	E
25	+14	435.172	E
25	+15	1133.7	E
25	+16	1224.1	E
25	+17	1320.3	E
25	+18	1430.9	E
25	+19	1537.2	E
25	+20	1643.2	E
25	+21	1788.7	E
25	+22	1879.873	T
25	+23	8140.7864	T
25	+24	8571.95438	T
26	+0	7.9024681	M
26	+1	16.19921	M
26	+2	30.651	M
26	+3	54.91	M
26	+4	75.00	E
26	+5	98.985	M
26	+6	124.9671	M
26	+7	151.060	M
26	+8	233.6	E
26	+9	262.10	E
26	+10	290.9	E
26	+11	330.8	E
26	+12	361.0	E
26	+13	392.2	E
26	+14	456.2	M
26	+15	489.312	E
26	+16	1262.7	E
26	+17	1357.8	E
26	+18	1460	E
26	+19	1575.6	M
26	+20	1687.0	E
26	+21	1798.4	E
26	+22	1950.4	E
26	+23	2045.759	T
26	+24	8828.1864	T
26	+25	9277.6886	T
27	+0	7.88101	M
27	+1	17.0844	M
27	+2	33.50	E
27	+3	51.27	E
27	+4	79.50	E
27	+5	102.00	E
27	+6	128.9	E
27	+7	157.8	E
27	+8	186.14	M
27	+9	275.4	E
27	+10	305.32	E
27	+11	336.1	E
27	+12	378.5	E
27	+13	410.0	E
27	+14	441.1	E
27	+15	511.96	E
27	+16	546.588	E
27	+17	1397.2	M
27	+18	1504.5	M
27	+19	1606	E
27	+20	1724	E
27	+21	1844.0	E
27	+22	1960.8	E
