# NIST X-ray Transition Energies, SRD 128 v1.2 (2005). Deslattes et al.,
# Rev. Mod. Phys. 75, 35-99 (2003). Transition L1N2 (Lgamma2). Units eV.
# Fetched 2026-08-11, URL supplied by M; destination_url and body header
# both verified as L1N2 before writing. Blank source fields written '-'.
# element	A	theory	theory_unc	direct	direct_unc
Ga	1302.61	0.70	-	-
Ge	1413.76	0.93	-	-
As	1531.2	1.2	-	-
Se	1652.9	1.3	-	-
Br	1779.5	1.3	-	-
Kr	1910.9	1.2	-	-
Rb	2050.4	1.2	2050.72	0.15
Sr	2195.9	1.3	2196.52	0.17
Y	2345.0	1.2	2346.82	0.20
Zr	2499.6	1.3	2502.87	0.22
Nb	2658.2	1.5	2663.88	0.17
Mo	2825.1	1.7	2830.65	0.19
Tc	2995.4	2.0	-	-
Ru	3176.1	2.3	3180.91	0.24
Rh	3360.5	2.7	3364.06	0.27
Pd	3549.4	2.8	3553.32	0.30
Ag	3746.2	3.5	3743.25	0.15
Cd	3949.6	4.1	3951.38	0.37
In	4157.2	4.2	4160.48	0.41
Sn	4359.5	1.3	4376.83	0.46
Sb	4593.1	4.8	4599.95	0.51
Te	4820.7	5.0	4829.10	0.56
I	5055.0	5.2	5065.67	0.61
Xe	5296.0	5.5	5306.71	0.20
Cs	5542.6	5.5	5542.10	0.73
Ba	5797	16	5810.11	0.20
La	6057	16	6060.73	0.29
Ce	6323	16	6326.39	0.59
Pr	6597	16	6598.0	2.1
Nd	6877	16	6884.03	0.34
Pm	7163	16	-	-
Sm	7429	16	7467.19	0.37
Eu	7760	16	7768.10	0.81
Gd	8069.6	4.9	8087.0	1.6
Tb	8386.9	4.8	8397.6	1.7
Dy	8707.4	3.0	8714.09	0.63
Ho	9045.6	4.5	9051.1	2.0
Er	9386.6	4.4	9385.5	2.1
Tm	9735.6	4.3	9730.2	2.3
Yb	10092.6	4.2	10089.79	0.85
Lu	10458.4	4.2	10460.0	2.6
Hf	10832.5	4.2	10833.64	0.70
Ta	11231.7	4.2	11217.1	1.5
W	11609.4	4.4	11610.50	0.44
Re	12009.5	4.3	12009.95	0.86
Os	12420.7	4.3	12422.46	0.92
Ir	12836.6	4.5	12841.92	0.59
Pt	13272.5	4.4	13270.5	1.1
Au	13710.0	4.6	13709.70	0.67
Hg	14164.7	4.6	14162.3	1.7
Tl	14626.7	4.7	14625.2	1.3
Pb	15099.1	4.6	15101.4	5.4
Bi	15582.9	4.8	15582.52	0.87
Po	16078.5	4.9	16060	31
At	16585.4	4.9	-	-
Rn	17103.8	4.9	-	-
Fr	17635.2	5.1	-	-
Ra	18179.4	5.2	18179.5	2.0
Ac	18735.6	5.1	-	-
Th	19304.5	5.1	19302.987	0.050
Pa	19899.6	5.2	19872.1	4.7
U	20487.2	5.2	20484.92	0.45
Np	21099.7	5.3	21104	16
Pu	21727.4	5.4	21725.4	1.1
Am	22370.4	5.6	22365.3	2.9
Cf	24411.3	6.0	24411	72
Fm	25840.3	6.2	25830	12
