# NIST X-ray Transition Energies, SRD 128, version 1.2 (2005)
# Deslattes, Kessler, Indelicato, de Billy, Lindroth, Anton, Coursey, Schwab,
# Chang, Sukumar, Olsen, Dragoset. Originally Rev. Mod. Phys. 75, 35-99 (2003).
# Transition L2M1 (L-eta). Elements Ne-Fm. Units eV.
# Fetched 2026-08-11, URL supplied by M. destination_url and final_url both
# reported trans=L2M1; body header reads "Transition: L2M1 (Leta)".
# A BLANK SOURCE FIELD IS WRITTEN AS '-' AND NEVER FILLED FROM ANOTHER COLUMN.
# element	A	theory	theory_unc	direct	direct_unc	blend	ref
Na		31.3	1.4	-	-		
Mg		49.4	1.4	-	-		
Al		69.5	1.2	-	-		
Si		95.3	1.1	-	-		
P		123.0	1.2	-	-		
S		153.1	1.4	148.66	0.79	L2,3M1	1d
Cl		185.7	1.5	184.14	0.36		1d
Ar		221.5	1.7	221.79	0.59		1d
K		263.0	1.7	262.45	0.16		1d
Ca		306.2	1.6	306.43	0.22		1d
Sc		353.4	1.7	352.92	0.30		1d
Ti		403.0	1.8	401.37	0.58		1d
V		455.7	1.8	453.48	0.74		1d
Cr		510.2	1.8	510.22	0.93		1d
Mn		569.5	1.7	567.42	0.77		1d
Fe		630.6	1.7	627.8	1.9		1d
Co		694.9	1.7	693.8	1.7		1d
Ni		762.2	1.7	762.0	2.1		1d
Cu		831.4	1.6	832.1	1.7		1d
Zn		906.5	1.7	906.3	2.0		1d
Ga		985.3	1.6	984.22	0.23		1d
Ge		1068.3	1.5	1067.98	0.27		1d
As		1155.2	1.5	1155.04	0.16		1d
Se		1246.0	1.5	1244.55	0.18		1d
Br		1340.9	1.4	1339.63	0.21		1d
Kr		1439.4	1.4	-	-		
Rb		1542.9	1.4	1541.78	0.11		1d
Sr		1650.1	1.4	1649.337	0.097		1d
Y		1761.7	1.3	1760.96	0.11		1d
Zr		1877.4	1.3	1876.56	0.13		1d
Nb		1997.5	1.3	1996.21	0.14		1d
Mo		2121.7	1.3	2120.26	0.16		1d
Tc		2249.9	1.3	-	-		
Ru		2382.6	1.3	2381.99	0.14		1d
Rh		2512.5	1.2	2519.10	0.15		1d
Pd		2661.1	1.3	2660.28	0.17		1d
Ag		2806.8	1.2	2806.11	0.19		1d
Cd		2957.1	1.2	2956.782	0.094		1d
In		3112.1	1.2	3112.58	0.10		1d
Sn		3271.8	1.2	3272.37	0.12		1d
Sb		3436.1	1.2	3436.65	0.13		1d
Te		3605.2	1.1	3605.90	0.14		1d
I		3779.1	1.1	3780.19	0.15		1d
Xe		3957.6	1.2	3958.368	0.050		12d
Cs		4141.8	1.1	4142.13	0.41		1d
Ba		4330.7	1.1	4330.96	0.67		1d
La		4524.8	1.1	4524.9	7.3		1d
Ce		4727.4	1.1	4731.6	1.1		1d
Pr		4933.7	1.2	4935.6	8.7		1d
Nd		5145.6	1.2	5145.25	0.17		3d
Pm		5363.0	1.3	-	-		
Sm		5586.0	1.4	5585.55	0.91		3d
Eu		5814.9	1.5	5816.67	0.81		1d
Gd		6048.3	1.6	6049.69	0.44		1d
Tb		6290.0	1.7	6283.95	0.94		1d
Dy		6536.3	1.8	6534.22	0.36		1d
Ho		6788.7	2.0	6786.94	0.27		3d
Er		7047.1	2.1	7045.167	0.090		3d
Tm		7311.8	2.2	7309.30	0.56		3d
Yb		7582.8	2.3	7580.24	0.34		1d
Lu		7858.6	2.4	7857.43	0.74		1d
Hf		8140.8	2.4	8139.33	0.40		1d
Ta		8429.6	2.4	8428.09	0.42		1d
W		8725.0	2.4	8724.42	0.25		1,58d
Re		9027.3	2.4	9027.27	0.49		1d
Os		9336.6	2.4	9337.07	0.73		1d
Ir		9653.0	2.5	9652.34	0.33		1d
Pt		9976.8	2.4	9975.2	2.4		1d
Au		10308.2	2.6	10308.41	0.38		1d
Hg		10647.3	2.5	10651.4	1.4		1d
Tl		10994.2	2.5	10994.36	0.43		1d
Pb		11349.5	2.6	11349.4	1.1		1d
Bi	209	11712.7	2.5	11712.36	0.49		1d
Po	209	12084.7	2.5	-	-		
At	210	12465.3	2.5	-	-		
Rn	222	12855.1	2.6	-	-		
Fr	223	13254.0	2.6	-	-		
Ra	226	13662.4	2.6	13663.2	1.1		1d
Ac	227	14080.7	2.6	-	-		
Th	232	14509.0	2.6	14510.327	0.080		75d
Pa	231	14948.8	2.6	14946.6	2.7		1d
U	238	15399.0	2.5	15399.81	0.57		1d
Np	237	15860.5	2.6	15864	21		64d
Pu	239	16334.0	2.5	16332.8	3.2		1d
Am	241	16818.6	2.6	16819.2	1.3		66d
Bk	249	17824.8	2.5	17829	40		70d
Cf	251	18355.1	2.4	18366	12		72d
Fm	254	19442.4	2.4	19444	11		74d
