# NIST X-ray Transition Energies, SRD 128, version 1.2 (2005)
# Deslattes, Kessler, Indelicato, de Billy, Lindroth, Anton, Coursey, Schwab,
# Chang, Sukumar, Olsen, Dragoset. Originally Rev. Mod. Phys. 75, 35-99 (2003).
# Transition L3M1 (Ll). Elements Ne-Fm. Units eV.
# Fetched 2026-08-11, URL supplied by M. destination_url and final_url both
# reported trans=L3M1; body header reads "Transition: L3M1 (Ll)".
# A BLANK SOURCE FIELD IS WRITTEN AS '-' AND NEVER FILLED FROM ANOTHER COLUMN.
# element	A	theory	theory_unc	direct	direct_unc	blend	ref
Na		31.09	0.37	-	-		
Mg		49.14	0.36	-	-		
Al		69.1	1.2	-	-		
Si		93.81	0.93	-	-		
P		121.41	0.78	-	-		
S		151.29	0.80	148.66	0.79	L2,3M1	1d
Cl		183.31	0.83	182.60	0.36		1d
Ar		219.52	0.77	220.22	0.58		1d
K		260.38	0.91	259.703	0.081		1d
Ca		302.80	0.77	302.69	0.22		1d
Sc		348.70	0.99	348.36	0.43		1d
Ti		396.7	1.0	395.35	0.37		1d
V		447.5	1.1	446.46	0.24		1d
Cr		500.3	1.1	500.33	0.30		1d
Mn		557.6	1.1	556.22	0.37		1d
Fe		617.0	1.2	615.30	0.45		1d
Co		679.3	1.2	677.80	0.44		1d
Ni		744.5	1.2	742.72	0.59		1d
Cu		811.7	1.3	811.08	0.71		1d
Zn		883.6	1.4	884.3	1.9		1d
Ga		958.5	1.3	957.17	0.22		1d
Ge		1037.3	1.4	1036.21	0.51		1d
As		1119.5	1.3	1119.78	0.15		1d
Se		1205.3	1.3	1204.41	0.17		1d
Br		1294.5	1.4	1293.50	0.20		1d
Kr		1386.9	1.4	-	-		
Rb		1483.6	1.4	1482.40	0.10		1d
Sr		1583.3	1.4	1582.174	0.090		1d
Y		1686.5	1.4	1685.39	0.10		1d
Zr		1793.2	1.4	1792.111	0.023		3d
Nb		1903.2	1.4	1902.27	0.13		1d
Mo		2016.7	1.4	2015.71	0.15		1d
Tc		2133.6	1.4	-	-		
Ru		2253.8	1.4	2252.79	0.18		1d
Rh		2370.2	1.4	2376.55	0.20		1d
Pd		2504.5	1.3	2503.43	0.22		1d
Ag		2634.4	1.4	2633.66	0.17		1d
Cd		2767.9	1.4	2767.376	0.082		1d
In		2904.6	1.4	2904.431	0.091		1d
Sn		3044.7	1.4	3045.014	0.100		1d
Sb		3188.1	1.4	3188.63	0.11		1d
Te		3334.8	1.4	3335.58	0.12		1d
I		3484.8	1.4	3485.06	0.13		1d
Xe		3637.8	1.4	3638.008	0.059		12d
Cs		3794.6	1.4	3794.99	0.34		1d
Ba		3954.4	1.4	3954.15	0.37		1d
La		4117.4	1.4	4124.5	6.1		1d
Ce		4286.8	1.4	4287.52	0.88		1d
Pr		4458.0	1.4	4453.23	0.95		1d
Nd		4632.4	1.5	4631.849	0.052		3d
Pm		4810.0	1.5	-	-		
Sm		4990.9	1.5	4990.43	0.17		3d
Eu		5175.1	1.5	5177.15	0.64		1d
Gd		5361.1	1.5	5362.09	0.69		1d
Tb		5552.7	1.5	5546.81	0.73		1d
Dy		5746.0	1.5	5743.05	0.26		1,44d
Ho		5942.2	1.6	5939.963	0.071		3d
Er		6141.4	1.6	6138.86	0.14		3d
Tm		6343.5	1.6	6341.96	0.83		1,54d
Yb		6548.4	1.7	6545.54	0.26		1d
Lu		6754.4	1.6	6752.85	0.54		1d
Hf		6963.1	1.7	6959.63	0.29		1d
Ta		7174.4	1.7	7173.20	0.31		1d
W		7388.1	1.7	7387.82	0.65		1d
Re		7604.4	1.7	7603.67	0.35		1d
Os		7823.3	1.8	7822.33	0.51		1d
Ir		8044.7	1.8	8045.89	0.23		1d
Pt		8268.3	1.8	8268.2	1.6		1d
Au		8494.3	1.8	8494.03	0.78		1d
Hg		8722.6	1.9	8721.32	0.91		1d
Tl		8953.1	1.9	8953.28	0.29		1d
Pb		9186.0	1.9	9184.56	0.70		1d
Bi	209	9420.7	1.9	9420.43	0.74		1d
Po	209	9657.6	2.0	9664.2	5.6		1d
At	210	9896.4	2.0	-	-		
Rn	222	10137.2	2.0	-	-		
Fr	223	10379.8	2.0	-	-		
Ra	226	10624.1	2.1	10622.29	0.67		1d
Ac	227	10870.1	2.1	-	-		
Th	232	11117.7	2.1	11118.06	0.18		75d
Pa	231	11367.6	2.1	11366.2	1.5		1d
U	238	11618.5	2.1	11618.41	0.32		1d
Np	237	11870.8	2.1	11885.6	9.1		1,64d
Pu	239	12124.6	2.1	12124.2	1.8		1d
Am	241	12379.0	2.1	12378.2	1.4		1,66d
Bk	249	12889.9	2.1	12896	43		70d
Cf	251	13154.1	2.1	13141	14		72d
Fm	254	13668.8	2.1	13668	11		74d
