# NIST X-ray Transition Energies, SRD 128, version 1.2 (2005)
# Deslattes, Kessler, Indelicato, de Billy, Lindroth, Anton, Coursey, Schwab,
# Chang, Sukumar, Olsen, Dragoset. Originally Rev. Mod. Phys. 75, 35-99 (2003).
# Transition L3M5 (L-alpha-1). Elements Ne-Fm. Units eV.
# Fetched 2026-08-11 from physics.nist.gov/cgi-bin/XrayTrans/search.pl
# VERIFIED: fetched twice, HTML table and column download, values agree.
# CORRECTED 2026-08-11 (R 1526): the theory column for Ca, Sc, Ti and V was
# BLANK in the source and I had copied the DIRECT value into it. Four
# fabricated theory values, now written as '-'. Caught by comparing against
# L3M4, where those elements DO carry theory, which produced three impossible
# orderings of Lalpha2 above Lalpha1.
# element	A	theory	theory_unc	direct	direct_unc	blend	ref
Ca		-	-	341.27	0.28	L3M4,5	1d
Sc		-	-	395.48	0.56	L3M4,5	1d
Ti		-	-	452.16	0.49	L3M4,5	1d
V		-	-	511.27	0.94	L3M4,5	1d
Cr		576.95	0.30	572.9	1.2	L3M4,5	1d
Mn		640.44	0.69	637.44	0.49	L3M4,5	1d
Fe		708.38	0.70	704.8	1.2	L3M4,5	1d
Co		779.52	0.71	776.25	0.43	L3M4,5	1d
Ni		853.87	0.72	851.47	0.26	L3M4,5	1d
Cu		929.71	0.74	929.68	0.31	L3M4,5	1d
Zn		1012.21	0.75	1011.77	0.37	L3M4,5	1d
Ga		1098.59	0.76	1097.97	0.14	L3M4,5	1d
Ge		1188.66	0.78	1188.01	0.13	L3M4,5	1d
As		1282.41	0.79	1282.01	0.16	L3M4,5	1d
Se		1379.88	0.80	1379.11	0.11	L3M4,5	1d
Br		1481.02	0.81	1480.46	0.13	L3M4,5	1d
Kr		1585.88	0.83	1585.411	0.026	L3M4,5	3d
Rb		1694.60	0.84	1694.141	0.069		1d
Sr		1807.10	0.85	1806.585	0.078		1d
Y		1923.26	0.86	1922.564	0.088		1d
Zr		2043.11	0.87	2042.489	0.027		3d
Nb		2166.57	0.88	2165.89	0.11		1d
Mo		2293.71	0.89	2293.187	0.050		1d
Tc		2424.46	0.90	2423.99	0.21		1d
Ru		2559.06	0.91	2558.579	0.039		1d
Rh		2697.29	0.92	2696.775	0.078		1d
Pd		2838.97	0.95	2838.638	0.048		1d
Ag		2984.60	0.95	2984.340	0.032		1d
Cd		3134.06	0.96	3133.755	0.047		1d
In		3287.28	0.97	3286.982	0.052		1d
Sn		3444.29	0.98	3444.011	0.042		1d
Sb		3605.10	0.98	3604.756	0.062		1d
Te		3769.73	0.99	3769.38	0.10		1d
I		3938.2	1.0	3937.70	0.11		1d
Xe		4110.3	1.0	4110.088	0.020		12d
Cs		4286.6	1.0	4286.49	0.44		1d
Ba		4466.6	1.0	4466.30	0.12		1d
La		4650.4	1.0	4651.02	0.13		1d
Ce		4841.1	1.1	4840.06	0.31		1,28d
Pr		5034.3	1.1	5033.79	0.60		1d
Nd		5231.4	1.1	5230.239	0.035		3d
Pm		5432.5	1.1	5432.6	1.1		1d
Sm		5637.6	1.1	5635.970	0.033		3d
Eu		5846.1	1.1	5846.46	0.26		1,34d
Gd		6057.8	1.1	6057.37	0.88		1d
Tb		6275.0	1.1	6272.82	0.94		1d
Dy		6495.3	1.1	6495.27	0.15		1d
Ho		6719.6	1.1	6719.675	0.062		3d
Er		6947.9	1.1	6947.913	0.077		3d
Tm		7180.1	1.1	7180.113	0.029		3d
Yb		7416.3	1.2	7415.70	0.26		1d
Lu		7655.8	1.2	7655.55	0.21		1d
Hf		7899.1	1.2	7899.08	0.37		1d
Ta		8146.5	1.2	8146.17	0.16		1d
W		8397.6	1.2	8398.242	0.054		1,58d
Re		8652.8	1.2	8652.55	0.36		1d
Os		8911.9	1.2	8911.83	0.47		1d
Ir		9175.2	1.3	9175.18	0.30		1d
Pt		9442.3	1.3	9442.39	0.32		1d
Au		9713.3	1.2	9713.44	0.34		1d
Hg		9988.6	1.2	9988.91	0.60		1d
Tl		10267.9	1.2	10268.62	0.50		1d
Pb		10551.2	1.2	10551.60	0.27		1d
Bi	209	10838.7	1.2	10838.94	0.28		1d
Po	209	11130.3	1.2	11130.87	0.59		1d
At	210	11426.0	1.3	11426.94	0.78		1d
Rn	222	11725.9	1.2	11727.09	0.82		1d
Fr	223	12029.9	1.3	12031.40	0.86		1d
Ra	226	12338.1	1.3	12339.86	0.91		1d
Ac	227	12650.5	1.3	12652.16	0.96		1d
Th	232	12967.0	1.3	12967.937	0.020		75d
Pa	231	13288.7	1.3	13290.8	1.1		1d
U	238	13614.6	1.3	13614.87	0.20		1d
Np	237	13943.0	1.3	13944.26	0.21		1d
Pu	239	14279.1	1.3	14278.74	0.49		1d
Am	241	14617.5	1.4	14617.33	0.23		1d
Cf	251	15665.8	1.3	15654	69		72d
Fm	254	16381.8	1.3	16384	13		74d
