# Ar II — the g, h, i and k runs on the 3P<2> core, ref L15349
# limit Ar III (3p4 3P2) = 222848.3 +/- 1.0 cm-1
# these reach l = 4, 5, 6 and 7 — the highest in the compendium
config	term	J	level_cm1
6g	2[5]	11/2	210607.6278
7g	2[5]	11/2	213859.364
6g	2[5]	9/2	210607.7571
7g	2[5]	9/2	213859.416
6g	2[4]	9/2	210609.378
7g	2[4]	9/2	213860.492
8g	2[4]	9/2	215983.21
6g	2[4]	7/2	210609.4258
7g	2[4]	7/2	213860.614
6g	2[3]	5/2	210630.117
7g	2[3]	5/2	213873.80
6g	2[3]	7/2	210630.181
7g	2[3]	7/2	213873.677
6g	2[6]	13/2	210642.4469
7g	2[6]	13/2	213881.214
8g	2[6]	13/2	215983.36
6g	2[6]	11/2	210642.7273
7g	2[6]	11/2	213881.217
8g	2[6]	11/2	215983.21
6g	2[2]	3/2	210658.602
7g	2[2]	3/2	213891.30
6g	2[2]	5/2	210658.7338
7g	2[2]	5/2	213891.504
6h	2[5]*	9/2	210636.7387
7h	2[5]*	9/2	213878.197
6h	2[5]*	11/2	210636.7414
7h	2[5]*	11/2	213878.149
6h	2[6]*	11/2	210637.211
7h	2[6]*	11/2	213878.438
6h	2[6]*	13/2	210637.2198
7h	2[6]*	13/2	213878.449
6h	2[4]*	7/2	210646.9667
7h	2[4]*	7/2	213884.608
6h	2[4]*	9/2	210646.9752
7h	2[4]*	9/2	213884.621
6h	2[7]*	13/2	210655.8214
7h	2[7]*	13/2	213890.067
6h	2[7]*	15/2	210655.8353
7h	2[7]*	15/2	213890.067
6h	2[3]*	5/2	210662.605
7h	2[3]*	5/2	213894.433
6h	2[3]*	7/2	210662.6177
7h	2[3]*	7/2	213894.433
7i	2[6]	13/2	213884.356
8i	2[6]	13/2	215985.13
7i	2[6]	11/2	213884.353
8i	2[6]	11/2	215985.18
7i	2[7]	13/2	213884.837
8i	2[7]	13/2	215985.434
7i	2[7]	15/2	213884.8430
8i	2[7]	15/2	215985.445
7i	2[5]	9/2	213887.9656
8i	2[5]	9/2	215987.293
7i	2[5]	11/2	213887.9736
8i	2[5]	11/2	215987.306
7i	2[8]	15/2	213891.8093
8i	2[8]	15/2	215988.883
7i	2[8]	17/2	213891.8233
8i	2[8]	17/2	215988.886
7i	2[4]	7/2	213893.900
8i	2[4]	7/2	215990.530
7i	2[4]	9/2	213893.914
8i	2[4]	9/2	215990.530
