# B II — NIST ASD 5.12, ref L12120 · Z=5, 4 electrons, Be-like
# limit NOT printed; DERIVED by the lowest-rms rule (register 1064)
config	term	J	level_cm1	unc
3s	3S	1	129773.83	0.18
4s	3S	1	166344.89	0.18
5s	3S	1	180897.12	0.20
6s	3S	1	188170.6	0.3
7s	3S	1	192240	120
3s	1S	0	137622.25	0.16
4s	1S	0	167935.31	0.09
5s	1S	0	181552.03	0.16
6s	1S	0	188550	70
3p	1P*	1	144102.94	0.07
4p	1P*	1	170591.33	0.09
5p	1P*	1	181765.7	0.6
3p	3P*	0	143989.95	0.18
4p	3P*	0	171545.96	0.17
5p	3P*	0	183618.81	0.22
6p	3P*	0	189742.5	0.6
3d	3D	1	150649.68	0.16
4d	3D	1	174073.33	0.18
5d	3D	1	184633.72	0.21
6d	3D	1	190254.4	1.1
3d	1D	2	154686.12	0.07
4d	1D	2	175547.01	0.12
5d	1D	2	185323.18	0.10
6d	1D	2	190654.4	0.7
7d	1D	2	193863.8	0.5
4f	3F*	2	174903.33	0.16
5f	3F*	2	184908.78	0.18
6f	3F*	2	190331.88	0.18
7f	3F*	2	193577.1	0.4
5g	3G	3	185261.85	0.3
6g	3G	3	190648.83	0.3
7g	3G	3	193898.2	0.4
