# B IV — NIST ASD 5.12, ref L12548c207 · He-like, Z=5, 2 electrons
# limit B V (1s 2S1/2) = 2,091,995.451 +/- 0.075 cm-1
# levels bracketed in ASD: the whole table shares one convention (see BV.tsv note)
config	term	J	level_cm1	unc
1s.3s	3S	1	1882763.5	8.0
1s.4s	3S	1	1976457.7	1.4
1s.5s	3S	1	2018835.9	1.1
1s.6s	3S	1	2041544.4	1.2
1s.7s	3S	1	2055111.6	1.0
1s.8s	3S	1	2063859.8	1.0
1s.9s	3S	1	2069828.0	1.0
1s.10s	3S	1	2074080.5	1.0
1s.3s	1S	0	1891795	13
1s.4s	1S	0	1980107	10
1s.5s	1S	0	2020662	10
1s.6s	1S	0	2042588	10
1s.7s	1S	0	2055756.3	7.0
1s.8s	1S	0	2064288.7	5.0
1s.9s	1S	0	2070127.6	4.0
1s.10s	1S	0	2074298.0	3.0
1s.3p	3P*	0	1892246.5	4.0
1s.4p	3P*	0	1980311.7	1.0
1s.5p	3P*	0	2020772.1	1.1
1s.6p	3P*	0	2042651.6	1.2
1s.7p	3P*	0	2055803.9	1.0
1s.8p	3P*	0	2064320.9	2.4
1s.9p	3P*	0	2070150.7	1.0
1s.10p	3P*	0	2074315.0	1.0
1s.3p	1P*	1	1898241	10
1s.4p	1P*	1	1982799	10
1s.5p	1P*	1	2022033	10
1s.6p	1P*	1	2043380.6	4.0
1s.7p	1P*	1	2056261.6	4.0
1s.8p	1P*	1	2064627.2	4.0
1s.9p	1P*	1	2070365.4	4.0
1s.10p	1P*	1	2074471.3	4.0
1s.3d	3D	1	1896705.5	4.0
1s.4d	3D	1	1982160.8	1.1
1s.5d	3D	1	2021709.95	0.70
1s.6d	3D	1	2043190.2	1.2
1s.7d	3D	1	2056139.5	6.0
1s.8d	3D	1	2064547.0	2.2
1s.9d	3D	1	2070308.8	4.0
1s.10d	3D	1	2074430.6	2.0
1s.3d	1D	2	1896851.5	5.0
1s.4d	1D	2	1982238.5	9.0
1s.5d	1D	2	2021751	10
1s.6d	1D	2	2043214	10
1s.7d	1D	2	2056158.7	3.0
1s.8d	1D	2	2064554	10
1s.9d	1D	2	2070316.5	5.0
1s.10d	1D	2	2074436.1	3.0
1s.4f	1F*	3	1982256.0	1.7
1s.5f	1F*	3	2021763.3	1.3
1s.6f	1F*	3	2043223.5	1.4
1s.7f	1F*	3	2056161.55	0.90
1s.8f	1F*	3	2064559.2	2.0
1s.9f	1F*	3	2070313.2	1.4
1s.5g	1G	4	2021766.55	0.70
1s.6g	1G	4	2043225.7	1.1
1s.7g	1G	4	2056163.3	1.3
1s.8g	1G	4	2064562.4	1.2
1s.9g	1G	4	2070315.5	1.9
1s.6h	1H*	5	2043228.3	1.2
1s.7h	1H*	5	2056167.4	1.1
1s.8h	1H*	5	2064565.3	1.2
1s.9h	1H*	5	2070319.5	1.9
1s.7i	1I	6	2056164.6	2.0
1s.8i	1I	6	2064567.1	1.7
