# B V — NIST ASD 5.12, Yerokhin & Shabaev 2015 / Kramida et al. 2008 · H-like, Z=5, 11B
# limit B V (1s 2S1/2) = 2,091,995.451 +/- 0.075 cm-1
# ALL levels parenthesised = theoretical, scaled to CODATA-2018. The whole table shares
# one convention, so it is internally consistent (unlike register 746's mixed tables).
config	term	J	level_cm1	unc
3s	2S	1/2	2439199.6934	0.0009
4s	2S	1/2	2572607.2068	0.0004
5s	2S	1/2	2634352.09830	0.00020
6s	2S	1/2	2667890.95780	0.00010
7s	2S	1/2	2688113.09950	0.00008
8s	2S	1/2	2701237.67348	0.00005
9s	2S	1/2	2710235.63258	0.00004
10s	2S	1/2	2716671.69945	0.00003
3p	2P*	1/2	2439195.6667	0.0005
4p	2P*	1/2	2572605.50321	0.00020
5p	2P*	1/2	2634351.22480	0.00010
6p	2P*	1/2	2667890.45198	0.00009
7p	2P*	1/2	2688112.78079	0.00008
8p	2P*	1/2	2701237.45990	0.00006
9p	2P*	1/2	2710235.48253	0.00005
10p	2P*	1/2	2716671.59005	0.00004
3d	2D	3/2	2439263.398890	0.000010
4d	2D	3/2	2572634.0763	0.0004
5d	2D	3/2	2634365.85360	0.00020
6d	2D	3/2	2667898.91740	0.00020
7d	2D	3/2	2688118.11160	0.00010
8d	2D	3/2	2701241.03103	0.00007
9d	2D	3/2	2710237.99060	0.00005
10d	2D	3/2	2716673.41840	0.00004
4f	2F*	5/2	2572643.59431	0.00010
5f	2F*	5/2	2634370.72680	0.00010
6f	2F*	5/2	2667901.73750	0.00010
7f	2F*	5/2	2688119.88749	0.00008
8f	2F*	5/2	2701242.22073	0.00006
9f	2F*	5/2	2710238.82616	0.00005
10f	2F*	5/2	2716674.02752	0.00004
5g	2G	7/2	2634373.16283	0.00003
6g	2G	7/2	2667903.14721	0.00003
7g	2G	7/2	2688120.77526	0.00003
8g	2G	7/2	2701242.815471	0.000020
9g	2G	7/2	2710239.243861	0.000020
6h	2H*	9/2	2667903.992966	0.000008
7h	2H*	9/2	2688121.307862	0.000010
8h	2H*	9/2	2701243.172271	0.000010
9h	2H*	9/2	2710239.494455	0.000009
7i	2I	11/2	2688121.662903	0.000003
8i	2I	11/2	2701243.410118	0.000004
9i	2I	11/2	2710239.661506	0.000004
8k	2K*	13/2	2701243.5800034	0.0000010
9k	2K*	13/2	2710239.7808211	0.0000020
