# Ba II — NIST ASD 5.12, refs L11975/L9224/L6094/L3726/L6737 · Z=56, 55 electrons
# limit NOT printed; DERIVED by the lowest-rms rule (register 1059)
config	term	J	level_cm1
6s	2S	1/2	0.000
7s	2S	1/2	42355.175
8s	2S	1/2	58025.211
9s	2S	1/2	65683.646
10s	2S	1/2	70014.584
11s	2S	1/2	72705.28
12s	2S	1/2	74491.63
20s	2S	1/2	79059.04
21s	2S	1/2	79240.50
22s	2S	1/2	79393.13
23s	2S	1/2	79522.98
24s	2S	1/2	79634.08
25s	2S	1/2	79730.02
26s	2S	1/2	79813.37
27s	2S	1/2	79886.33
28s	2S	1/2	79950.51
29s	2S	1/2	80007.22
30s	2S	1/2	80057.61
6p	2P*	1/2	20261.561
7p	2P*	1/2	49389.822
8p	2P*	1/2	61339.5
9p	2P*	1/2	67511.2
10p	2P*	1/2	71129.8
11p	2P*	1/2	73436.0
12p	2P*	1/2	74997.4
5d	2D	3/2	4873.852
6d	2D	3/2	45949.472
7d	2D	3/2	59800.254
8d	2D	3/2	66673.651
9d	2D	3/2	70620.247
10d	2D	3/2	73101.58
11d	2D	3/2	74765.50
19d	2D	3/2	79096.95
20d	2D	3/2	79272.22
21d	2D	3/2	79420.04
22d	2D	3/2	79545.81
23d	2D	3/2	79653.97
24d	2D	3/2	79747.22
25d	2D	3/2	79828.32
4f	2F*	5/2	48258.617
5f	2F*	5/2	57390.922
6f	2F*	5/2	64596.33
7f	2F*	5/2	69211.75
8f	2F*	5/2	72142.77
9f	2F*	5/2	74091.05
10f	2F*	5/2	75447.5
11f	2F*	5/2	76425.6
12f	2F*	5/2	77154.3
5g	2G	7/2	63026.725
6g	2G	7/2	68426.095
7g	2G	7/2	71682.623
8g	2G	7/2	73795.87
9g	2G	7/2	75244.13
10g	2G	7/2	76279.68
