# Ba III — NIST ASD 5.12, ref L6983 · the 5p5.(2P*3/2).ns and .nd runs
# limit Ba IV (5s2.5p5 2P*3/2) = 289100 +/- 20 cm-1
config	term	J	level_cm1
9s	2[3/2]*	1	259470
10s	2[3/2]*	1	267620
11s	2[3/2]*	1	272790
12s	2[3/2]*	1	276300
13s	2[3/2]*	1	278790
14s	2[3/2]*	1	280610
15s	2[3/2]*	1	281990
16s	2[3/2]*	1	283060
17s	2[3/2]*	1	283910
18s	2[3/2]*	1	284580
19s	2[3/2]*	1	285140
20s	2[3/2]*	1	285600
21s	2[3/2]*	1	286000
22s	2[3/2]*	1	286310
23s	2[3/2]*	1	286600
8d	2[3/2]*	2	260390
9d	2[3/2]*	2	268250
10d	2[3/2]*	2	273180
11d	2[3/2]*	2	276520
12d	2[3/2]*	2	279010
13d	2[3/2]*	2	280760
14d	2[3/2]*	2	282110
15d	2[3/2]*	2	283140
16d	2[3/2]*	2	283970
17d	2[3/2]*	2	284630
19d	2[3/2]*	2	285650
20d	2[3/2]*	2	286000
21d	2[3/2]*	2	286310
22d	2[3/2]*	2	286600
