# C II — NIST Handbook carbontable6_a.htm, ref MG93 · limit C III (1S0) 196664.7
config	term	J	level_cm1
2s2(1S)2p	2P°	1/2	0.00
2s2(1S)2p	2P°	3/2	63.42
2s2p2	4P	1/2	43003.3
2s2p2	4P	3/2	43025.3
2s2p2	4P	5/2	43053.6
2s2p2	2D	5/2	74930.10
2s2p2	2D	3/2	74932.62
2s2p2	2S	1/2	96493.74
2s2p2	2P	1/2	110624.17
2s2p2	2P	3/2	110665.56
2s2(1S)3s	2S	1/2	116537.65
2s2(1S)3p	2P°	1/2	131724.37
2s2(1S)3p	2P°	3/2	131735.52
2p3	4S°	3/2	142027.1
2s2(1S)3d	2D	3/2	145549.27
2s2(1S)3d	2D	5/2	145550.70
2p3	2D°	5/2	150461.58
2p3	2D°	3/2	150466.69
2s2(1S)4s	2S	1/2	157234.07
2s2(1S)4p	2P°	1/2	162517.89
2s2(1S)4p	2P°	3/2	162524.57
2s2p(3P°)3s	4P°	1/2	166967.13
2s2p(3P°)3s	4P°	3/2	166990.73
2s2p(3P°)3s	4P°	5/2	167035.71
2s2(1S)4d	2D	3/2	168123.74
2s2(1S)4d	2D	5/2	168124.45
2p3	2P°	1/2	168729.53
2p3	2P°	3/2	168748.30
2s2(1S)4f	2F°	5/2,7/2	168978.34
