# Ca II — NIST ASD 5.12, ref L7185/L7323 · Z=20, 19 electrons
# limit Ca III (3p6 1S0) = 95,751.87 +/- 0.03 cm-1  — PUBLISHED
# the full 3p6.nl series, replacing the earlier short capture
config	term	J	level_cm1
4s	2S	1/2	0.00
5s	2S	1/2	52166.93
6s	2S	1/2	70677.62
7s	2S	1/2	79448.28
8s	2S	1/2	84300.89
9s	2S	1/2	87267.86
10s	2S	1/2	89214.13
4p	2P*	1/2	25191.51
5p	2P*	1/2	60533.02
6p	2P*	1/2	74484.92
3d	2D	3/2	13650.19
4d	2D	3/2	56839.25
5d	2D	3/2	72722.23
6d	2D	3/2	80521.53
7d	2D	3/2	84933.65
8d	2D	3/2	87671.93
9d	2D	3/2	89487.93
10d	2D	3/2	90753.92
11d	2D	3/2	91672.0
12d	2D	3/2	92359.0
13d	2D	3/2	92883.0
14d	2D	3/2	93297.6
15d	2D	3/2	93626.9
16d	2D	3/2	93894.5
4f	2F*	5/2	68056.91
5f	2F*	5/2	78034.39
6f	2F*	5/2	83458.08
7f	2F*	5/2	86727.06
8f	2F*	5/2	88847.31
9f	2F*	5/2	90300.0
10f	2F*	5/2	91338.0
5g	2G	7/2	78164.72
6g	2G	7/2	83540.00
7g	2G	7/2	86781.14
8g	2G	7/2	88884.54
9g	2G	7/2	90326.45
8h	2H*	9/2	88890.64
10h	2H*	9/2	91361.00
