# Ca I — NIST ASD 5.12, ref L7185 · Z=20, neutral
# limit Ca II (4s 2S1/2) = 49,305.95 cm-1 — PUBLISHED, already in the limit table
# the full 3p6.4s.nl series — the l >= 2 cells register 979 could not reach
config	term	J	level_cm1
5s	3S	1	31539.495
6s	3S	1	40474.241
7s	3S	1	43980.767
8s	3S	1	45738.684
9s	3S	1	46748.283
10s	3S	1	47382.048
11s	3S	1	47806.20
5s	1S	0	33317.264
6s	1S	0	40690.435
7s	1S	0	44276.538
8s	1S	0	45887.200
9s	1S	0	46835.055
10s	1S	0	47437.471
11s	1S	0	47843.76
5p	1P*	1	36731.615
6p	1P*	1	41679.008
7p	1P*	1	45425.358
8p	1P*	1	46479.813
9p	1P*	1	47184.370
10p	1P*	1	47662.10
4d	1D	2	37298.287
5d	1D	2	42919.053
6d	1D	2	44989.830
7d	1D	2	46200.13
8d	1D	2	46948.98
9d	1D	2	47812.39
4d	3D	1	37748.197
5d	3D	1	42743.002
6d	3D	1	45049.073
7d	3D	1	46301.973
8d	3D	1	47036.225
9d	3D	1	47752.655
4f	3F*	2	42170.214
5f	3F*	2	44762.620
6f	3F*	2	46164.644
7f	3F*	2	47006.194
8f	3F*	2	47550.214
9f	3F*	2	47921.87
4f	1F*	3	42343.587
5f	1F*	3	44804.878
6f	1F*	3	46182.399
7f	1F*	3	47015.141
8f	1F*	3	47555.23
