# Cd I — NIST ASD 5.12, refs L3466/L3486/L3641/L9542/L18843 · Z=48, neutral
# limit Cd II (5s 2S1/2) = 72,540.05 +/- 0.13 cm-1  — PUBLISHED
# the 4d10.5s.nl series
config	term	J	level_cm1	unc
6s	3S	1	51483.980	0.002
7s	3S	1	62563.435	0.002
8s	3S	1	66682.029	0.002
9s	3S	1	68682.325	0.002
10s	3S	1	69806.814	0.002
11s	3S	1	70502.04	0.020
12s	3S	1	70961.993	0.016
13s	3S	1	71281.8	2.5
14s	3S	1	71515.6	2.5
15s	3S	1	71689.6	2.5
16s	3S	1	71818.6	2.5
6s	1S	0	53310.101	0.010
7s	1S	0	63086.896	0.002
8s	1S	0	66905.641	0.010
9s	1S	0	68798.760	0.010
10s	1S	0	69875.238	0.010
11s	1S	0	70545.730	0.010
12s	1S	0	70992.1	2.5
13s	1S	0	71299.0	2.5
14s	1S	0	71528.0	2.5
15s	1S	0	71692.4	2.5
6p	3P*	0	58390.9	2.5
7p	3P*	0	64995.9	2.5
8p	3P*	0	67829.656	0.020
9p	3P*	0	69314.0	0.3
10p	3P*	0	70191.4	0.3
6p	1P*	1	59907.28	0.18
7p	1P*	1	65501.412	0.016
8p	1P*	1	68059.393	0.016
9p	1P*	1	69439.13	0.18
10p	1P*	1	70267.37	0.18
11p	1P*	1	70803.25	0.18
12p	1P*	1	71169.73	0.18
5d	1D	2	59219.734	0.002
6d	1D	2	65134.783	0.002
7d	1D	2	67838.401	0.002
8d	1D	2	69297.084	0.016
9d	1D	2	70169.52	0.18
10d	1D	2	70735.75	0.18
11d	1D	2	71120.77	0.18
13d	1D	2	71596.3	2.5
14d	1D	2	71748.9	2.5
15d	1D	2	71869.2	2.5
5d	3D	1	59485.768	0.002
6d	3D	1	65353.372	0.002
7d	3D	1	67989.814	0.002
8d	3D	1	69400.900	0.020
9d	3D	1	70244.09	0.020
10d	3D	1	70787.850	0.002
11d	3D	1	71158.957	0.002
4f	3F*	3	65586.0	0.3
5f	3F*	3	68093.7	2.5
6f	3F*	3	69456.4	0.3
7f	3F*	3	70277.4	0.3
8f	3F*	3	70809.7	0.3
9f	3F*	3	71174.2	0.3
10f	3F*	3	71434.1	0.3
