# F I — NIST ASD 5.12, ref L3462 · Z=9, neutral
# limit NOT printed; DERIVED by the lowest-rms rule (register 1065)
# the 2s2.2p4.(3P).nl series
config	term	J	level_cm1
3s	4P	5/2	102405.71
4s	4P	5/2	125637.69
5s	4P	5/2	132595.50
6s	4P	5/2	135603.85
7s	4P	5/2	137174.80
8s	4P	5/2	138097.74
3s	2P	3/2	104731.05
4s	2P	3/2	126282.58
5s	2P	3/2	132998.38
6s	2P	3/2	135966.39
3p	4P*	5/2	115917.91
4p	4P*	5/2	129381.86
3p	4D*	7/2	116987.39
4p	4D*	7/2	129659.50
3d	4D	7/2	128064.10
4d	4D	7/2	133544.54
5d	4D	7/2	136070.88
6d	4D	7/2	137438.47
3d	4F	9/2	128219.13
4d	4F	9/2	133605.61
5d	4F	9/2	136101.06
6d	4F	9/2	137455.68
