# Fe XVI — NIST ASD 5.12, refs L7185/L11770 · Z=26, 11 electrons, Na-like
# limit Fe XVII (2p6 1S0) = [3,946,570] +/- 110 cm-1  — PUBLISHED (bracketed)
config	term	J	level_cm1	unc
3s	2S	1/2	0	0
4s	2S	1/2	1867740	200
5s	2S	1/2	2662000	800
6s	2S	1/2	3076000	800
7s	2S	1/2	3323000	800
3p	2P*	1/2	277194	5
4p	2P*	1/2	1977650	200
5p	2P*	1/2	2717170	200
6p	2P*	1/2	3106400	800
3d	2D	3/2	675501	5
4d	2D	3/2	2124720	200
5d	2D	3/2	2788050	200
6d	2D	3/2	3146070	200
7d	2D	3/2	3360500	800
8d	2D	3/2	3498800	800
4f	2F*	5/2	2184960	200
5f	2F*	5/2	2818600	200
6f	2F*	5/2	3163130	200
7f	2F*	5/2	3371210	200
8f	2F*	5/2	3505700	800
