# Mg I — NIST Handbook magnesiumtable5_a.htm, ref MZ80 · limit Mg II (2S1/2) 61671.05 KM91a
config	term	J	level_cm1
3s2	1S	0	0.000
3s3p	3P°	0	21850.405
3s3p	3P°	1	21870.464
3s3p	3P°	2	21911.178
3s3p	1P°	1	35051.264
3s4s	3S	1	41197.403
3s4s	1S	0	43503.333
3s3d	1D	2	46403.065
3s4p	3P°	0	47841.119
3s4p	3P°	1	47844.414
3s4p	3P°	2	47851.162
3s3d	3D	2	47957.027
3s3d	3D	3	47957.045
3s3d	3D	1	47957.058
3s4p	1P°	1	49346.729
3s5s	3S	1	51872.526
3s5s	1S	0	52556.206
3s4d	1D	2	53134.642
3s4d	3D	3	54192.256
3s4d	3D	2	54192.294
3s4d	3D	1	54192.335
3s5p	3P°	0	54248.809
3s5p	3P°	1	54250.086
3s5p	3P°	2	54252.726
3s4f	1F°	3	54676.438
3s4f	3F°	2	54676.654
3s4f	3F°	3	54676.701
3s4f	3F°	4	54676.755
3s5p	1P°	1	54706.536
3s6s	3S	1	55891.80
3s6s	1S	0	56186.873
3s5d	1D	2	56308.381
3s5d	3D	3	56968.218
3s5d	3D	2	56968.248
3s5d	3D	1	56968.271
3s6p	3P°	0	57017.078
3s6p	3P°	1	57017.724
3s6p	3P°	2	57019.025
3s5f	1F°	3	57204.163
3s5f	3F°	2	57204.228
3s5f	3F°	3	57204.267
3s5f	3F°	4	57204.305
3s6p	1P°	1	57214.992
3s5g	G	3,4	57262.760
3p2	3P	0	57812.77
3p2	3P	1	57833.40
3p2	3P	2	57873.94
