# Mg III — NIST ASD 5.12, Martin & Zalubas 1980 · Ne-like, Z=12, 10 electrons
# limit Mg IV (2p5 2P*3/2) = 646402 +/- 5 cm-1
config	term	J	level_cm1
4s	2[3/2]*	2	545820.4
5s	2[3/2]*	2	588768.9
6s	2[3/2]*	1	609262
4s	2[3/2]*	1	546531.6
5s	2[3/2]*	1	589126.8
4d	2[1/2]*	1	581734.7
5d	2[1/2]*	1	605356
4d	2[3/2]*	1	583450.5
5d	2[3/2]*	1	606248
6d	2[3/2]*	1	618601
7d	2[3/2]*	1	626013
8d	2[3/2]*	1	630827
9d	2[3/2]*	1	634111
4f	2[3/2]	1	584345.7
5f	2[3/2]	1	606713.1
4f	2[3/2]	2	584354.1
5f	2[3/2]	2	606719.4
4f	2[9/2]	5	584462.4
5f	2[9/2]	5	606774.5
4f	2[9/2]	4	584463.5
5f	2[9/2]	4	606775.4
4f	2[5/2]	3	584563.9
5f	2[5/2]	3	606830.7
4f	2[7/2]	3	584687.9
5f	2[7/2]	3	606891.1
4f	2[7/2]	4	584689.2
5f	2[7/2]	4	606891.8
