# Ne I — NIST Handbook of Basic Atomic Spectroscopic Data, neontable5.htm, ref SS04
# limit Ne II (2P°3/2) 173929.75 cm-1 (KM72)
config	term	J	level_cm1
2p6	1S	0	0.00
2p5(2P°3/2)3s	2[3/2]°	2	134041.8400
2p5(2P°3/2)3s	2[3/2]°	1	134459.2871
2p5(2P°1/2)3s	2[1/2]°	0	134818.6405
2p5(2P°1/2)3s	2[1/2]°	1	135888.7173
2p5(2P°3/2)3p	2[1/2]	1	148257.7898
2p5(2P°3/2)3p	2[1/2]	0	150917.4307
2p5(2P°3/2)3p	2[5/2]	3	149657.0393
2p5(2P°3/2)3p	2[5/2]	2	149824.2215
2p5(2P°3/2)3p	2[3/2]	1	150121.5922
2p5(2P°3/2)3p	2[3/2]	2	150315.8612
2p5(2P°1/2)3p	2[3/2]	1	150772.1118
2p5(2P°1/2)3p	2[3/2]	2	150858.5079
2p5(2P°1/2)3p	2[1/2]	1	151038.4524
2p5(2P°1/2)3p	2[1/2]	0	152970.7328
2p5(2P°3/2)4s	2[3/2]°	2	158601.1152
2p5(2P°3/2)4s	2[3/2]°	1	158795.9924
2p5(2P°1/2)4s	2[1/2]°	0	159379.9935
2p5(2P°1/2)4s	2[1/2]°	1	159534.6196
2p5(2P°3/2)3d	2[1/2]°	0	161509.6305
2p5(2P°3/2)3d	2[1/2]°	1	161524.1739
2p5(2P°3/2)3d	2[7/2]°	4	161590.3412
2p5(2P°3/2)3d	2[7/2]°	3	161592.1200
2p5(2P°3/2)3d	2[3/2]°	2	161607.2609
2p5(2P°3/2)3d	2[3/2]°	1	161636.6175
2p5(2P°3/2)3d	2[5/2]°	2	161699.6613
2p5(2P°3/2)3d	2[5/2]°	3	161701.4486
2p5(2P°1/2)3d	2[5/2]°	2	162408.6536
2p5(2P°1/2)3d	2[5/2]°	3	162410.1736
2p5(2P°1/2)3d	2[3/2]°	2	162419.9818
2p5(2P°1/2)3d	2[3/2]°	1	162435.6780
2p5(2P°1/2)4p	2[1/2]	0	164285.8872
2p5(2P°3/2)4d	2[7/2]°	4	167000.0317
# --- HIGH RYDBERG SERIES, ASD 5.12 ref L8826 · limit Ne II (2p5 2P*3/2) 173929.75 +/- 0.06
2s22p5(2P*3/2)12s	2[3/2]*	1	172972.289
2s22p5(2P*3/2)13s	2[3/2]*	1	173128.85
2s22p5(2P*3/2)14s	2[3/2]*	1	173249.45
2s22p5(2P*3/2)15s	2[3/2]*	1	173345.80
2s22p5(2P*3/2)16s	2[3/2]*	1	173422.57
2s22p5(2P*3/2)17s	2[3/2]*	1	173485.09
2s22p5(2P*3/2)18s	2[3/2]*	1	173536.36
2s22p5(2P*3/2)19s	2[3/2]*	1	173580.01
2s22p5(2P*3/2)20s	2[3/2]*	1	173616.48
2s22p5(2P*3/2)13d	2[3/2]*	1	173279.17
2s22p5(2P*3/2)14d	2[3/2]*	1	173368.88
2s22p5(2P*3/2)15d	2[3/2]*	1	173440.74
2s22p5(2P*3/2)16d	2[3/2]*	1	173500.11
2s22p5(2P*3/2)17d	2[3/2]*	1	173549.40
2s22p5(2P*3/2)18d	2[3/2]*	1	173590.50
2s22p5(2P*3/2)19d	2[3/2]*	1	173625.28
2s22p5(2P*3/2)20d	2[3/2]*	1	173655.01
2s2p63p	1P*	1	367360
2s2p64p	1P*	1	380070
2s2p65p	1P*	1	384670
2s2p66p	1P*	1	386880
2s2p67p	1P*	1	388080
2s2p68p	1P*	1	388820
2s2p69p	1P*	1	389330
2s2p610p	1P*	1	389670
2s2p611p	1P*	1	389920
2s2p612p	1P*	1	390090
