# Ne II — NIST Handbook, neontable6.htm, ref P71
# limit Ne III (3P2) 330388.6 cm-1
config	term	J	level_cm1
2s22p5	2P°	3/2	0.00
2s22p5	2P°	1/2	780.34
2s2p6	2S	1/2	217047.61
2s22p4(3P)3s	4P	5/2	219130.78
2s22p4(3P)3s	4P	3/2	219648.44
2s22p4(3P)3s	4P	1/2	219947.46
2s22p4(3P)3s	2P	3/2	224087.02
2s22p4(3P)3s	2P	1/2	224699.27
2s22p4(3P)3p	4P°	5/2	246192.45
2s22p4(3P)3p	4P°	3/2	246415.04
2s22p4(3P)3p	4P°	1/2	246597.71
2s22p4(1D)3s	2D	5/2	246394.13
2s22p4(1D)3s	2D	3/2	246397.49
2s22p4(3P)3p	4D°	7/2	249108.64
2s22p4(3P)3p	4D°	5/2	249445.99
2s22p4(3P)3p	4D°	3/2	249695.53
2s22p4(3P)3p	4D°	1/2	249839.63
2s22p4(3P)3p	2S°	1/2	252798.48
2s22p4(3P)3p	4S°	3/2	252953.54
2s22p4(3P)3p	2P°	3/2	254165.01
2s22p4(3P)3p	2P°	1/2	254292.19
2s22p4(1D)3p	2P°	3/2	276276.85
2s22p4(1D)3p	2P°	1/2	276511.82
2s22p4(1S)3s	2S	1/2	276677.13
2s22p4(3P)3d	4D	5/2	279218.66
2s22p4(3P)3d	2F	7/2	280700.77
2s22p4(3P)3d	2P	3/2	281720.28
2s22p4(3P)4s	2P	3/2	283322.35
