# Ne II — the 2s2.2p4.(1D).nl runs, converging on the 1D2 core, ref L9088
# limit Ne III (2s2.2p4 1D2) = 356229.3 +/- 0.4 cm-1
config	term	J	level_cm1
3s	2D	5/2	246394.1202
4s	2D	5/2	308101.2468
5s	2D	5/2	329148.63
3s	2D	3/2	246397.4810
4s	2D	3/2	308101.6076
5s	2D	3/2	329148.77
3d	2G	9/2	305364.004
4d	2G	9/2	327774.44
3d	2G	7/2	305365.116
4d	2G	7/2	327775.07
3d	2P	3/2	305566.923
4d	2P	3/2	327889
3d	2S	1/2	306011.056
4d	2S	1/2	327995.53
5d	2S	1/2	337461.34
6d	2S	1/2	343843
7d	2S	1/2	347134
8d	2S	1/2	349274
3d	2F	5/2	306687.271
4d	2F	5/2	328317.93
3d	2F	7/2	306687.654
4d	2F	7/2	328318.11
