# Ne I, series on the 2P*1/2 core — ASD 5.12 ref L8826
# limit Ne II (2p5 2P*1/2) = 173929.75 + 780.34 = 174710.09 cm-1
config	term	J	level_cm1
11s	2[1/2]*	1	173543.17
12s	2[1/2]*	1	173751.47
13s	2[1/2]*	1	173908.26
14s	2[1/2]*	1	174029.75
15s	2[1/2]*	1	174125.57
16s	2[1/2]*	1	174202.46
17s	2[1/2]*	1	174265.12
18s	2[1/2]*	1	174316.88
19s	2[1/2]*	1	174360.10
20s	2[1/2]*	1	174396.62
11d	2[3/2]*	1	173801.12
12d	2[3/2]*	1	173945.96
13d	2[3/2]*	1	174059.19
14d	2[3/2]*	1	174149.04
15d	2[3/2]*	1	174221.46
16d	2[3/2]*	1	174280.61
17d	2[3/2]*	1	174329.86
18d	2[3/2]*	1	174371.29
19d	2[3/2]*	1	174405.81
20d	2[3/2]*	1	174435.59
