# Rb I — NIST ASD, ref L9039 · Z=37, 37 electrons, Kr core 4p6 · limit fitted
5s	2S	0.5	0.000
5p	2P	0.5	12578.950
4d	2D	2.5	19355.203
6s	2S	0.5	20132.510
6p	2P	0.5	23715.081
5d	2D	1.5	25700.536
7s	2S	0.5	26311.437
4f	2F	3.5	26792.092
7p	2P	0.5	27835.02
6d	2D	1.5	28687.127
8s	2S	0.5	29046.816
5f	2F	3.5	29277.768
5g	2G	3.5	29296.196
8p	2P	0.5	29834.94
7d	2D	1.5	30280.113
9s	2S	0.5	30499.031
6f	2F	3.5	30627.962
9p	2P	0.5	30958.91
8d	2D	1.5	31221.440
10s	2S	0.5	31362.331
7f	2F	3.5	31441.718
10p	2P	0.5	31653.85
9d	2D	1.5	31821.855
11s	2S	0.5	31917.221
8f	2F	3.5	31969.616
11p	2P	0.5	32113.55
10d	2D	1.5	32227.610
12s	2S	0.5	32294.911
12p	2P	0.5	32433.50
13p	2P	0.5	32665.03
14p	2P	0.5	32838.02
15p	2P	0.5	32970.66
16p	2P	0.5	33074.59
