# S V — NIST ASD 5.12, Martin et al. 1990, ref L7237 · Mg-like, Z=16, 12 electrons
# limit NOT printed in the capture; DERIVED from the series (register 922)
config	term	J	level_cm1
3s.4s	3S	1	311595.1
3s.5s	3S	1	428439.0
3s.6s	3S	1	483653.6
3s.7s	3S	1	513933.6
3s.4s	1S	0	320108.0
3s.5s	1S	0	430801.7
3s.6s	1S	0	485386.8
3s.7s	1S	0	514595.2
3s.4p	3P*	0	349122.2
3s.5p	3P*	0	445303.7
3s.6p	3P*	0	490000.8
3s.4p	1P*	1	349534.4
3s.5p	1P*	1	447925.9
3s.6p	1P*	1	492706.0
3s.7p	1P*	1	519332
3s.4d	3D	1	396025.5
3s.5d	3D	1	468048.2
3s.6d	3D	1	504296.5
3s.7d	3D	1	526480.3
3s.4d	1D	2	397605.2
3s.5d	1D	2	470229.4
3s.6d	1D	2	504761.4
3s.4f	3F*	2	410909.6
3s.5f	3F*	2	473926.0
3s.6f	3F*	2	508418
3s.4f	1F*	3	417984.9
3s.5f	1F*	3	475802.5
3s.6f	1F*	3	510152
3s.5g	1G	4	474476.8
3s.6g	1G	4	508218
3s.5g	3G	3	474507.3
3s.6g	3G	3	508310
