# Si III — NIST ASD 5.12, Martin & Zalubas 1983, ref L5815 · Mg-like, 12 electrons
# limit Si IV (3s 2S1/2) = 270139.3 +/- 0.7 cm-1
# the two captures merged into one continuous run; the redundant 3s. core label stripped
config	term	J	level_cm1
3d	1D	2	165765.00
3d	3D	3	142943.74
4d	1D	2	204330.79
4d	3D	3	201599.48
5d	1D	2	227665.09
5d	3D	3	227088.72
6d	1D	2	240549.77
6d	3D	3	240314.63
7d	1D	2	250636.55
7d	3D	3	249121.14
8d	1D	2	254766.75
8d	3D	3	254007.48
9d	1D	2	257848.5
9d	3D	3	257415.6
4f	1F*	3	204828.06
4f	3F*	2	209531.40
4f	3F*	3	209559.33
4f	3F*	4	209599.70
5f	1F*	3	225526.33
5f	3F*	2	230267.7
5f	3F*	3	230268.62
5f	3F*	4	230270.66
6f	1F*	3	243868.50
6f	3F*	2	242410.88
6f	3F*	3	242411.27
6f	3F*	4	242411.70
7f	1F*	3	250366.22
7f	3F*	2	249774.48
7f	3F*	3	249774.70
7f	3F*	4	249774.98
8f	1F*	3	254855.42
8f	3F*	2	254557.03
8f	3F*	3	254557.26
8f	3F*	4	254557.64
9f	1F*	3	258013.37
9f	3F*	2	257831.4
9f	3F*	3	257831.4
9f	3F*	4	257831.4
5g	1G	4	230302.01
5g	3G	3	230301.22
5g	3G	4	230301.66
5g	3G	5	230302.35
6g	1G	4	242474.27
6g	3G	3	242473.66
6g	3G	4	242473.86
6g	3G	5	242474.81
7g	1G	4	249817.94
7g	3G	3	249817.32
7g	3G	4	249817.85
7g	3G	5	249818.93
8g	1G	4	254584.6
8g	3G	3	254584.8
8g	3G	4	254584.8
8g	3G	5	254585.75
9g	3G	3	257853.6
9g	3G	4	257853.6
9g	3G	5	257853.6
6h	1H*	5	242639.38
6h	3H*	6	242639.38
7h	1H*	5	249937.29
7h	3H*	5	249937.29
7h	3H*	6	249937.29
8h	1H*	5	254674.4
8h	3H*	5	254674.4
8h	3H*	6	254674.4
9h	1H*	5	257922.0
9h	3H*	5	257922.0
9h	3H*	6	257922.0
7i	1I	6	249966.49
7i	3I	7	249966.49
8i	1I	6	254694.99
8i	3I	7	254694.99
9i	1I	6	257936.99
9i	3I	7	257936.99
4p	1P*	1	176487.19
4p	3P*	0	175230.01
5p	1P*	1	214532.17
5p	3P*	0	214995.46
6p	1P*	1	234387.64
6p	3P*	0	234415.07
7p	1P*	1	244871.47
7p	3P*	0	244928.72
4s	1S	0	159069.61
4s	3S	1	153377.05
5s	1S	0	207874.09
5s	3S	1	206176.08
6s	1S	0	230364.46
6s	3S	1	229623.19
7s	1S	0	242537.95
7s	3S	1	242145.10
8s	1S	0	249857.26
8s	3S	1	249766.19
