# Si IV — NIST ASD 5.12, Martin & Zalubas 1983, ref L5815 · Na-like, Z=14, 11 electrons
# limit Si V (2p6 1S0) = 364,093.1 +/- 0.6 cm-1
config	term	J	level_cm1
3s	2S	1/2	0.00
4s	2S	1/2	193978.89
5s	2S	1/2	265417.95
6s	2S	1/2	299676.95
7s	2S	1/2	318742.79
8s	2S	1/2	330439.66
3p	2P*	1/2	71287.54
4p	2P*	1/2	218266.86
5p	2P*	1/2	276503.67
6p	2P*	1/2	305641.10
7p	2P*	1/2	322312.93
8p	2P*	1/2	332743.87
3d	2D	5/2	160374.41
4d	2D	5/2	250008.02
5d	2D	5/2	291497.60
6d	2D	5/2	313914.92
7d	2D	5/2	327361.97
8d	2D	5/2	336051.55
4f	2F*	5/2	254127.08
5f	2F*	5/2	293718.99
6f	2F*	5/2	315230.27
7f	2F*	5/2	328200.04
8f	2F*	5/2	336616.55
5g	2G	7/2	293837.92
6g	2G	7/2	315305.28
7g	2G	7/2	328249.64
8g	2G	7/2	336650.69
6h	2H*	9/2	315317.36
7h	2H*	9/2	328257.12
7i	2I	11/2	328260.76
