# Si I — the low-lying LS-coupled 3s2.3p.nd and .np runs, ref L5815
# these converge on the LOWER limit Si II (3p 2P*1/2) = 65747.76 +/- 0.25 cm-1
config	term	J	level_cm1
3d	1D*	2	47351.554
4d	1D*	2	56503.346
5d	1D*	2	60300.860
6d	1D*	2	62156.816
7d	1D*	2	63356.24
8d	1D*	2	63990.67
3d	3F*	2	49850.830
4d	3F*	2	57372.297
5d	3F*	2	60645.441
6d	3F*	2	62349.93
7d	3F*	2	63204.89
8d	3F*	2	63860.44
3d	3F*	3	49933.775
4d	3F*	3	57450.580
5d	3F*	3	60705.464
6d	3F*	3	62376.820
7d	3F*	3	63340.70
8d	3F*	3	63945.10
3d	3F*	4	50054.80
4d	3F*	4	57583.657
5d	3F*	4	60848.946
6d	3F*	4	62534.08
7d	3F*	4	63514.533
8d	3F*	4	64133.93
3d	1F*	3	53362.24
4d	1F*	3	58893.40
6d	1F*	3	62802.86
7d	1F*	3	63641.77
8d	1F*	3	64187.80
3d	1P*	1	53387.334
4d	1P*	1	58801.529
5d	1P*	1	61305.67
6d	1P*	1	62666.25
7d	1P*	1	63486.93
8d	1P*	1	64020.42
4p	1P	1	47284.061
5p	1P	1	56780.427
4p	3D	1	48020.074
5p	3D	1	56978.256
4p	3D	2	48102.323
5p	3D	2	57017.496
4p	3D	3	48264.292
5p	3D	3	57198.027
4p	3P	0	49028.294
5p	3P	0	57295.881
4p	3P	1	49060.601
5p	3P	1	57328.789
4p	3P	2	49188.617
5p	3P	2	57468.239
4p	3S	1	49399.670
5p	3S	1	57541.918
4p	1D	2	50189.389
5p	1D	2	57798.072
4p	1S	0	51612.012
5p	1S	0	58311.659
