# Si I — the 3s2.3p.(2P*1/2).nd<3/2> run continued downward, ref L5815
# limit Si II (3p 2P*1/2) = 65747.76 cm-1
config	term	J	level_cm1
14d	(1/2,3/2)*	1	65184.24
15d	(1/2,3/2)*	1	65255.31
16d	(1/2,3/2)*	1	65316.57
17d	(1/2,3/2)*	1	65365.05
18d	(1/2,3/2)*	1	65407.72
19d	(1/2,3/2)*	1	65441.93
20d	(1/2,3/2)*	1	65472.0
21d	(1/2,3/2)*	1	65497.91
22d	(1/2,3/2)*	1	65519.93
23d	(1/2,3/2)*	1	65539.72
24d	(1/2,3/2)*	1	65555.69
25d	(1/2,3/2)*	1	65571.35
26d	(1/2,3/2)*	1	65584.8
27d	(1/2,3/2)*	1	65596.21
28d	(1/2,3/2)*	1	65608.44
29d	(1/2,3/2)*	1	65616.3
30d	(1/2,3/2)*	1	65625.2
31d	(1/2,3/2)*	1	65633.15
32d	(1/2,3/2)*	1	65640.16
33d	(1/2,3/2)*	1	65646.6
34d	(1/2,3/2)*	1	65652.4
35d	(1/2,3/2)*	1	65658.0
37d	(1/2,3/2)*	1	65667.26
38d	(1/2,3/2)*	1	65671.4
39d	(1/2,3/2)*	1	65675.30
40d	(1/2,3/2)*	1	65678.99
41d	(1/2,3/2)*	1	65682.2
43d	(1/2,3/2)*	1	65688.15
44d	(1/2,3/2)*	1	65690.9
9d	(1/2,3/2)*	1	64393.66
10d	(1/2,3/2)*	1	64635.82
11d	(1/2,3/2)*	1	64832.70
12d	(1/2,3/2)*	1	64982.42
13d	(1/2,3/2)*	1	65092.05
