# Si I — the 3s2.3p.(2P*1/2).ns<1/2> run, ref L5815
# limit Si II (3p 2P*1/2) = 65747.76 +/- 0.25 cm-1
config	term	J	level_cm1
13s	(1/2,1/2)*	0	64859.23
13s	(1/2,1/2)*	1	64861.02
14s	(1/2,1/2)*	0	65000.11
14s	(1/2,1/2)*	1	65002.16
15s	(1/2,1/2)*	1	65108.74
15s	(1/2,1/2)*	0	65109.47
16s	(1/2,1/2)*	0	65196.82
16s	(1/2,1/2)*	1	65197.98
17s	(1/2,1/2)*	0	65267.35
17s	(1/2,1/2)*	1	65268.80
18s	(1/2,1/2)*	0	65324.68
18s	(1/2,1/2)*	1	65325.82
19s	(1/2,1/2)*	1	65372.80
19s	(1/2,1/2)*	0	65372.98
20s	(1/2,1/2)*	0	65413.38
20s	(1/2,1/2)*	1	65414.0
21s	(1/2,1/2)*	0	65447.45
21s	(1/2,1/2)*	1	65447.6
