# Si I — NIST ASD 5.12, Martin & Zalubas 1983, ref L5815 · 542 levels
# the 3s2.3p.(2P*3/2).nd<5/2> autoionising run, converging to the UPPER limit
# limit Si II (3p 2P*3/2) = 66035.00 cm-1
config	term	J	level_cm1
20d	(3/2,5/2)*	3	65758.86
21d	(3/2,5/2)*	3	65784.65
22d	(3/2,5/2)*	3	65806.94
23d	(3/2,5/2)*	3	65826.36
24d	(3/2,5/2)*	3	65843.45
25d	(3/2,5/2)*	3	65858.50
26d	(3/2,5/2)*	3	65871.88
27d	(3/2,5/2)*	3	65883.80
28d	(3/2,5/2)*	3	65894.52
29d	(3/2,5/2)*	3	65904.12
30d	(3/2,5/2)*	3	65912.60
31d	(3/2,5/2)*	3	65920.45
32d	(3/2,5/2)*	3	65927.37
33d	(3/2,5/2)*	3	65933.95
34d	(3/2,5/2)*	3	65939.75
35d	(3/2,5/2)*	3	65945.19
36d	(3/2,5/2)*	3	65950.17
37d	(3/2,5/2)*	3	65954.76
38d	(3/2,5/2)*	3	65958.80
39d	(3/2,5/2)*	3	65962.63
40d	(3/2,5/2)*	3	65966.22
41d	(3/2,5/2)*	3	65969.54
42d	(3/2,5/2)*	3	65972.57
43d	(3/2,5/2)*	3	65975.36
44d	(3/2,5/2)*	3	65978.19
45d	(3/2,5/2)*	3	65980.95
46d	(3/2,5/2)*	3	65982.98
47d	(3/2,5/2)*	3	65985.09
48d	(3/2,5/2)*	3	65987.29
49d	(3/2,5/2)*	3	65989.29
50d	(3/2,5/2)*	3	65990.87
51d	(3/2,5/2)*	3	65992.59
52d	(3/2,5/2)*	3	65994.30
53d	(3/2,5/2)*	3	65995.81
54d	(3/2,5/2)*	3	65997.34
55d	(3/2,5/2)*	3	65998.59
56d	(3/2,5/2)*	3	66000.05
20d	(3/2,3/2)*	1	65761.36
21d	(3/2,3/2)*	1	65786.90
22d	(3/2,3/2)*	1	65808.80
23d	(3/2,3/2)*	1	65827.98
24d	(3/2,3/2)*	1	65844.50
25d	(3/2,3/2)*	1	65859.72
26d	(3/2,3/2)*	1	65872.83
27d	(3/2,3/2)*	1	65884.68
28d	(3/2,3/2)*	1	65894.14
29d	(3/2,3/2)*	1	65904.47
30d	(3/2,3/2)*	1	65913.13
31d	(3/2,3/2)*	1	65920.18
32d	(3/2,3/2)*	1	65927.50
33d	(3/2,3/2)*	1	65934.45
34d	(3/2,3/2)*	1	65939.96
35d	(3/2,3/2)*	1	65945.16
36d	(3/2,3/2)*	1	65950.26
37d	(3/2,3/2)*	1	65954.87
38d	(3/2,3/2)*	1	65959.06
39d	(3/2,3/2)*	1	65962.72
40d	(3/2,3/2)*	1	65966.17
41d	(3/2,3/2)*	1	65969.58
42d	(3/2,3/2)*	1	65972.64
43d	(3/2,3/2)*	1	65975.41
44d	(3/2,3/2)*	1	65978.19
45d	(3/2,3/2)*	1	65980.66
46d	(3/2,3/2)*	1	65983.38
47d	(3/2,3/2)*	1	65985.23
48d	(3/2,3/2)*	1	65987.41
49d	(3/2,3/2)*	1	65989.36
50d	(3/2,3/2)*	1	65991.07
