# Y III — NIST ASD, ref L2592 · Z=39, 37 electrons, Kr core · limit 165540.5
4d	2D	1.5	0.00
5s	2S	0.5	7467.10
5p	2P	0.5	41401.46
6s	2S	0.5	86717.59
5d	2D	1.5	88379.61
6p	2P	0.5	99345.62
4f	2F	3.5	101088.23
7s	2S	0.5	117915.23
6d	2D	1.5	118936.91
5f	2F	2.5	123192.92
7p	2P	0.5	124041.76
5g	2G	4.5	125836.15
8s	2S	0.5	133599.09
7d	2D	1.5	134206.87
6f	2F	2.5	136894.08
8p	2P	0.5	137036.4
6g	2G	3.5	137973.52
6h	2H	4.5	138070.60
9s	2S	0.5	142620.7
8d	2D	1.5	143004.2
7f	2F	2.5	144565.80
9p	2P	0.5	144741.1
7g	2G	3.5	145294.65
7h	2H	4.5	145360.46
8f	2F	2.5	149536.28
8g	2G	3.5	150045.68
8h	2H	4.5	150091.71
9f	2F	2.5	152934.36
10f	2F	2.5	155357.2
