Z	charge	l	mult	delta	spread	term	parent	language	n_lo	n_hi	members	limit	limit_label	limit_status	delta_status	span	cell_exists
13	1	1	2	1.29719	0.20958	2P*		LS	3	7	10	48278.48	Al_II_(3s2_1S<0>)	no parent — fallback	usable	series	yes
13	1	0	2	1.76093	0.05360	2S		LS	4	16	13	48278.48	Al_II_(3s2_1S<0>)	no parent — fallback	usable	series	yes
13	1	1	4	0.61003	0.00762	4P		LS	3	3	3	48278.48	Al_II_(3s2_1S<0>)	no parent — fallback	usable	single-n	no
13	1	2	2	-0.02977	0.63035	2D		LS	3	34	39	48278.48	Al_II_(3s2_1S<0>)	no parent — fallback	usable	series	yes
13	1	3	2	0.03474	0.00884	2F*		LS	4	10	9	48278.48	Al_II_(3s2_1S<0>)	no parent — fallback	usable	series	yes
13	1	4	2	0.00841	0.00134	2G		LS	5	7	3	48278.48	Al_II_(3s2_1S<0>)	no parent — fallback	usable	series	yes
13	1	0	4	1.85615	0.06439	4P*	3P*	LS	4	5	4	85671.4	Al_II_(3s.3p_3P*<0>)	parent-matched	usable	series	no
13	1	2	2	0.53244	0.01378	2D*	3P*	LS	3	5	6	85671.4	Al_II_(3s.3p_3P*<0>)	parent-matched	usable	series	yes
13	1	1	0	1.26525	0.37299		3P*	LS	4	11	21	85671.4	Al_II_(3s.3p_3P*<0>)	parent-matched	usable	series	no
13	1	1	2	1.28691	0.00505	2P	3P*	LS	4	5	3	85671.4	Al_II_(3s.3p_3P*<0>)	parent-matched	usable	series	yes
13	1	2	4	0.24130	0.00490	4D*	3P*	LS	3	3	4	85671.4	Al_II_(3s.3p_3P*<0>)	parent-matched	usable	single-n	no
13	1	1	2	1.12650	0.17750	2D	3P*	LS	4	7	4	85671.4	Al_II_(3s.3p_3P*<0>)	parent-matched	usable	series	yes
13	1	2	4	0.14055	0.00785	4P*	3P*	LS	3	3	3	85671.4	Al_II_(3s.3p_3P*<0>)	parent-matched	usable	single-n	no
13	1	2	2	0.05270	0.03003	2F*	3P*	LS	3	4	4	85671.4	Al_II_(3s.3p_3P*<0>)	parent-matched	usable	series	yes
13	1	1	2	1.00069	0.13014	2S	3P*	LS	4	7	4	85671.4	Al_II_(3s.3p_3P*<0>)	parent-matched	usable	series	yes
13	1	1	2	0.77072	0.69486	2D?	3P*	LS	8	11	5	85671.4	Al_II_(3s.3p_3P*<0>)	parent-matched	usable	series	yes
13	1	1	2	0.60311	0.57613	2S?	3P*	LS	8	11	4	85671.4	Al_II_(3s.3p_3P*<0>)	parent-matched	usable	series	yes
5	1	1	2	0.53527	0.19569	2P*		LS	2	9	11	66928.04	B_II_(2s2_1S<0>)	no parent — fallback	usable	series	yes
5	1	1	4	0.30682	0.00024	4P		LS	2	2	3	66928.04	B_II_(2s2_1S<0>)	no parent — fallback	usable	single-n	no
5	1	0	2	0.92172	0.32363	2S		LS	3	10	8	66928.04	B_II_(2s2_1S<0>)	no parent — fallback	usable	series	yes
5	1	2	2	0.03920	0.10803	2D		LS	3	39	38	66928.04	B_II_(2s2_1S<0>)	no parent — fallback	usable	series	yes
5	1	3	2	0.01382	0.00449	2F*		LS	4	11	9	66928.04	B_II_(2s2_1S<0>)	no parent — fallback	usable	series	yes
5	1	0	4	0.99291	0.00385	4P*	3P*	LS	3	4	4	104263.58	B_II_(2s.2p_3P*<0>)	parent-matched	usable	series	no
5	1	1	2	0.47161	0.02394	2P	3P*	LS	3	6	6	104263.58	B_II_(2s.2p_3P*<0>)	parent-matched	usable	series	yes
5	1	2	4	0.18383	0.11909	4D*	3P*	LS	3	5	7	104263.58	B_II_(2s.2p_3P*<0>)	parent-matched	usable	series	no
5	1	2	4	0.05118	0.00063	4P*	3P*	LS	3	3	3	104263.58	B_II_(2s.2p_3P*<0>)	parent-matched	usable	single-n	no
56	1	0	1	4.20179	0.29476	1S		LS	6	25	20	42034.91	Ba_II_(5s2.5p6.6s_2S<1/2>)	no parent — fallback	usable	series	yes
56	1	2	3	2.78367	9.98484	3D		LS	5	25	63	42034.91	Ba_II_(5s2.5p6.6s_2S<1/2>)	no parent — fallback	usable	series	yes
56	1	2	1	2.68725	19.93596	1D		LS	5	25	24	42034.91	Ba_II_(5s2.5p6.6s_2S<1/2>)	no parent — fallback	usable	series	yes
56	1	1	3	3.80231	16.05682	3P*		LS	6	25	46	42034.91	Ba_II_(5s2.5p6.6s_2S<1/2>)	no parent — fallback	usable	series	yes
56	1	1	1	3.74874	2.49595	1P*		LS	6	25	22	42034.91	Ba_II_(5s2.5p6.6s_2S<1/2>)	no parent — fallback	usable	series	yes
56	1	2	3	1.07872	19.79772	3F		LS	5	7	9	42034.91	Ba_II_(5s2.5p6.6s_2S<1/2>)	no parent — fallback	usable	series	yes
56	1	1	3	3.54973	1.38683	3F*		LS	6	7	5	42034.91	Ba_II_(5s2.5p6.6s_2S<1/2>)	no parent — fallback	usable	series	yes
56	1	2	3	0.87629	28.06892	3P		LS	5	7	8	42034.91	Ba_II_(5s2.5p6.6s_2S<1/2>)	no parent — fallback	usable	series	yes
56	1	1	3	2.54904	5.32634	3D*		LS	6	8	7	42034.91	Ba_II_(5s2.5p6.6s_2S<1/2>)	no parent — fallback	usable	series	yes
56	1	0	3	4.28261	0.12908	3S		LS	7	25	16	42034.91	Ba_II_(5s2.5p6.6s_2S<1/2>)	no parent — fallback	usable	series	yes
56	1	0	3	2.48808	3.17521	3D		LS	7	8	6	42034.91	Ba_II_(5s2.5p6.6s_2S<1/2>)	no parent — fallback	usable	series	yes
56	1	1	3	2.09911	0.23522	3P		LS	6	6	3	42034.91	Ba_II_(5s2.5p6.6s_2S<1/2>)	no parent — fallback	usable	single-n	yes
56	1	3	3	0.16810	0.14466	3F*		LS	4	25	25	42034.91	Ba_II_(5s2.5p6.6s_2S<1/2>)	no parent — fallback	usable	series	yes
56	1	3	1	0.11054	0.19155	1F*		LS	4	7	4	42034.91	Ba_II_(5s2.5p6.6s_2S<1/2>)	no parent — fallback	usable	series	yes
56	1	2	3	-0.32851	9.82049	3G		LS	6	7	6	42034.91	Ba_II_(5s2.5p6.6s_2S<1/2>)	no parent — fallback	usable	series	yes
56	1	4	1	0.05072	0.03354	1G		LS	8	25	18	42034.91	Ba_II_(5s2.5p6.6s_2S<1/2>)	no parent — fallback	usable	series	yes
56	1	4	3	0.05145	0.10473	3G		LS	8	25	29	42034.91	Ba_II_(5s2.5p6.6s_2S<1/2>)	no parent — fallback	usable	series	yes
55	1	0	2	4.05120	0.08085	2S		LS	6	25	20	31406.4677325	Cs_II_(5s2.5p6_1S<0>)	no parent — fallback	usable	series	yes
55	1	1	2	3.59251	0.11203	2P*		LS	6	25	40	31406.4677325	Cs_II_(5s2.5p6_1S<0>)	no parent — fallback	usable	series	yes
55	1	2	2	2.46643	0.03053	2D		LS	5	25	42	31406.4677325	Cs_II_(5s2.5p6_1S<0>)	no parent — fallback	usable	series	yes
55	1	3	2	0.03254	0.01136	2F*		LS	4	25	44	31406.4677325	Cs_II_(5s2.5p6_1S<0>)	no parent — fallback	usable	series	yes
55	1	4	2	0.00667	0.00194	2G		LS	5	25	28	31406.4677325	Cs_II_(5s2.5p6_1S<0>)	no parent — fallback	usable	series	yes
87	1	0	2	5.07221	0.10117	2S		LS	7	30	24	32848.872		no limit recorded	usable	series	yes
87	1	1	2	4.59521	0.19183	2P*		LS	7	30	48	32848.872		no limit recorded	usable	series	yes
87	1	2	2	3.42371	2.38116	2D		LS	6	30	50	32848.872		no limit recorded	usable	series	yes
31	1	1	2	2.23129	0.49296	2P*		LS	4	70	50	48387.634	Ga_II_(4s2_1S<0>)	no parent — fallback	usable	series	yes
31	1	0	2	2.79528	0.05340	2S		LS	5	28	24	48387.634	Ga_II_(4s2_1S<0>)	no parent — fallback	usable	series	yes
31	1	2	2	1.31599	0.19230	2D		LS	4	34	45	48387.634	Ga_II_(4s2_1S<0>)	no parent — fallback	usable	series	yes
31	1	1	4	0.69493	0.15711	4P		LS	4	4	3	48387.634	Ga_II_(4s2_1S<0>)	no parent — fallback	usable	single-n	no
31	1	3	2	0.02587	0.00570	2F*		LS	4	8	5	48387.634	Ga_II_(4s2_1S<0>)	no parent — fallback	usable	series	yes
31	1	1	2	2.30452	0.44994	2[1]	3P*<0>	jK	5	17	15	95755.14	Ga_II_(4s.4p_3P*<0>)	parent-matched	usable	series	yes
31	1	1	2	2.27448	0.50299	2[1]	3P*<1>	jK	5	16	17	96201.68	Ga_II_(4s.4p_3P*<1>)	parent-matched	usable	series	yes
31	1	1	2	2.21009	0.22201	2[2]	3P*<1>	jK	5	10	6	96201.68	Ga_II_(4s.4p_3P*<1>)	parent-matched	usable	series	yes
31	1	1	2	2.22557	0.40521	2[2]	3P*<2>	jK	5	11	8	97137.37	Ga_II_(4s.4p_3P*<2>)	parent-matched	usable	series	yes
31	1	1	2	2.21720	0.14907	2[0]	3P*<1>	jK	5	8	4	96201.68	Ga_II_(4s.4p_3P*<1>)	parent-matched	usable	series	yes
31	1	1	2	2.30816	0.21568	2[1]	3P*<2>	jK	5	8	7	97137.37	Ga_II_(4s.4p_3P*<2>)	parent-matched	usable	series	yes
32	1	1	3	2.32485	1.37494	3P		LS	4	7	12	63713.24	Ge_II_(4p_2P*<1/2>)	no parent — fallback	usable	series	yes
32	1	1	1	2.04292	1.41217	1D		LS	4	7	4	63713.24	Ge_II_(4p_2P*<1/2>)	no parent — fallback	usable	series	yes
32	1	1	1	1.89965	1.48553	1S		LS	4	7	4	63713.24	Ge_II_(4p_2P*<1/2>)	no parent — fallback	usable	series	yes
32	1	0	3	2.94601	0.06811	3P*		LS	5	5	3	63713.24	Ge_II_(4p_2P*<1/2>)	no parent — fallback	usable	single-n	yes
32	1	1	3	2.39570	1.11552	3D		LS	5	7	9	63713.24	Ge_II_(4p_2P*<1/2>)	no parent — fallback	usable	series	yes
32	1	1	1	2.39358	0.10385	1P		LS	5	8	4	63713.24	Ge_II_(4p_2P*<1/2>)	no parent — fallback	usable	series	yes
32	1	2	3	1.28748	0.11726	3D*		LS	4	5	6	63713.24	Ge_II_(4p_2P*<1/2>)	no parent — fallback	usable	series	yes
32	1	1	3	1.93166	0.97797	3S		LS	5	7	3	63713.24	Ge_II_(4p_2P*<1/2>)	no parent — fallback	usable	series	yes
32	1	2	3	1.11179	0.52420	3F*		LS	4	5	6	63713.24	Ge_II_(4p_2P*<1/2>)	no parent — fallback	usable	series	yes
32	1	2	3	0.88662	0.32856	3P*		LS	4	5	6	63713.24	Ge_II_(4p_2P*<1/2>)	no parent — fallback	usable	series	yes
32	1	0	0	2.88466	0.12564	(1/2,1/2)*		jj	6	43	68	63713.24	Ge_II_(4p_2P*<1/2>)	no parent — fallback	usable	series	no
32	1	0	0	2.86568	0.07256	(3/2,1/2)*		jj	6	33	49	65480.6	Ge_II_(4p_2P*<3/2>)	no parent — fallback	usable	series	no
32	1	3	2	0.02640	0.00704	2[7/2]	2P*<1/2>	jK	4	7	8	63713.24	Ge_II_(4p_2P*<1/2>)	parent-matched	usable	series	no
32	1	3	2	0.02495	0.00717	2[5/2]	2P*<1/2>	jK	4	7	8	63713.24	Ge_II_(4p_2P*<1/2>)	parent-matched	usable	series	no
32	1	2	0	0.38923	0.77693	*		unresolved	5	5	3	63713.24	Ge_II_(4p_2P*<1/2>)	no parent — fallback	usable	single-n	no
32	1	2	0	1.25782	25.01763	(3/2,3/2)*		jj	6	41	85	65480.6	Ge_II_(4p_2P*<3/2>)	no parent — fallback	usable	series	no
32	1	3	2	0.04890	0.00452	2[7/2]	2P*<3/2>	jK	4	6	6	65480.6	Ge_II_(4p_2P*<3/2>)	parent-matched	usable	series	no
32	1	3	2	0.03014	0.00198	2[5/2]	2P*<3/2>	jK	4	5	4	65480.6	Ge_II_(4p_2P*<3/2>)	parent-matched	usable	series	no
32	1	3	2	0.01731	0.00823	2[9/2]	2P*<3/2>	jK	4	7	7	65480.6	Ge_II_(4p_2P*<3/2>)	parent-matched	usable	series	no
32	1	3	2	-0.00416	0.00490	2[3/2]	2P*<3/2>	jK	4	5	4	65480.6	Ge_II_(4p_2P*<3/2>)	parent-matched	usable	series	no
32	1	2	0	1.31584	1.07465	(1/2,3/2)*		jj	6	67	82	63713.24	Ge_II_(4p_2P*<1/2>)	no parent — fallback	usable	series	no
32	1	2	0	1.21619	0.90882	(1/2,5/2)*		jj	6	70	90	63713.24	Ge_II_(4p_2P*<1/2>)	no parent — fallback	usable	series	no
32	1	2	0	0.96223	0.52972	(3/2,5/2)*		jj	6	64	127	65480.6	Ge_II_(4p_2P*<3/2>)	no parent — fallback	usable	series	no
32	1	4	0	0.00683	0.00779	(1/2,7/2)*		jj	6	15	8	63713.24	Ge_II_(4p_2P*<1/2>)	no parent — fallback	usable	series	no
72	1	0	3	4.55686	0.06249	a 3F		LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	no parent — fallback	usable	single-n	yes
72	1	0	3	4.49542	0.05492	a 3P		LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	no parent — fallback	usable	single-n	yes
72	1	1	3	4.32008	0.09458	z 3D*	a_2D	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	parent-matched	usable	single-n	yes
72	1	0	5	4.33057	0.08188	a 5F	b_4F	LS	6	6	5	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	1	3	4.35405	0.08252	z 3F*	a_2D	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	parent-matched	usable	single-n	yes
72	1	1	5	4.20577	0.20459	z 5G*	a_4F	LS	6	6	5	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	1	3	4.27264	0.03984	z 3P*	a_2D	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	parent-matched	usable	single-n	yes
72	1	0	5	4.20713	0.03812	a 5P	b_4P	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	1	5	4.13646	0.13539	z 5F*	a_4F	LS	6	6	5	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	0	3	4.14221	0.03560	a 3G	b_2G	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	0	3	4.07994	0.12065	b 3F	b_4F	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	0	3	4.08628	0.09879	a 3D	c_2D	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	parent-matched	usable	single-n	yes
72	1	1	5	4.06847	0.08648	z 5D*	a_4F	LS	6	6	5	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
