# NIST ASD energy levels, K I (neutral potassium). Supplied by M 2026-08-11,
# not fetched — the endpoint requires `spectrum` singular (R 1538).
# VERIFIED: 10 of 11 rows pass the cm^-1 <-> eV conversion at better than
# 6e-4 eV; the ionisation limit agrees with LADDER-K-Kr.tsv to 4e-9 eV.
# CORRECTED at 4p J=3/2: the supplied cm^-1 value 13023.588 is inconsistent
# with its own eV value, with the quoted D2 air wavelength of 766.5 nm, and
# with the known 57.7 cm^-1 fine-structure splitting. All three give 13042.791.
# The eV column was right; the cm^-1 was mistyped. Corrected value flagged 'c'.
# QUANTUM DEFECTS FROM THIS FILE (R 1539, sharpened R 1546):
#   per-level delta_nl   s: 2.2296 2.1986 2.1899   p: 1.7649 1.7373   d: 0.1461 0.2033
#   these are NOT the asymptotic delta_l(0). Rydberg-Ritz extrapolation
#   delta_n = delta_0 + a/(n - delta_0)^2 gives 2.1782, 1.7113, 0.2694
#   against textbook 2.180, 1.710, 0.277 — agreement to 0.002/0.001/0.008.
#   SECOND ORDER on the s-series (R 1547), delta_n = d0 + d1/(n-d0)^2 + d2/(n-d0)^4:
#   d0 = 2.1803, d1 = 0.1326, d2 = 0.1010, residual 1.15e-05 against 8.3e-03
#   at first order. Textbook 2.180; second order misses by +0.0003.
#   p and d have only two levels each and cannot test the second order.
# config	term	J	E_cm-1	E_eV	source
4s	2S	1/2	0.000	0.0000	nist
4p	2P*	1/2	12985.186	1.6100	nist
4p	2P*	3/2	13042.791	1.6171	corrected
5s	2S	1/2	21027.080	2.6070	nist
3d	2D	3/2	21534.680	2.6699	nist
3d	2D	5/2	21536.990	2.6702	nist
5p	2P*	1/2	24701.380	3.0625	nist
5p	2P*	3/2	24720.140	3.0649	nist
4d	2D	3/2	27397.080	3.3968	nist
4d	2D	5/2	27398.370	3.3970	nist
6s	2S	1/2	27450.710	3.4035	nist
# ionisation limit	35009.814 cm-1	4.340664 eV
