# NIST ASD energy levels, Kr I (neutral krypton). Supplied by M 2026-08-11.
# VERIFIED: 11 of 11 rows pass the cm^-1 <-> eV conversion at better than
# 6e-4 eV. All ten excited levels satisfy J1l pair coupling: K = J1 (x) l and
# J = K +- 1/2. The 4p5(2P3/2)5p manifold is COMPLETE at all six levels.
# The ionisation potential 112914.434 cm^-1 agrees with LADDER-K-Kr.tsv to
# 9e-8 eV. The 123.58 nm resonance wavelength reproduces exactly.
#
# RESOLVED 2026-08-11 (R 1545) BY THE WAVELENGTH, NOT BY ASSERTION.
# A second supplied listing re-asserted 85846.709 = J=0 metastable and
# 86583.760 = J=1 resonance at 116.49 nm. But 1e7/85846.709 = 116.4867 nm and
# 1e7/86583.760 = 115.4951 nm. 116.49 nm IS 85846.7 to four figures. The
# Paschen labels supplied with that listing settle it independently: 1s2 is
# the UPPER resonance level and carries 116.49 nm, so 1s2 = 85846.7 cm^-1 —
# which both listings label 1s3 / J=0.
# CONCLUSION: 85846.709 is the J=1 resonance level (1s2). The J=0 metastable
# (1s3, near 85191 cm^-1) is ABSENT from both listings. 86583.760 matches no
# 5s level and is dropped.
# MISSING: the J=0 metastable 1s3. THREE attempts have failed (R 1554).
# CONSTRAINTS it must satisfy, all derived from the four levels held here:
#   1. > 80916.768  (above the 2P_3/2 pair; it sits on the HIGHER core)
#   2. < 85846.709  (below the 2P_1/2 J=1; J=0 is the lower of that pair)
#   3. ~ 85342.7    (= 79971.743 + the 5370.96 core splitting; both are the
#                    lower member of their pair)
#   4. carries NO resonance line to the ground state: J=0 -> J=0 is forbidden,
#      so its wavelength must appear in no line list.
# FAILED ATTEMPTS, both naming a level that is already a J=1 RESONANCE:
#   85846.709  refuted by 116.49 nm  (listings 1 and 2)
#   80916.768  refuted by 123.58 nm and by the core splitting (listing 3)
# The J=0 level is the ONLY one of the four with no line to the ground state,
# which is likely why line-oriented sources keep substituting a neighbour.
# config	term	J	E_cm-1	E_eV	status
4p6	1S	0	0.000	0.0000	ok
4p5(3/2).5s	2[3/2]o	2	79971.743	9.9152	ok
4p5(3/2).5s	2[3/2]o	1	80916.768	10.0324	ok
4p5(1/2).5s	2[1/2]o	1	85846.709	10.6439	J CORRECTED 0->1 (R 1545)
# 4p5(1/2).5s	2[1/2]o	1	86583.760	10.7352	DROPPED - matches no 5s level
4p5(3/2).5p	2[1/2]	1	91170.010	11.3037	ok
4p5(3/2).5p	2[5/2]	3	92307.420	11.4446	ok
4p5(3/2).5p	2[5/2]	2	93123.328	11.5457	ok
4p5(3/2).5p	2[3/2]	1	93752.023	11.6237	ok
4p5(3/2).5p	2[3/2]	2	94093.076	11.6660	ok
4p5(3/2).5p	2[1/2]	0	94387.652	11.7025	ok
# ionisation potential	112914.434 cm-1	13.999606 eV	verified
