Z	charge	l	mult	delta	grade	source	B	witness	bound	tier
13	0	1	2	1.29719	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2P* [] n=3-7	0.20958	witnessed	10 members; limit 48278.48	C
13	0	0	2	1.76093	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2S [] n=4-16	0.05360	witnessed	13 members; limit 48278.48	B
13	0	1	4	0.61003	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4P [] n=3-3	0.00762	witnessed	3 members; limit 48278.48	A
13	0	2	2	-0.02977	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2D [] n=3-34	0.63035	witnessed	39 members; limit 48278.48	C
13	0	3	2	0.03474	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2F* [] n=4-10	0.00884	witnessed	9 members; limit 48278.48	A
13	0	4	2	0.00841	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2G [] n=5-7	0.00134	witnessed	3 members; limit 48278.48	A
13	0	0	4	1.85615	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4P* [3P*] n=4-5	0.06439	witnessed	4 members; limit 85671.4	B
13	0	2	2	0.53244	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2D* [3P*] n=3-5	0.01378	witnessed	6 members; limit 85671.4	A
13	0	1	0	1.26525	measured	NIST ASD fetched 2026-08-14 (session 1.8); series  [3P*] n=4-11	0.37299	witnessed	21 members; limit 85671.4	C
13	0	1	2	1.28691	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2P [3P*] n=4-5	0.00505	witnessed	3 members; limit 85671.4	A
13	0	2	4	0.24130	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4D* [3P*] n=3-3	0.00490	witnessed	4 members; limit 85671.4	A
13	0	1	2	1.12650	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2D [3P*] n=4-7	0.17750	witnessed	4 members; limit 85671.4	B
13	0	2	4	0.14055	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4P* [3P*] n=3-3	0.00785	witnessed	3 members; limit 85671.4	A
