species	levels	limits	empty_energy	empty_term	bare_star_term	bracketed_E	merged_or_disj_J	question_marks	flag_q	flag_u	flag_a	flag_other	anonymous_config	numeric_term
AcI	52	0	0	0	0	0	0	0	0	0	0	0	0	0
AlI	187	5	0	21	0	11	0	34	0	0	0	0	0	0
AsII	166	1	0	0	0	0	0	0	0	0	0	0	0	0
AsIII	21	1	0	0	0	0	0	0	0	0	0	0	0	0
AsIV	33	1	0	0	0	0	0	0	0	0	0	0	3	0
BI	118	7	0	2	0	0	44	0	0	0	0	18	0	0
BaI	355	1	0	0	0	0	0	0	0	61	0	0	0	0
BrIV	40	1	0	0	0	0	0	0	0	0	0	0	0	0
BrV	9	1	0	0	0	0	0	0	0	0	0	0	0	0
BrVI	11	1	0	0	0	0	0	0	0	0	0	0	0	0
CaIII	37	0	0	0	0	0	0	0	0	0	0	6	0	0
CaVIII	37	0	0	0	0	0	0	0	0	0	0	13	0	0
CeI	21	0	0	0	0	0	0	0	0	0	0	0	0	0
CoIX	39	1	0	0	0	0	0	0	0	0	0	0	0	0
CrIII	214	1	0	0	2	0	0	0	0	0	0	0	0	0
CrVI	62	1	0	0	0	0	0	0	0	0	0	0	0	0
CsI	178	1	0	0	0	12	0	0	0	0	0	0	0	0
FeVI	93	1	0	0	0	0	0	0	0	0	0	0	0	0
FeVII	209	1	0	0	0	0	0	0	1	0	0	0	0	0
FeVIII	41	1	0	0	0	0	0	0	3	0	0	0	0	0
FrI	122	1	0	0	0	0	0	0	0	0	0	0	0	0
GaI	257	5	0	0	0	0	0	0	0	0	0	0	0	0
GeI	619	2	0	0	4	0	0	0	6	0	0	0	1	0
GeII	127	2	0	0	0	0	0	0	17	0	0	0	0	0
HfI	332	1	0	0	0	0	1	4	7	0	0	0	54	54
HgI	296	3	2	0	0	0	0	0	0	0	0	0	0	0
InI	113	1	2	0	0	1	2	0	0	0	0	0	0	0
KII	38	0	0	0	0	0	0	0	0	0	0	6	0	0
KVII	80	0	0	0	0	0	0	0	0	0	0	0	0	0
KrI	527	1	0	27	0	0	0	0	0	0	0	0	0	0
LaI	22	0	0	0	0	0	0	0	0	0	0	0	0	0
LuI	233	1	34	2	1	0	1	4	0	0	0	0	0	0
MnVI	115	1	0	0	0	0	0	0	0	0	0	0	0	0
MnVII	45	1	0	0	0	0	0	0	0	0	0	0	0	0
NaI	423	7	0	76	0	84	207	18	0	0	0	0	0	0
NiX	33	1	0	0	0	0	0	0	0	0	0	0	0	0
PbI	134	2	0	0	0	0	1	0	3	0	0	0	0	0
RaI	81	1	0	0	0	0	0	3	0	0	0	0	0	0
RnI	126	1	19	0	0	2	0	0	0	0	0	0	0	0
ScI	80	0	0	0	0	0	0	0	0	0	0	80	0	0
ScIV	44	0	0	0	0	0	0	0	0	0	0	1	0	0
ScIX	26	0	0	0	0	0	0	0	0	0	0	7	0	0
SeIII	52	1	0	0	0	0	0	0	0	0	0	1	1	0
SeIV	28	1	0	0	0	0	0	0	0	0	0	0	0	0
SnI	226	2	0	0	0	0	0	0	4	0	0	0	8	8
SrI	377	3	0	0	0	0	0	0	0	0	0	0	0	0
ThI	149	0	0	0	0	0	0	0	0	0	0	0	0	0
TiI	558	1	0	0	0	0	0	0	0	0	0	0	0	0
TiII	124	0	0	0	0	0	0	0	0	0	0	0	0	0
TiV	46	0	0	0	0	0	0	0	0	0	0	46	0	0
TiX	79	0	0	0	0	0	0	0	0	0	0	0	0	0
TlI	69	1	2	0	0	0	20	0	0	0	0	0	1	0
VII	97	0	0	0	0	0	0	0	0	0	0	0	0	0
VIII	141	0	0	0	0	0	0	0	3	0	0	0	0	0
VIV	95	0	0	0	0	0	0	0	1	0	0	0	0	0
VV	70	0	0	0	0	0	0	0	0	0	0	0	0	0
VVI	34	0	0	0	0	0	0	0	0	0	0	11	0	0
XeI	443	2	0	0	50	3	0	0	0	0	0	0	0	0
YI	193	1	0	3	0	0	1	2	2	0	0	0	14	0
YbI	248	2	6	39	50	0	0	18	1	0	16	1	48	0
ZrI	261	1	3	0	0	3	0	7	5	0	0	0	3	0
