# Co IX — NIST ASD levels, fetched live 2026-08-14 (session 1.8, batch 1 fetch 8).
# destination_url VERIFIED: energy1.pl?...spectrum=Co+IX...format=2&units=0 (cm-1)
# K-like, third of the sequence (Cr VI, Mn VII, Co IX). 3d 2D ground.
# Rydberg content thinner again: 4p + nf (n=4..10) only; no 4s/4d/ng/nh.
# 2D splitting grows along the sequence: 940 (Cr VI), 1338 (Mn VII), 2451 here.
# Limit: Co X (3p6 1S<0>) 1501300.
Configuration	Term	J	Level_cm-1
3p6.3d	2D	3/2	0
3p6.3d	2D	5/2	2451
3p5.(2P*).3d2.(1G)	2F*	5/2	468222
3p5.(2P*).3d2.(1G)	2F*	7/2	472140
3p5.(2P*).3d2.(1D)	2F*	7/2	485123
3p5.(2P*).3d2.(1D)	2F*	5/2	499750
3p5.(2P*).3d2.(3F)	2F*	5/2	580759
3p5.(2P*).3d2.(3F)	2F*	7/2	588291
3p6.4p	2P*	1/2	625109
3p6.4p	2P*	3/2	629117
3p5.(2P*).3d2.(3F)	2D*	5/2	644843
3p5.(2P*).3d2.(3F)	2D*	3/2	645408
3p5.(2P*).3d2.(3P)	2P*	1/2	650182
3p5.(2P*).3d2.(3P)	2P*	3/2	654735
3p6.4f	2F*	5/2	922590
3p6.4f	2F*	7/2	922690
3p5.3d.(3P*).4s	2P*	1/2	986100
3p5.3d.(3P*).4s	2P*	3/2	991510
3p5.3d.(3F*).4s	4F*	7/2	996130
3p5.3d.(3F*).4s	4F*	5/2	997900
3p5.3d.(3F*).4s	2F*	7/2	1003240
3p5.3d.(3F*).4s	2F*	5/2	1009670
3p5.3d.(3D*).4s	4D*	7/2	1024380
3p5.3d.(3D*).4s	4D*	5/2	1027170
3p5.3d.(1F*).4s	2F*	7/2	1038280
3p5.3d.(3D*).4s	2D*	3/2	1040830
3p5.3d.(3D*).4s	2D*	5/2	1043280
3p6.5f	2F*	5/2	1130660
3p6.5f	2F*	7/2	1130690
3p6.6f	2F*	5/2	1243970
3p6.6f	2F*	7/2	1244010
3p6.7f	2F*	5/2	1313020
3p6.7f	2F*	7/2	1313020
3p6.8f	2F*	5/2	1357500
3p6.8f	2F*	7/2	1357500
3p6.9f	2F*	5/2	1387960
3p6.9f	2F*	7/2	1387960
3p6.10f	2F*	5/2	1409880
3p6.10f	2F*	7/2	1409880
Co_X_(3p6_1S<0>)	Limit	---	1501300
