# Fe VII — NIST ASD levels, fetched live 2026-08-14 (session 1.8, batch 1 fetch 7).
# destination_url VERIFIED: energy1.pl?...spectrum=Fe+VII...format=2&units=0 (cm-1)
# Ca-like 3d2 ground (3F), isoelectronic partner of Mn VI. nf to n=10.
# Heavy core-excited interleaving: 3p5.3d3 and two-parent 3p5.3d2.(X).(Y*).4s
# blocks. One queried value: 3p5.3d3.(2D2) 1D* 2 at 539426 carries "?".
# Limit: Fe VIII (3p6.3d 2D<3/2>) 1007928.
Configuration	Term	J	Level_cm-1	Flag
3p6.3d2	3F	2	0.00	
3p6.3d2	3F	3	1049.75	
3p6.3d2	3F	4	2329.48	
3p6.3d2	1D	2	17474.00	
3p6.3d2	3P	0	20040.0	
3p6.3d2	3P	1	20428.8	
3p6.3d2	3P	2	21275.97	
3p6.3d2	1G	4	28923.5	
3p6.3d2	1S	0	67076.9	
3p6.3d.4s	3D	1	344461.59	
3p6.3d.4s	3D	2	345026.68	
3p6.3d.4s	3D	3	346259.88	
3p6.3d.4s	1D	2	350330.26	
3p5.3d3.(4P)	5S*	2	389340	
3p5.3d3.(4F)	5D*	2	395434	
3p5.3d3.(4F)	5D*	3	395497	
3p5.3d3.(4F)	5D*	1	395515	
3p5.3d3.(4F)	5D*	4	395952	
3p5.3d3.(4F)	5F*	5	403460	
3p5.3d3.(4F)	5F*	4	404526	
3p5.3d3.(4F)	5F*	3	404900	
3p5.3d3.(2G)	3F*	3	423286.9	
3p5.3d3.(2G)	3F*	4	424991.2	
3p5.3d3.(4F)	5G*	2	424077.4	
3p5.3d3.(2D2)	3D*	2	424628.7	
3p5.3d3.(2D2)	3D*	3	425249.5	
3p5.3d3.(2D2)	3D*	1	431653.3	
3p6.3d.4p	3D*	1	425127.1	
3p6.3d.4p	3D*	2	427782.66	
3p6.3d.4p	3D*	3	431608.5	
3p6.3d.4p	1D*	2	425383.76	
3p5.3d3.(2P)	3P*	1	427870	
3p5.3d3.(2P)	3P*	2	430202.3	
3p6.3d.4p	3F*	2	430211.2	
3p6.3d.4p	3F*	3	432359.9	
3p6.3d.4p	3F*	4	433869.0	
3p5.3d3.(2G)	3G*	3	430946.5	
3p5.3d3.(2G)	3G*	4	431454.9	
3p5.3d3.(2G)	3G*	5	431997	
3p6.3d.4p	3P*	1	436950.2	
3p6.3d.4p	3P*	0	436999.5	
3p6.3d.4p	3P*	2	437555.9	
3p6.3d.4p	1F*	3	439809.2	
3p5.3d3.(2G)	1G*	4	442716	
3p6.3d.4p	1P*	1	443444.5	
3p5.3d3.(2G)	3H*	5	445094	
3p5.3d3.(2P)	3D*	3	447175	
3p5.3d3.(4F)	3G*	3	459515	
3p5.3d3.(4F)	3G*	4	463361	
3p5.3d3.(4F)	3G*	5	464032.8	
3p5.3d3.(2D2)	1F*	3	464616	
3p5.3d3.(2G)	1H*	5	472560	
3p5.3d3.(2F)	3F*	4	472903	
3p5.3d3.(2F)	3F*	3	476802	
3p5.3d3.(2F)	3G*	4	478573	
3p5.3d3.(2F)	3G*	5	478720	
3p5.3d3.(2F)	3G*	3	481433.9	
3p5.3d3.(2F)	1G*	4	496448	
3p5.3d3.(2H)	3G*	3	510078	
3p5.3d3.(2H)	3G*	4	512608	
3p5.3d3.(2H)	3G*	5	514128	
3p5.3d3.(2D1)	3F*	4	510146	
3p5.3d3.(2D1)	3F*	3	513424	
3p5.3d3.(2D1)	3F*	2	516136	
3p5.3d3.(2H)	1H*	5	538578	
3p5.3d3.(2D2)	1D*	2	539426	q
3p5.3d3.(2F)	3D*	1	548228	
3p5.3d3.(2F)	3D*	2	548275.3	
3p5.3d3.(2F)	3D*	3	551566.9	
3p6.3d.4d	1F	3	552840.8	
3p5.3d3.(2F)	1D*	2	553223.2	
3p6.3d.4d	3D	1	554703.9	
3p6.3d.4d	3D	2	555236.3	
3p6.3d.4d	3D	3	556345.7	
3p6.3d.4d	3G	3	556084.2	
3p6.3d.4d	3G	4	557044.8	
3p6.3d.4d	3G	5	558228.7	
3p5.3d3.(2G)	1F*	3	556420.7	
3p6.3d.4d	1P	1	556642.6	
3p5.3d3.(4P)	3P*	0	559834	
3p5.3d3.(4P)	3P*	1	561307.2	
3p5.3d3.(4P)	3P*	2	564425	
3p6.3d.4d	3S	1	561711.8	
3p6.3d.4d	3F	2	564370.2	
3p6.3d.4d	3F	3	565131.0	
3p6.3d.4d	3F	4	565941.7	
3p5.3d3.(4F)	3F*	2	565275	
3p5.3d3.(4F)	3F*	3	566255	
3p5.3d3.(4F)	3F*	4	568124	
3p6.3d.4d	1D	2	571216.2	
3p6.3d.4d	3P	0	571879.9	
3p6.3d.4d	3P	1	572224.4	
3p6.3d.4d	3P	2	572902.1	
3p6.3d.4d	1G	4	574940.3	
3p5.3d3.(2P)	1P*	1	598637.1	
3p5.3d3.(4F)	3D*	3	603422	
3p5.3d3.(4F)	3D*	2	603755	
3p5.3d3.(4F)	3D*	1	604270	
3p5.3d3.(2H)	1G*	4	605489	
3p5.3d3.(4P)	3S*	1	623696	
