# Hf I — NIST ASD levels, fetched live 2026-08-14 (session 1.8, batch 4 fetch 3).
# destination_url QUOTED FROM TOOL RESULT METADATA:
# https://physics.nist.gov/cgi-bin/ASD/energy1.pl?conf_out=on&format=2&j_out=on&level_out=on&spectrum=Hf+I&submit=Retrieve+Data&term_out=on&units=0
# 5d2.6s2 ground (Zr I homologue one shell down). ~45 anonymous levels
# with NUMERIC TERM LABELS that are the energy DIVIDED BY TEN — "3499" at
# 34991.659, "4384*" at 43844.653, "5762*" at 57622.950 — the Sn I
# measurement-as-name form, SCALED (Moore-style hundreds-of-cm-1 names).
# Some carry *, some don't. NEW J FORM: "1 or 2" (disjunctive J, level
# 49377.892). Questioned terms 5P?, 5F?, 3F? on 5d4; questioned config
# 6s2.6p2?; ? suffix flags carried. Seniority letters reach h and i
# (h 3F, h 3D, i 3F). 6p2.(parent).5d.(parent).6s double-parent configs.
# Two numeric-term levels ABOVE the limit (5762*, 5812*).
# Limit: Hf II (5d.6s2 2D<3/2>) 55047.9.
Configuration	Term	J	Level_cm-1	Flag
5d2.6s2	a 3F	2	0.0000	
5d2.6s2	a 3F	3	2356.6756	
5d2.6s2	a 3F	4	4567.6413	
5d2.6s2	a 3P	0	5521.7776	
5d2.6s2	a 3P	1	6572.5498	
5d2.6s2	a 3P	2	8983.7652	
5d2.6s2	a 1D	2	5638.6151	
5d.6s2.(a_2D).6p	z 1D*	2	10508.904	
5d2.6s2	a 1G	4	10532.5690	
5d.6s2.(a_2D).6p	z 3D*	1	14017.827	
5d.6s2.(a_2D).6p	z 3D*	2	16163.3602	
5d.6s2.(a_2D).6p	z 3D*	3	18381.5234	
5d3.(b_4F).6s	a 5F	1	14092.2938	
5d3.(b_4F).6s	a 5F	2	14740.6924	
5d3.(b_4F).6s	a 5F	3	15673.341	
5d3.(b_4F).6s	a 5F	4	16766.637	
5d3.(b_4F).6s	a 5F	5	17901.320	
5d.6s2.(a_2D).6p	z 3F*	2	14435.138	
5d.6s2.(a_2D).6p	z 3F*	3	14541.677	
5d.6s2.(a_2D).6p	z 3F*	4	18224.981	
5d2.(a_3F).6s.(a_4F).6p	z 5G*	2	18011.0647	
5d2.(a_3F).6s.(a_4F).6p	z 5G*	3	19292.6984	
