# Th I — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Th+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED against sent. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# LIMIT, from the table:  Th II (6d.7s2 2D<3/2>)  50867 cm-1
#
# ~700 rows. Only the leading ~100 carry BOTH configuration and term;
# beyond roughly 20000 cm-1 the table becomes unassigned levels with an
# empty configuration and a bare parity marker. The assigned block is
# transcribed here in full and the unassigned tail is NOT — it carries no
# n, no l and no 2S+1, so it cannot enter a keyed index and its absence
# is a refusal rather than a loss.
#
# config	term	J	level_cm1
6d2.7s2	3F	2	0.000000
6d2.7s2	3F	3	2869.259165
6d2.7s2	3F	4	4961.658832
6d2.7s2	3P	0	2558.056752
6d2.7s2	3P	1	3865.473772
6d3.(4F).7s	5F	1	5563.141519
6d3.(4F).7s	5F	2	6362.395980
6d3.(4F).7s	5F	3	7502.287636
6d3.(4F).7s	5F	4	8800.249723
6d3.(4F).7s	5F	5	9804.806547
5f.6d.7s2	3H*	4	7795.275291
5f.6d.7s2	3H*	5	11197.031257
5f.6d.7s2	3H*	6	14481.86965
6d2.7s2	1G	4	8111.004545
5f.6d.7s2	3F*	2	8243.602091
5f.6d.7s2	3F*	3	11241.73043
5f.6d.7s2	3F*	4	14206.91694
5f.6d.7s2	1G*	4	10414.13700
5f.6d.7s2	3G*	3	10526.544406
5f.6d.7s2	3G*	4	13175.113345
5f.6d.7s2	3G*	5	15490.077832
6d.7s2.7p	3F*	2	10783.15535
6d.7s2.7p	3F*	3	13945.307389
6d.7s2.7p	3F*	4	18053.617845
6d3.(4P).7s	5P	1	11601.03035
6d3.(4P).7s	5P	2	11802.93238
6d3.(4P).7s	5P	3	12847.96912
6d.7s2.7p	3D*	1	11877.839132
6d.7s2.7p	3D*	2	14032.085336
6d.7s2.7p	3D*	3	17411.224415
5f.6d.7s2	1D*	2	12114.36618
6d3.(2G).7s	3G	3	13088.56115
6d3.(2G).7s	3G	4	13297.43316
6d3.(4F).7s	3F	2	13847.77037
6d3.(4F).7s	3F	4	17959.89498
5f.6d.7s2	3P*	1	14243.993748
5f.6d.7s2	3P*	0	14247.30742
5f.6d.7s2	3P*	2	17847.07751
6d2.7s.7p	5G*	2	14465.221873
6d2.7s.7p	5G*	3	15166.900593
6d2.7s.7p	5G*	4	18809.88631
6d2.7s.7p	5G*	5	19588.36224
6d2.7s.7p	5G*	6	24084.94271
6d3.(2H).7s	3H	4	15493.21943
6d3.(2H).7s	3H	6	16554.24283
6d3.(2H).7s	3H	5	17166.10472
5f.6d2.7s	5H*	3	15618.98461
5f.6d2.7s	5H*	4	16346.64962
5f.6d2.7s	5H*	5	18011.38030
5f.6d2.7s	5H*	6	19986.16721
5f.6d2.7s	5H*	7	21903.40831
6d2.7s.7p	5F*	1	15736.968041
6d2.7s.7p	5F*	2	17224.302340
6d2.7s.7p	5F*	3	19503.143490
6d2.7s.7p	5F*	4	19948.395175
6d2.7s.7p	5F*	5	21077.152101
6d.7s2.7p	1D*	2	16217.482038
5f.6d2.7s	5I*	4	16783.84708
5f.6d2.7s	5I*	5	17501.17592
5f.6d2.7s	5I*	6	19227.33665
5f.6d2.7s	5I*	7	20867.97560
5f.6d2.7s	5I*	8	23621.50649
5f.6d.7s2	3D*	1	17354.638583
5f.6d.7s2	3D*	3	21165.098037
6d.7s2.7p	1F*	3	18069.065569
6d2.7s.7p	5D*	0	18382.82669
6d2.7s.7p	5D*	1	18614.33811
6d2.7s.7p	5D*	2	19516.98043
6d2.7s.7p	5D*	3	20214.92997
6d2.7s.7p	5D*	4	20566.62381
5f.7s2.7p	3G	3	18431.686609
5f.7s2.7p	3G	4	23032.986182
5f.7s2.7p	3G	5	28342.50330
5f.7s2.7p	3F	2	18699.62342
5f.7s2.7p	3F	3	22637.46361
5f.7s2.7p	3F	4	28227.93504
6d.7s2.7p	3P*	2	19039.153374
6d.7s2.7p	3P*	1	20423.494218
6d.7s2.7p	3P*	0	20543.84624
6d3.(2F).7s	3F	4	19532.41646
