# Ti X — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Ti+X&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED against sent. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# LIMIT:  Ti XI (3s2 1S<0>)  1741500 cm-1
#
# Al-like — the FOURTH of that sequence here (K VII, Ca VIII, Sc IX,
# Ti X). No +x flags at all, unlike Ca VIII and Sc IX. Four rows have a
# BLANK level value in the source and are omitted; they are named in the
# note below so their absence is a record rather than a gap.
#   BLANK IN SOURCE: 3s.3p.(3P*).3d 4F* 3/2 · 3p2.(3P).3d 4F 3/2
#                    3p2.(3P).3d 2P 1/2
#
# The 3s2.nl series: ns n=4,5 · nd n=4,5,6 · nf n=4,5,6 · 4p.
#
# config	term	J	level_cm1
3s2.3p	2P*	1/2	0
3s2.3p	2P*	3/2	7544
3s.3p2	4P	1/2	160409
3s.3p2	4P	3/2	163257
3s.3p2	4P	5/2	167309
3s.3p2	2D	3/2	212053
3s.3p2	2D	5/2	212608
3s.3p2	2S	1/2	264456
3s.3p2	2P	1/2	281051
3s.3p2	2P	3/2	285220
3s2.3d	2D	3/2	345315
3s2.3d	2D	5/2	345859
3p3	2D*	3/2	413397
3p3	2D*	5/2	414365
3p3	4S*	3/2	423713
3p3	2P*	1/2	462142
3p3	2P*	3/2	462709
3s.3p.(3P*).3d	4F*	5/2	465910
3s.3p.(3P*).3d	4F*	7/2	468204
3s.3p.(3P*).3d	4F*	9/2	471285
3s.3p.(3P*).3d	4P*	5/2	501474
3s.3p.(3P*).3d	4P*	3/2	502940
3s.3p.(3P*).3d	4P*	1/2	504163
3s.3p.(3P*).3d	4D*	1/2	506849
3s.3p.(3P*).3d	4D*	3/2	507492
3s.3p.(3P*).3d	4D*	7/2	507815
3s.3p.(3P*).3d	4D*	5/2	507859
3s.3p.(3P*).3d	2D*	3/2	519034
3s.3p.(3P*).3d	2D*	5/2	519113
3s.3p.(3P*).3d	2F*	5/2	543166
3s.3p.(3P*).3d	2F*	7/2	549148
3s.3p.(3P*).3d	2P*	3/2	590439
3s.3p.(3P*).3d	2P*	1/2	593151
3s.3p.(1P*).3d	2F*	7/2	595023
3s.3p.(1P*).3d	2F*	5/2	596470
3s.3p.(1P*).3d	2P*	1/2	612628
3s.3p.(1P*).3d	2P*	3/2	613252
3s.3p.(1P*).3d	2D*	3/2	616264
3s.3p.(1P*).3d	2D*	5/2	617188
3p2.(3P).3d	4F	5/2	703548
3p2.(3P).3d	4F	7/2	705891
3p2.(3P).3d	4F	9/2	708619
3p2.(3P).3d	2P	3/2	713538
3p2.(3P).3d	4D	3/2	719471
3p2.(3P).3d	4D	5/2	719846
3p2.(3P).3d	4D	7/2	721913
3p2.(1D).3d	2D	5/2	751816
3p2.(1D).3d	2D	3/2	753154
3p2.(3P).3d	4P	5/2	757219
3p2.(3P).3d	4P	3/2	758024
3p2.(3P).3d	4P	1/2	758554
3p2.(1S).3d	2D	3/2	788744
3p2.(1S).3d	2D	5/2	792920
3s2.4s	2S	1/2	797113
3p2.(3P).3d	2F	5/2	800623
3p2.(3P).3d	2F	7/2	802362
3p2.(3P).3d	2D	5/2	838407
3p2.(3P).3d	2D	3/2	840866
3s.3d2	2G	7/2	871238
3s.3d2	2G	9/2	871300
3s2.4p	2P*	1/2	879100
3s2.4p	2P*	3/2	880700
3s.3d2	2F	5/2	909444
3s.3p.4s	4P*	1/2	968754
3s.3p.4s	4P*	3/2	971208
3s.3p.4s	4P*	5/2	975983
3s2.4d	2D	3/2	986655
3s2.4d	2D	5/2	986919
3s2.4f	2F*	5/2	1046623
3s2.4f	2F*	7/2	1046712
3s2.5s	2S	1/2	1180390
3s2.5d	2D	3/2	1271460
3s2.5d	2D	5/2	1271680
3s2.5f	2F*	5/2	1302125
3s2.5f	2F*	7/2	1302204
3s2.6d	2D	3/2	1423180
3s2.6d	2D	5/2	1423470
3s2.6f	2F*	7/2	1434560
3s2.6f	2F*	5/2	1434587
