# Tl I — NIST ASD levels, fetched live 2026-08-14 (session 1.8, batch 4 fetch 5).
# destination_url QUOTED FROM TOOL RESULT METADATA:
# https://physics.nist.gov/cgi-bin/ASD/energy1.pl?conf_out=on&format=2&j_out=on&level_out=on&spectrum=Tl+I&submit=Retrieve+Data&term_out=on&units=0
# In I homologue. Merged-J becomes SYSTEMATIC at high n: from 13p/12d
# upward every p is "1/2,3/2" and every d "3/2,5/2" — fine structure
# wholesale unresolved, an entire ladder in the Ba-I "u" condition without
# the flag. All nf merged "5/2,7/2" from 5f. Above the limit: displaced
# 6s.6p2 with 2D 5/2 and 2P 3/2 NAMED-NO-ENERGY while their partners carry
# round energies (62000, 67150). TWO term-slot oddities: "2*" as TERM with
# EMPTY J (6s.6p.(3P*).7s, 75970 — the J migrated into the term slot);
# bare "3*" term with empty config at 96740. Limit: Tl II 1S<0> 49266.66.
Configuration	Term	J	Level_cm-1
6s2.6p	2P*	1/2	0.0
6s2.6p	2P*	3/2	7792.7
6s2.7s	2S	1/2	26477.5
6s2.7p	2P*	1/2	34159.9
6s2.7p	2P*	3/2	35161.1
6s2.6d	2D	3/2	36117.9
6s2.6d	2D	5/2	36199.9
6s2.8s	2S	1/2	38745.9
6s2.8p	2P*	1/2	41368.1
6s2.8p	2P*	3/2	41740.8
6s2.7d	2D	3/2	42011.4
6s2.7d	2D	5/2	42049.0
6s2.5f	2F*	5/2,7/2	42318.4
6s2.9s	2S	1/2	43166.2
6s2.9p	2P*	1/2	44380.9
6s2.9p	2P*	3/2	44562.5
6s2.8d	2D	3/2	44672.6
6s2.8d	2D	5/2	44692.7
6s2.6f	2F*	5/2,7/2	44823.5
6s.6p2	4P	1/2	45220
6s.6p2	4P	3/2	49800
6s.6p2	4P	5/2	53050
6s2.10s	2S	1/2	45296.8
6s2.10p	2P*	1/2	45939.3
6s2.10p	2P*	3/2	46043.6
6s2.9d	2D	3/2	46098.5
6s2.9d	2D	5/2	46110.3
6s2.7f	2F*	5/2,7/2	46185.3
6s2.11s	2S	1/2	46456.9
6s2.11p	2P*	1/2	46853.8
6s2.11p	2P*	3/2	46917.1
6s2.10d	2D	3/2	46949.9
6s2.10d	2D	5/2	46958.0
6s2.8f	2F*	5/2,7/2	47004.6
6s2.12s	2S	1/2	47178.9
6s2.12p	2P*	1/2	47442.6
6s2.12p	2P*	3/2	47477.4
6s2.11d	2D	3/2	47499.8
6s2.11d	2D	5/2	47504.1
6s2.13s	2S	1/2	47654.7
6s2.13p	2P*	1/2,3/2	47847.7
6s2.12d	2D	3/2,5/2	47876.0
6s2.14s	2S	1/2	47983.2
6s2.14p	2P*	1/2,3/2	48129.6
6s2.13d	2D	3/2,5/2	48142.3
6s2.15s	2S	1/2	48223.2
6s2.15p	2P*	1/2,3/2	48331.2
6s2.14d	2D	3/2,5/2	48339.3
6s2.16s	2S	1/2	48399.5
6s2.16p	2P*	1/2,3/2	48459.5
6s2.15d	2D	3/2,5/2	48488.6
6s2.17s	2S	1/2	48534.8
6s2.16d	2D	3/2,5/2	48604.0
6s2.18s	2S	1/2	48639.0
6s2.17d	2D	3/2,5/2	48696.5
6s2.19s	2S	1/2	48726.2
6s2.18d	2D	3/2,5/2	48770.5
6s2.20s	2S	1/2	48796.2
6s2.19d	2D	3/2,5/2	48828.6
6s2.20d	2D	3/2,5/2	48878.2
6s2.21d	2D	3/2,5/2	48920.6
6s2.22d	2D	3/2,5/2	48957.7
6s2.23d	2D	3/2,5/2	48988.8
Tl_II_(6s2_1S<0>)	Limit	---	49266.66
6s.6p2	2D	5/2	
6s.6p2	2D	3/2	62000
6s.6p2	2P	3/2	
6s.6p2	2P	1/2	67150
6s.6p.(3P*).7s	2*		75970
	3*	3/2	96740
