# V III — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=V+III&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED against sent. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# LIMIT:  V IV (3d2 3F<2>)  236410 cm-1
#
# Ti II-like — 3d3 ground, and it carries the SAME letter-prefix system:
# a 4F, b 4F, z 4G*, y 4D*, x 2D*, w 2F*, v 2D*, and further into
# u, and into g/h/i/j on the even side. TEN distinct letters.
#
# ** THIS IS THE STRONGEST EVIDENCE YET FOR M's NOTE (R 1639): the letter
#    depth IS the per-problem multiplicity structure, printed. V III needs
#    ten letters where K VII needed none. **
#
# The 3d2.(3F).nl series on ONE parent, every member LS-termed:
#    ns  n = 4, 5, 6, 7      np  n = 4, 5
#    nd  n = 4, 5            nf  n = 4, 5
# Racah 2[K] blocks (the 5g, 6g, 7g on 3F<J> parents) refused by R 1576.
# Query-flagged values kept with q.
#
# config	term	J	level_cm1	flag
3d3	a 4F	3/2	0.0	
3d3	a 4F	5/2	145.5	
3d3	a 4F	7/2	341.5	
3d3	a 4F	9/2	583.8	
3d3	a 4P	1/2	11513.8	
3d3	a 4P	3/2	11591.8	
3d3	a 4P	5/2	11769.7	
3d3	a 2G	7/2	11966.3	
3d3	a 2G	9/2	12187.0	
3d3	a 2P	3/2	15550.3	
3d3	a 2P	1/2	15579.8	
3d3	a 2D2	3/2	16330.5	
3d3	a 2D2	5/2	16374.7	
3d3	a 2H	9/2	16810.9	
3d3	a 2H	11/2	16977.6	
3d3	a 2F	7/2	27727.8	
3d3	a 2F	5/2	27846.8	
3d3	b 2D1	5/2	42267.4	
3d3	b 2D1	3/2	42371.2	
3d2.(3F).4s	b 4F	3/2	43942.49	
3d2.(3F).4s	b 4F	5/2	44110.04	
3d2.(3F).4s	b 4F	7/2	44345.82	
3d2.(3F).4s	b 4F	9/2	44646.96	
3d2.(3F).4s	b 2F	5/2	49327.74	
3d2.(3F).4s	b 2F	7/2	49805.29	
3d2.(3F).5s	e 4F	3/2	145822.76	
3d2.(3F).5s	e 4F	5/2	145978.99	
3d2.(3F).5s	e 4F	7/2	146223.74	
3d2.(3F).5s	e 4F	9/2	146550.32	
3d2.(3F).5s	f 2F	5/2	147127.46	
3d2.(3F).5s	f 2F	7/2	147607.08	
3d2.(3F).6s	h 4F	3/2	183316.75	
3d2.(3F).6s	h 4F	5/2	183445.06	
3d2.(3F).6s	h 4F	7/2	183699.40	
3d2.(3F).6s	h 4F	9/2	184047.67	
3d2.(3F).6s	j 2F	5/2	183999.50	
3d2.(3F).6s	j 2F	7/2	184476.36	
3d2.(3F).7s	j 4F	7/2	201836.5	q
3d2.(3F).7s	j 4F	9/2	202209.3	q
3d2.(3F).4p	z 4G*	5/2	85524.00	
3d2.(3F).4p	z 4G*	7/2	85875.74	
3d2.(3F).4p	z 4G*	9/2	86306.40	
3d2.(3F).4p	z 4G*	11/2	86809.39	
3d2.(3F).4p	z 4F*	3/2	86716.84	
3d2.(3F).4p	z 4F*	5/2	86938.01	
3d2.(3F).4p	z 4F*	7/2	87218.92	
3d2.(3F).4p	z 4F*	9/2	87544.46	
3d2.(3F).4p	z 2F*	5/2	87880.85	
3d2.(3F).4p	z 2F*	7/2	88327.96	
3d2.(3F).4p	2D*	3/2	88559.08	
3d2.(3F).4p	2D*	5/2	89457.67	
3d2.(3F).4p	4D*	5/2	88944.38	
3d2.(3F).4p	4D*	1/2	89005.64	
3d2.(3F).4p	4D*	3/2	89193.47	
3d2.(3F).4p	4D*	7/2	89417.50	
3d2.(3F).4p	z 2G*	7/2	91710.43	
3d2.(3F).4p	z 2G*	9/2	92052.55	
3d2.(3F).5p	y 4F*	3/2	160144.92	
3d2.(3F).5p	y 4F*	5/2	160380.35	
3d2.(3F).5p	y 4F*	7/2	160682.19	
3d2.(3F).5p	y 4F*	9/2	161028.02	
3d2.(3F).5p	y 4G*	5/2	160322.56	
3d2.(3F).5p	y 4G*	7/2	160577.33	
3d2.(3F).5p	y 4G*	9/2	160880.67	
3d2.(3F).5p	y 4G*	11/2	161240.69	
3d2.(3F).5p	w 2F*	5/2	161166.33	
3d2.(3F).5p	w 2F*	7/2	161588.54	
3d2.(3F).5p	w 4D*	1/2	161491.07	
3d2.(3F).5p	w 4D*	3/2	161570.12	
3d2.(3F).5p	w 4D*	5/2	161924.00	
3d2.(3F).5p	w 4D*	7/2	162385.82	
3d2.(3F).5p	w 2D*	3/2	161885.32	
3d2.(3F).5p	w 2D*	5/2	162305.28	
3d2.(3F).5p	x 2G*	7/2	162336.36	
3d2.(3F).5p	x 2G*	9/2	162760.84	
3d2.(3F).4d	e 4G	5/2	140751.47	
3d2.(3F).4d	e 4G	7/2	140933.85	
3d2.(3F).4d	e 4G	9/2	141144.86	
3d2.(3F).4d	e 4G	11/2	141405.80	
3d2.(3F).4d	e 2F	5/2	141196.87	
3d2.(3F).4d	e 2F	7/2	141508.26	
3d2.(3F).4d	e 4H	7/2	141271.10	
3d2.(3F).4d	e 4H	9/2	141489.06	
3d2.(3F).4d	e 4H	11/2	141735.42	
3d2.(3F).4d	e 4H	13/2	141991.58	
3d2.(3F).4d	e 4D	1/2	141421.87	
3d2.(3F).4d	e 4D	3/2	141531.94	
3d2.(3F).4d	e 4D	5/2	141715.20	
3d2.(3F).4d	e 4D	7/2	141987.95	
3d2.(3F).4d	e 2P	1/2	143169.0	
3d2.(3F).4d	e 2P	3/2	143651.5	
3d2.(3F).4d	e 4P	1/2	144544.13	
3d2.(3F).4d	e 4P	3/2	144828.58	
3d2.(3F).4d	e 4P	5/2	145073.42	
3d2.(3F).4d	e 2G	7/2	144772.60	
3d2.(3F).4d	e 2G	9/2	145144.00	
3d2.(3F).4d	e 2H	9/2	145903.31	
3d2.(3F).4d	e 2H	11/2	146347.77	
3d2.(3F).4d	e 2D	3/2	145953.51	
3d2.(3F).4d	e 2D	5/2	146140.08	
3d2.(3F).4d	f 4F	3/2	146846.99	
3d2.(3F).4d	f 4F	5/2	146984.08	
3d2.(3F).4d	f 4F	7/2	147170.06	
3d2.(3F).4d	f 4F	9/2	147401.29	
3d2.(3F).5d	f 4H	7/2	181650.16	
3d2.(3F).5d	f 4H	9/2	181826.54	
3d2.(3F).5d	f 4H	11/2	182077.54	
3d2.(3F).5d	f 4H	13/2	182444.06	
3d2.(3F).5d	f 4G	9/2	182035.67	
3d2.(3F).5d	f 4G	11/2	182287.66	
3d2.(3F).5d	g 4G	5/2	182168.8	
3d2.(3F).5d	g 4G	7/2	182517.8	
3d2.(3F).5d	i 2G	7/2	183760.91	
3d2.(3F).5d	i 2G	9/2	184087.90	
3d2.(3F).5d	g 2H	9/2	184237.44	
3d2.(3F).5d	g 2H	11/2	184648.09	
3d2.(3F).5d	i 4F	9/2	184613.01	
3d2.(3F).4f	4H*	7/2	173246.54	
3d2.(3F).4f	4H*	9/2	173367.21	
3d2.(3F).4f	4H*	11/2	173517.63	
3d2.(3F).4f	4H*	13/2	173788.14	
3d2.(3F).4f	2G*	7/2	173388.5	q
3d2.(3F).4f	2G*	9/2	173670.02	
3d2.(3F).4f	4I*	9/2	173534.92	
3d2.(3F).4f	4I*	11/2	173773.28	
3d2.(3F).4f	4I*	13/2	174045.8	
3d2.(3F).4f	4I*	15/2	174223.7	
3d2.(3F).4f	4G*	5/2	173568.27	
3d2.(3F).4f	4G*	7/2	173786.11	
3d2.(3F).4f	4G*	9/2	173990.35	
3d2.(3F).4f	4G*	11/2	174237.76	
3d2.(3F).4f	2F*	5/2	173659.5	
3d2.(3F).4f	2F*	7/2	174259.15	
3d2.(3F).4f	2H*	9/2	174170.6	
3d2.(3F).4f	2H*	11/2	174500.46	
3d2.(3F).4f	2I*	11/2	174192.88	
3d2.(3F).4f	2I*	13/2	174720.37	
3d2.(3F).4f	4F*	9/2	174367.6	
3d2.(3F).4f	4D*	7/2	174458.96	
3d2.(3F).5f	4I*	13/2	196473.86	
3d2.(3F).5f	4I*	15/2	196823.96	
